ticker,status,last_close,sma50,sma200,avgvol50,last_vol,relvol_proxy,reasons,n_days,market_cap
AEM,fail,232.72999572753906,205.06080078125,159.80109996795653,2778552.0,1945900.0,0.70032880435565,relvol<min,,
APA,fail,31.100000381469727,26.600000038146973,22.926950006484986,6539046.0,7417000.0,1.134263316086169,relvol<min,,
ASTS,fail,104.88999938964844,93.93959991455078,63.85802480697632,16389694.0,20778800.0,1.2677967020006597,relvol<min,,
AUX,insufficient_history,,,,,,,,0.0,
BATL,PASS,18.56999969482422,3.389500000476837,1.7956749993562697,12779568.0,29177200.0,2.2831131693966493,,,455517668.0
BBH,fail,195.0399932861328,194.89999969482423,175.10504913330078,7178.0,4400.0,0.6129841181387573,"avgvol50<min,relvol<min",,
BDH,insufficient_history,,,,,,,,0.0,
BHH,insufficient_history,,,,,,,,0.0,
BIX,insufficient_history,,,,,,,,0.0,
BNAL,insufficient_history,,,,,,,,0.0,
BNO,PASS,38.900001525878906,31.366000213623046,29.99070010185242,1255810.0,3876500.0,3.0868523104609773,,,
BOIL,fail,17.049999237060547,21.453399963378907,33.193949995040896,14880424.0,18675900.0,1.2550650438455249,"relvol<min,below_sma50,below_sma200",,
BTK,insufficient_history,,,,,,,,0.0,
BZ=F,fail,83.5999984741211,67.40439979553223,66.54569982528686,58321.08,31170.0,0.5344551232590343,"avgvol50<min,relvol<min",,
CCJ,fail,120.23999786376953,112.7463996887207,87.6170998954773,4191248.0,2852400.0,0.6805610166709295,relvol<min,,
CF,fail,104.70999908447266,89.48399993896484,88.04169998168945,2500388.0,3627300.0,1.450694852158945,relvol<min,,
CHRD,fail,114.0,97.92540008544921,98.66175010681152,821592.0,1128400.0,1.3734310947526267,relvol<min,,
CL=F,fail,77.01000213623047,62.670399780273435,62.87829986572265,343854.3,109768.0,0.3192282312595771,"avgvol50<min,relvol<min",,
CNQ,fail,44.18000030517578,37.09599994659424,33.10759996414185,9208862.0,8731900.0,0.9482061952931861,relvol<min,,
CNR,fail,93.7699966430664,91.82980010986329,81.15744983673096,763210.0,1027500.0,1.3462873914125864,relvol<min,,
COP,fail,115.6500015258789,102.67859970092773,94.60355014801026,8621436.0,10157700.0,1.1781911969189356,relvol<min,,
CRAK,fail,46.31999969482422,41.612020111083986,37.10213508605957,68078.0,284200.0,4.174623226299245,avgvol50<min,,
CVE,fail,22.809999465942383,19.40739990234375,16.800749955177306,13621698.0,15402400.0,1.130725405892863,relvol<min,,
CVX,fail,186.02999877929688,170.72239959716796,156.17064994812011,11263636.0,11044100.0,0.980509313333634,relvol<min,,
CWX,insufficient_history,,,,,,,,0.0,
DEC,PASS,14.569999694824219,13.49220001220703,14.243750019073486,612974.0,964000.0,1.572660504360707,,,1118707185.0
DIG,fail,55.90999984741211,45.320200271606446,37.572400121688844,59868.0,123100.0,2.0561902852943144,avgvol50<min,,
DRG,insufficient_history,,,,,,,,0.0,
EOG,fail,127.81999969482422,112.23319946289062,113.90169967651367,4943454.0,5114700.0,1.0346409615625027,relvol<min,,
EQNR,fail,31.579999923706055,26.21140007019043,24.95660004615784,5256266.0,6154900.0,1.1709643309528095,relvol<min,,
ERX,fail,86.51000213623047,70.15640022277832,58.087350082397464,441806.0,886600.0,2.0067631494366305,avgvol50<min,,
ES=F,fail,6844.5,6933.58,6606.071350097656,1436270.04,150531.0,0.10480689272053603,"relvol<min,below_sma50",,
FANG,fail,176.7100067138672,159.39760131835936,147.9073503112793,2221198.0,2533800.0,1.1407357651141412,relvol<min,,
FBF,insufficient_history,,,,,,,,0.0,
FCX,fail,65.93000030517578,60.050399703979494,46.80489978790283,20273570.0,17434400.0,0.8599570771206058,relvol<min,,
FLNG,fail,29.469999313354492,26.34979995727539,25.276349983215333,470094.0,931000.0,1.98045497283522,avgvol50<min,,
FPP,insufficient_history,,,,,,,,0.0,
GAX,insufficient_history,,,,,,,,0.0,
GC=F,fail,5170.0,4829.535986328125,3972.117491455078,4467.62,33411.0,7.478478473997341,avgvol50<min,,
GHA,insufficient_history,,,,,,,,0.0,
GIN,insufficient_history,,,,,,,,0.0,
GIP,insufficient_history,,,,,,,,0.0,
GLNG,PASS,46.650001525878906,41.0497998046875,40.38284997940063,1325214.0,3320400.0,2.505557592962344,,,4776400356.0
GOX,insufficient_history,,,,,,,,0.0,
GSM,fail,5.139999866485596,4.9757999992370605,4.475950011014938,1192886.0,980900.0,0.8222914846850412,relvol<min,,
GSO,insufficient_history,,,,,,,,0.0,
GSV,insufficient_history,,,,,,,,0.0,
GTE,FAIL_MCAP_LOW,6.889999866485596,5.2174000072479245,4.6032000041008,623988.0,1204800.0,1.930806361660801,mcap<min,,232246058.0
GUSH,PASS,34.689998626708984,26.091599960327148,24.07380000114441,1315344.0,2238400.0,1.7017601479156783,,,
HAFN,fail,7.860000133514404,6.198800001144409,5.863599977493286,1298998.0,1601500.0,1.232873337757256,relvol<min,,
HAL,fail,34.43000030517578,32.83740005493164,25.746400022506712,13334498.0,15384500.0,1.153736721097412,relvol<min,,
HCX,insufficient_history,,,,,,,,0.0,
HHH,fail,71.4000015258789,79.71479995727539,77.24809989929199,411280.0,455100.0,1.106545419179148,"avgvol50<min,relvol<min,below_sma50,below_sma200",,
IAH,insufficient_history,,,,,,,,0.0,
IDU,fail,119.69000244140625,111.73199966430664,109.5105498123169,173764.0,77200.0,0.44428074860155153,"avgvol50<min,relvol<min",,
IDYA,fail,34.68000030517578,34.0214001083374,28.18260001182556,910378.0,760600.0,0.8354771314772546,relvol<min,,
IH,fail,1.8040000200271606,1.921500005722046,2.481065001487732,13452.0,2300.0,0.17097829319060362,"price<min,avgvol50<min,relvol<min,below_sma50,below_sma200",,
INDS,fail,40.540000915527344,38.91541213989258,37.65435050964356,13078.14,7828.0,0.5985560637827704,"avgvol50<min,relvol<min",,
INGM,PASS,26.290000915527344,21.504800071716307,20.895599975585938,521326.0,1999200.0,3.834836551409291,,,6180060315.0
INX,insufficient_history,,,,,,,,0.0,
IUX,insufficient_history,,,,,,,,0.0,
IXF,insufficient_history,,,,,,,,0.0,
IYD,insufficient_history,,,,,,,,0.0,
IYE,PASS,59.369998931884766,53.11260009765625,48.16480007171631,1617906.0,2569000.0,1.5878549186417505,,,1244744960.0
IYG,fail,86.16999816894531,90.63040023803711,87.9878999710083,103142.0,60700.0,0.5885090457815438,"avgvol50<min,relvol<min,below_sma50,below_sma200",,
IYH,fail,65.51000213623047,65.68679992675781,60.60444997787476,802512.0,751600.0,0.9365592040991287,"relvol<min,below_sma50",,
IYM,fail,183.25,172.63839904785155,151.6113497161865,158244.0,334400.0,2.1131922853315133,avgvol50<min,,
IYR,fail,101.05999755859375,96.98260025024415,95.96180000305176,7521664.0,10181700.0,1.3536499370352093,relvol<min,,
IYV,insufficient_history,,,,,,,,0.0,
IYW,fail,191.44000244140625,197.11419860839842,188.24044944763185,1171962.0,2331600.0,1.9894843006855172,below_sma50,,
IYZ,fail,40.540000915527344,36.086800003051756,32.27669995307922,1637336.0,916100.0,0.5595064177419906,relvol<min,,
JETS,fail,27.31999969482422,28.921400032043458,25.810949993133544,4131930.0,3922100.0,0.949217435919776,"relvol<min,below_sma50",,
KOS,fail,2.5399999618530273,1.4509999978542327,1.6277500078082086,20199720.0,21613900.0,1.0700098813250876,"price<min,relvol<min",,
KTB,PASS,78.05000305175781,63.52220001220703,70.182200050354,804886.0,1405400.0,1.7460857810919808,,,4346308603.0
LNG,fail,248.97999572753906,209.9011993408203,222.62555000305176,1963438.0,2893100.0,1.47348681241781,relvol<min,,
LWLG,PASS,5.599999904632568,3.8102000188827514,3.2455000093579294,1996870.0,4116100.0,2.0612758967784583,,,763510781.0
MPC,fail,220.77000427246094,184.18640045166015,179.99974990844726,2382064.0,3440000.0,1.4441257665621074,relvol<min,,
NG=F,fail,2.9790000915527344,3.721019997596741,3.5756599938869478,183168.16,12087.0,0.06598854298694708,"price<min,avgvol50<min,relvol<min,below_sma50,below_sma200",,
NPT,insufficient_history,,,,,,,,91.0,
NQ=F,fail,24994.25,25427.24,24296.0875,537734.22,88969.0,0.16545162403835859,"relvol<min,below_sma50",,
NWX,insufficient_history,,,,,,,,0.0,
OIH,fail,383.2300109863281,343.6397998046875,278.176449508667,688680.0,613200.0,0.8903990242202474,relvol<min,,
