ticker,is_2x,status,status_rank,pattern,pattern_score,break_level,break_level_src,breakout_date,vol_confirmed,hold_confirmed,last_close,breakout_strength,diag_db_l1,diag_db_l2,diag_db_peak,diag_db_diff_pct
LWLG,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,8.64,3.71,pattern:DOUBLE_BOTTOM_neckline,2026-03-05,True,False,4.39,0.183288,473.0,490.0,479.0,0.91
VG,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,8.5,10.43,pattern:DOUBLE_BOTTOM_neckline,2026-03-05,True,False,12.28,0.177373,257.0,271.0,263.0,1.0
FANG,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,8.44,177.25,pattern:DOUBLE_BOTTOM_neckline,2026-03-05,True,False,179.04,0.010099,484.0,495.0,492.0,1.04
IYR,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,8.19,98.46,pattern:DOUBLE_BOTTOM_neckline,2026-03-05,True,False,100.18,0.017469,462.0,479.0,468.0,1.21
UUP,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,8.15,27.09,pattern:DOUBLE_BOTTOM_neckline,2026-03-05,True,False,27.48,0.014396,474.0,484.0,481.0,1.23
TTE,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,6.1,66.69,pattern:DOUBLE_BOTTOM_neckline,2026-03-05,True,False,77.03,0.155046,447.0,462.0,458.0,2.6
RCAT,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,4.73,13.83,pattern:DOUBLE_BOTTOM_neckline,2026-03-05,True,False,15.08,0.090383,481.0,496.0,491.0,3.52
WDS,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,3.46,18.82,pattern:DOUBLE_BOTTOM_neckline,2026-03-05,True,False,21.87,0.162062,478.0,488.0,485.0,4.36
FLNG,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,3.29,28.16,pattern:DOUBLE_BOTTOM_neckline,2026-03-05,True,False,29.62,0.051847,486.0,496.0,493.0,4.47
USO,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,3.12,81.92,pattern:DOUBLE_BOTTOM_neckline,2026-03-05,True,False,96.31,0.175659,478.0,495.0,492.0,4.59
