ticker,premarket,ts
APA,34.12,2026-03-09 09:25:49+00:00
CNQ,48.08,2026-03-09 08:57:00+00:00
EQNR,33.86,2026-03-09 09:27:48+00:00
FANG,186.1,2026-03-09 09:23:58+00:00
LNG,264.94,2026-03-09 09:27:47+00:00
TTE,78.35,2026-03-09 09:26:33+00:00
VG,13.04,2026-03-09 09:28:10+00:00
USO,121.63,2026-03-09 09:28:15+00:00
BNO,50.08,2026-03-09 09:27:07+00:00
UCO,38.57,2026-03-09 09:28:24+00:00
BATL,24.54,2026-03-09 09:27:38+00:00
RCAT,16.49,2026-03-09 09:27:08+00:00
KTB,75.718,2026-03-09 08:56:50+00:00
SEM,16.25,2026-03-06 23:16:00+00:00
INGM,22.25,2026-03-09 08:09:00+00:00
CF,118.5,2026-03-09 09:26:33+00:00
CHRD,123.62,2026-03-09 08:51:00+00:00
HAFN,7.18,2026-03-09 09:27:31+00:00
IYE,59.76,2026-03-07 00:50:00+00:00
XOP,168.5,2026-03-09 09:13:27+00:00
GLNG,48.0,2026-03-09 09:12:00+00:00
CVE,23.41,2026-03-09 09:24:17+00:00
SHEL,85.21,2026-03-09 09:27:39+00:00
GUSH,37.97,2026-03-09 09:10:11+00:00
IYR,97.55,2026-03-09 09:06:09+00:00
