ticker,premarket,ts
BATL,21.14,2026-03-04 10:18:17+00:00
BNO,39.2,2026-03-04 10:16:05+00:00
COP,118.03,2026-03-04 10:16:57+00:00
CVE,22.97,2026-03-04 09:48:00+00:00
EQNR,30.91,2026-03-04 10:16:00+00:00
FANG,177.98,2026-03-04 10:08:32+00:00
KTB,77.52,2026-03-04 09:48:39+00:00
LNG,249.56,2026-03-04 10:13:23+00:00
OIH,386.99,2026-03-04 10:01:00+00:00
RCAT,15.01,2026-03-04 10:13:48+00:00
SHEL,82.27,2026-03-04 10:17:57+00:00
TDW,88.23,2026-03-04 09:54:22+00:00
TGT,121.37,2026-03-04 10:14:22+00:00
TTE,78.36,2026-03-04 10:15:51+00:00
UCO,29.13,2026-03-04 10:16:25+00:00
USO,92.03,2026-03-04 10:18:11+00:00
XLE,56.58,2026-03-04 10:18:15+00:00
XOP,159.54,2026-03-04 10:18:04+00:00
ZD,41.53,2026-03-04 09:48:00+00:00
