# saved_at_kr,2026-03-04 21:15:54 KST
# used_candidates_txt,True
# used_candidates_meta,False
# count_base,10
# count_premarket,19
# count_final_universe,10
# count_scored,10
# count_skipped,0
ticker,price,gap_pct,rsi14,px_vs_sma50,px_vs_sma200,weekly_up,weekly_r1,weekly_s1,room_to_weekly_r1_pct,daily_break_level,break_level_src,daily_breakout,daily_retest,in_daily_box_middle,breakout_confirmed_close,breakout_volume_confirmed,breakout_confirmed_intraday,grade,score
TGT,121.9,0.91,64.33,12.89,23.67,True,111.86,100.88,-8.24,118.98,rolling60d_high,True,True,False,True,True,True,C,9.0
TTE,78.28,-0.08,63.13,10.28,22.1,True,66.92,62.16,-14.51,82.21,rolling60d_high,False,False,False,False,False,False,C,5.0
EQNR,30.93,-1.02,68.81,18.81,24.13,True,24.9,22.26,-19.5,32.58,rolling60d_high,False,False,False,False,False,False,C,3.0
FANG,176.48,-0.59,66.7,11.13,19.46,True,164.44,139.41,-6.82,183.36,rolling60d_high,False,False,False,False,False,False,C,3.0
XLE,56.41,-0.19,67.63,12.97,24.54,True,46.66,43.77,-17.28,57.88,rolling60d_high,False,False,False,False,False,False,C,3.0
TDW,87.68,0.01,80.89,39.72,60.48,True,60.28,49.54,-31.25,82.0,rolling60d_high,True,False,False,True,True,True,C,2.0
BNO,39.15,1.4,83.22,25.72,30.79,True,31.73,27.83,-18.95,37.87,rolling60d_high,True,False,False,True,True,True,C,2.0
BATL,19.57,-29.3,97.06,543.43,1044.9,True,6.89,2.33,-64.79,13.61,rolling60d_high,True,False,False,True,True,True,C,0.0
COP,118.13,-0.33,75.44,15.58,25.02,True,102.98,90.75,-12.82,119.3,rolling60d_high,False,False,False,False,False,False,C,-1.0
LNG,244.5,-0.64,76.63,17.14,9.86,False,217.81,186.2,-10.92,252.5,rolling60d_high,False,False,False,False,False,False,C,-3.0
