ticker,is_2x,status,status_rank,pattern,pattern_score,break_level,break_level_src,breakout_date,vol_confirmed,hold_confirmed,last_close,breakout_strength,diag_db_l1,diag_db_l2,diag_db_peak,diag_db_diff_pct
LWLG,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,8.64,3.71,pattern:DOUBLE_BOTTOM_neckline,2026-03-03,True,False,5.25,0.415094,475.0,492.0,481.0,0.91
VG,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,8.5,10.43,pattern:DOUBLE_BOTTOM_neckline,2026-03-03,True,False,11.46,0.098754,257.0,271.0,263.0,1.0
FANG,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,8.44,177.25,pattern:DOUBLE_BOTTOM_neckline,2026-03-03,True,False,177.53,0.00158,486.0,497.0,494.0,1.04
IYR,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,8.19,98.46,pattern:DOUBLE_BOTTOM_neckline,2026-03-03,True,False,100.96,0.025391,464.0,481.0,470.0,1.21
UUP,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,8.15,27.09,pattern:DOUBLE_BOTTOM_neckline,2026-03-03,True,False,27.46,0.013658,476.0,486.0,483.0,1.23
IDYA,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,7.43,33.31,pattern:DOUBLE_BOTTOM_neckline,2026-03-03,True,False,34.31,0.030021,483.0,497.0,494.0,1.71
XLU,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,7.14,43.82,pattern:DOUBLE_BOTTOM_neckline,2026-03-03,True,False,47.07,0.074167,463.0,480.0,469.0,1.9
FLNG,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,6.26,26.9,pattern:DOUBLE_BOTTOM_neckline,2026-03-03,True,False,29.26,0.087732,476.0,488.0,478.0,2.49
TTE,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,6.1,66.69,pattern:DOUBLE_BOTTOM_neckline,2026-03-03,True,False,78.34,0.174689,449.0,464.0,460.0,2.6
INGM,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,6.03,22.12,pattern:DOUBLE_BOTTOM_neckline,2026-03-03,True,False,24.41,0.103526,304.0,325.0,319.0,2.65
