ticker,premarket,ts
APA,34.12,2026-03-09 09:25:49+00:00
CNQ,48.08,2026-03-09 08:57:00+00:00
EQNR,33.87,2026-03-09 09:24:23+00:00
FANG,186.1,2026-03-09 09:23:58+00:00
LNG,263.6,2026-03-09 09:25:38+00:00
TTE,78.36,2026-03-09 09:22:39+00:00
VG,13.11,2026-03-09 09:20:46+00:00
USO,121.77,2026-03-09 09:26:02+00:00
BNO,50.04,2026-03-09 09:24:05+00:00
UCO,38.55,2026-03-09 09:25:55+00:00
BATL,24.56,2026-03-09 09:25:46+00:00
RCAT,16.47,2026-03-09 09:26:06+00:00
KTB,75.718,2026-03-09 08:56:50+00:00
SEM,16.25,2026-03-06 23:16:00+00:00
INGM,22.25,2026-03-09 08:09:00+00:00
CF,118.71,2026-03-09 09:24:39+00:00
CHRD,123.62,2026-03-09 08:51:00+00:00
HAFN,7.2,2026-03-09 09:25:56+00:00
IYE,59.76,2026-03-07 00:50:00+00:00
XOP,168.42,2026-03-09 09:09:41+00:00
GLNG,48.0,2026-03-09 09:12:00+00:00
CVE,23.41,2026-03-09 09:24:17+00:00
SHEL,85.15,2026-03-09 09:26:09+00:00
GUSH,37.97,2026-03-09 09:10:11+00:00
IYR,97.55,2026-03-09 09:06:09+00:00
