BUY_NOW,BUY_NOW_REASON,PRIORITY_RANK,PRIORITY_SCORE,near_buy,chase_flag,ticker,price,daily_break_level,breakout_pct_vs_level,reason,grade,score,gap_pct,rsi14,daily_breakout,daily_retest,breakout_confirmed_close,breakout_volume_confirmed,breakout_confirmed_intraday,weekly_r1,room_to_weekly_r1_pct,px_vs_sma50,px_vs_sma200
N,RoomR1<1.0%;RSI>75,1,85.59,True,,CL=F,76.25,75.33,1.2212929775653913,Grade=C | Score=1.0 | IntradayHold=Y | CloseBreak=Y | VolConfirm=Y | Retest=Y | RSI=81.6 | RoomR1=-12.8% | Gap=0.07% | BreakLvl=75.33,C,1.0,0.07,81.58,True,True,True,True,True,66.48,-12.81,23.13,21.51
N,RoomR1<1.0%;RSI>75,2,84.25,True,,BZ=F,83.15,82.11,1.266593593959331,Grade=C | Score=1.0 | IntradayHold=Y | CloseBreak=Y | VolConfirm=Y | Retest=Y | RSI=84.2 | RoomR1=-13.6% | Gap=0.00% | BreakLvl=82.11,C,1.0,0.0,84.25,True,True,True,True,True,71.88,-13.55,24.95,25.26
N,IntradayHold=N;RoomR1<1.0%,3,84.08,True,,GTE,6.83,6.83,0.0,Grade=C | Score=9.0 | IntradayHold=N | CloseBreak=Y | VolConfirm=Y | Retest=Y | RSI=62.8 | RoomR1=-5.7% | Gap=0.15% | BreakLvl=6.83,C,9.0,0.15,62.77,True,True,True,True,False,6.44,-5.71,32.29,48.66
N,IntradayHold=N;RoomR1<1.0%;RSI>75,4,78.9,True,,COP,119.46,119.3,0.13411567476948605,Grade=C | Score=3.0 | IntradayHold=N | CloseBreak=Y | VolConfirm=Y | Retest=Y | RSI=76.3 | RoomR1=-13.8% | Gap=0.13% | BreakLvl=119.30,C,3.0,0.13,76.29,True,True,True,True,False,102.98,-13.8,16.86,26.42
N,IntradayHold=N;RoomR1<1.0%;RSI>75,5,75.14,True,,HAFN,7.89,7.89,0.0,Grade=C | Score=3.0 | IntradayHold=N | CloseBreak=Y | VolConfirm=Y | Retest=Y | RSI=89.6 | RoomR1=-15.8% | Gap=0.00% | BreakLvl=7.89,C,3.0,0.0,89.57,True,True,True,True,False,6.64,-15.79,28.17,34.78
N,VolConfirm=N;RoomR1<1.0%,6,74.39,False,,MPC,212.4,210.42,0.9409751924722043,Grade=C | Score=8.0 | IntradayHold=Y | CloseBreak=Y | VolConfirm=N | Retest=Y | RSI=57.3 | RoomR1=-1.0% | Gap=0.01% | BreakLvl=210.42,C,8.0,0.01,57.27,True,True,True,False,True,210.32,-0.98,15.98,18.18
N,VolConfirm=N;RoomR1<1.0%,7,72.46,False,,VLO,217.94,216.18,0.8141363678416003,Grade=C | Score=2.0 | IntradayHold=Y | CloseBreak=Y | VolConfirm=N | Retest=Y | RSI=70.4 | RoomR1=-5.1% | Gap=-0.04% | BreakLvl=216.18,C,2.0,-0.04,70.41,True,True,True,False,True,206.77,-5.13,16.68,34.66
N,VolConfirm=N;RoomR1<1.0%;RSI>75,8,72.09,False,,LNG,252.7,252.5,0.07920792079207928,Grade=C | Score=0.0 | IntradayHold=Y | CloseBreak=Y | VolConfirm=N | Retest=Y | RSI=82.5 | RoomR1=-13.8% | Gap=-0.11% | BreakLvl=252.50,C,0.0,-0.11,82.54,True,True,True,False,True,217.81,-13.81,20.99,13.53
N,VolConfirm=N;RoomR1<1.0%,9,71.89,False,,CF,108.67,107.8,0.8070500927643831,Grade=C | Score=0.0 | IntradayHold=Y | CloseBreak=Y | VolConfirm=N | Retest=Y | RSI=72.2 | RoomR1=-14.3% | Gap=0.11% | BreakLvl=107.80,C,0.0,0.11,72.22,True,True,True,False,True,93.08,-14.34,22.09,23.54
N,VolConfirm=N;RoomR1<1.0%;RSI>75,10,70.76,False,,WDS,21.7,21.58,0.5560704355885182,Grade=C | Score=2.0 | IntradayHold=Y | CloseBreak=Y | VolConfirm=N | Retest=Y | RSI=79.4 | RoomR1=-18.9% | Gap=0.05% | BreakLvl=21.58,C,2.0,0.05,79.39,True,True,True,False,True,17.61,-18.85,25.7,32.95
N,Chase>2.0%;RoomR1<1.0%;RSI>75,11,67.05,True,CHASE,UCO,29.79,28.52,4.453015427769991,Grade=C | Score=1.0 | IntradayHold=Y | CloseBreak=Y | VolConfirm=Y | Retest=Y | RSI=77.1 | RoomR1=-17.4% | Gap=0.27% | BreakLvl=28.52,C,1.0,0.27,77.06,True,True,True,True,True,24.6,-17.42,35.14,34.02
N,VolConfirm=N;RoomR1<1.0%,12,66.48,False,,CHRD,115.4,113.78,1.4238003164000812,Grade=C | Score=0.0 | IntradayHold=Y | CloseBreak=Y | VolConfirm=N | Retest=Y | RSI=72.8 | RoomR1=-12.4% | Gap=-0.13% | BreakLvl=113.78,C,0.0,-0.13,72.84,True,True,True,False,True,101.13,-12.37,18.34,17.05
