# saved_at_kr,2026-03-04 20:22:13 KST
# count_rows,10
# note,overwrites each run; candidates.txt mode asks price only
ticker,premarket,entered_at_kr,source
BATL,20.77,2026-03-04 20:21:29,manual
BNO,22.72,2026-03-04 20:21:35,manual
COP,117.77,2026-03-04 20:21:43,manual
EQNR,30.81,2026-03-04 20:21:07,manual
FANG,176.46,2026-03-04 20:21:15,manual
LNG,246.8,2026-03-04 20:21:52,manual
TDW,87.68,2026-03-04 20:21:59,manual
TGT,121.47,2026-03-04 20:22:07,manual
TTE,78.09,2026-03-04 20:22:13,manual
XLE,56.34,2026-03-04 20:21:22,manual
