ticker,premarket,ts
EQNR,32.17,2026-03-06 13:15:21+00:00
FANG,182.88,2026-03-06 13:10:58+00:00
LNG,256.0,2026-03-06 13:15:31+00:00
TTE,77.6415,2026-03-06 13:10:12+00:00
VG,13.0193,2026-03-06 13:15:32+00:00
MPC,220.6,2026-03-06 13:12:44+00:00
VLO,231.11,2026-03-06 13:14:57+00:00
PSX,167.99,2026-03-06 13:15:08+00:00
USO,102.6142,2026-03-06 13:15:49+00:00
BNO,42.1084,2026-03-06 13:15:41+00:00
UCO,32.7568,2026-03-06 13:15:43+00:00
BATL,24.8758,2026-03-06 13:15:50+00:00
RCAT,14.89,2026-03-06 13:15:51+00:00
ZD,43.48,2026-03-05 23:37:00+00:00
SEM,16.3,2026-03-06 12:45:00+00:00
CF,115.4879,2026-03-06 13:15:09+00:00
CHRD,121.16,2026-03-06 13:15:22+00:00
WDS,21.8985,2026-03-06 13:09:04+00:00
HAFN,7.29,2026-03-06 13:15:39+00:00
PARR,50.7843,2026-03-06 13:00:07+00:00
IYE,60.19,2026-03-06 13:00:00+00:00
XLE,57.29,2026-03-06 13:15:45+00:00
XOP,167.0,2026-03-06 13:13:43+00:00
GLNG,47.29,2026-03-06 13:04:44+00:00
UUP,27.65,2026-03-06 13:00:35+00:00
HAL,34.57,2026-03-06 13:13:39+00:00
AEM,216.6506,2026-03-06 13:15:31+00:00
GUSH,37.3602,2026-03-06 13:15:32+00:00
IYR,100.18,2026-03-06 13:05:08+00:00
SMH,390.2,2026-03-06 13:15:37+00:00
