ticker,premarket,source
AEM,216.6506,auto
BATL,24.87,manual
BNO,42.1084,auto
CF,115.4879,auto
CHRD,121.16,auto
EQNR,32.2,manual
FANG,182.88,manual
GLNG,47.29,auto
GUSH,37.3602,auto
HAFN,7.51,manual
HAL,34.57,auto
IYE,60.48,manual
IYR,100.18,auto
LNG,255.02,manual
MPC,221.5195,manual
PARR,50.7843,auto
PSX,167.99,auto
RCAT,14.89,auto
SEM,16.3,auto
SMH,390.2,auto
TTE,77.6415,auto
UCO,32.7568,auto
USO,102.6142,auto
UUP,27.65,auto
VG,13.03,manual
VLO,231.11,auto
WDS,21.8985,auto
XLE,57.32,manual
XOP,167.0,auto
ZD,43.65,manual
