ticker,premarket,ts
BATL,20.67,2026-03-04 11:22:16+00:00
BNO,39.0,2026-03-04 11:22:35+00:00
COP,117.65,2026-03-04 11:21:54+00:00
CVE,22.33,2026-03-04 11:03:25+00:00
EQNR,30.91,2026-03-04 11:00:00+00:00
FANG,176.48,2026-03-04 11:08:03+00:00
KTB,77.52,2026-03-04 10:15:00+00:00
LNG,246.98,2026-03-04 11:17:40+00:00
OIH,386.0,2026-03-04 10:36:00+00:00
RCAT,15.09,2026-03-04 11:20:53+00:00
SHEL,82.34,2026-03-04 11:21:49+00:00
TDW,87.68,2026-03-04 10:47:00+00:00
TGT,121.47,2026-03-04 11:16:27+00:00
TTE,78.25,2026-03-04 10:51:00+00:00
UCO,28.87,2026-03-04 11:21:52+00:00
USO,90.62,2026-03-04 11:22:43+00:00
XLE,56.35,2026-03-04 11:21:17+00:00
XOP,158.62,2026-03-04 11:14:37+00:00
ZD,42.07,2026-03-04 11:22:41+00:00
