ticker,premarket,ts
EQNR,32.23,2026-03-06 13:22:15+00:00
FANG,182.818,2026-03-06 13:21:27+00:00
LNG,255.6,2026-03-06 13:20:00+00:00
TTE,77.85,2026-03-06 13:19:56+00:00
VG,13.0094,2026-03-06 13:22:28+00:00
MPC,222.0,2026-03-06 13:21:55+00:00
VLO,230.53,2026-03-06 13:22:11+00:00
PSX,169.05,2026-03-06 13:20:36+00:00
USO,103.16,2026-03-06 13:22:57+00:00
BNO,42.35,2026-03-06 13:22:35+00:00
UCO,32.87,2026-03-06 13:22:40+00:00
BATL,25.34,2026-03-06 13:22:56+00:00
RCAT,14.87,2026-03-06 13:22:10+00:00
ZD,43.5962,2026-03-06 13:00:00+00:00
SEM,16.3,2026-03-06 12:45:00+00:00
CF,115.36,2026-03-06 13:22:57+00:00
CHRD,121.15,2026-03-06 13:21:47+00:00
WDS,21.88,2026-03-06 13:20:24+00:00
HAFN,7.29,2026-03-06 13:20:48+00:00
PARR,50.7843,2026-03-06 13:00:00+00:00
IYE,60.48,2026-03-06 13:04:45+00:00
XLE,57.35,2026-03-06 13:22:50+00:00
XOP,166.9995,2026-03-06 13:22:07+00:00
GLNG,47.29,2026-03-06 13:04:44+00:00
UUP,27.5967,2026-03-06 13:02:30+00:00
HAL,34.54,2026-03-06 13:21:54+00:00
AEM,216.65,2026-03-06 13:21:32+00:00
GUSH,37.5,2026-03-06 13:22:47+00:00
IYR,100.18,2026-03-06 13:05:00+00:00
SMH,389.978,2026-03-06 13:22:38+00:00
