ticker,premarket,source
AEM,216.65,auto
BATL,25.23,manual
BNO,42.35,auto
CF,115.36,auto
CHRD,121.15,auto
EQNR,32.25,manual
FANG,182.8,manual
GLNG,47.29,auto
GUSH,37.5,auto
HAFN,7.29,manual
HAL,34.54,auto
IYE,60.48,manual
IYR,100.18,auto
LNG,255.25,manual
MPC,219.8,manual
PARR,50.7843,auto
PSX,169.05,auto
RCAT,14.87,auto
SEM,16.3,auto
SMH,389.978,auto
TTE,77.85,auto
UCO,32.87,auto
USO,103.16,auto
UUP,27.5967,auto
VG,13.0035,manual
VLO,230.53,auto
WDS,21.88,auto
XLE,57.34,manual
XOP,166.9995,auto
ZD,43.65,manual
