# saved_at_kr,2026-03-04 19:22:07 KST
# used_candidates_txt,True
# used_candidates_meta,True
# count_base,10
# count_premarket,27
# count_final_universe,10
# count_scored,9
# count_skipped,1
ticker,price,gap_pct,rsi14,px_vs_sma50,px_vs_sma200,weekly_up,weekly_r1,weekly_s1,room_to_weekly_r1_pct,daily_break_level,break_level_src,daily_breakout,daily_retest,in_daily_box_middle,breakout_confirmed_close,breakout_volume_confirmed,breakout_confirmed_intraday,grade,score
IDYA,34.53,0.65,55.44,1.59,22.91,True,39.28,29.47,13.75,33.31,pattern:DOUBLE_BOTTOM,True,False,True,True,True,True,C,12.0
IYR,100.96,0.0,61.23,4.27,5.25,True,98.46,94.41,-2.48,98.46,pattern:DOUBLE_BOTTOM,True,True,False,True,True,True,C,9.0
TTE,78.22,-0.15,63.13,10.19,22.0,True,66.92,62.16,-14.45,66.69,pattern:DOUBLE_BOTTOM,True,False,False,True,True,True,C,8.0
FANG,177.2,-0.19,66.7,11.58,19.95,True,164.44,139.41,-7.2,177.25,pattern:DOUBLE_BOTTOM,True,True,False,True,True,False,C,7.0
INGM,24.4,-0.04,66.43,13.91,16.92,True,22.27,20.24,-8.73,22.12,pattern:DOUBLE_BOTTOM,True,False,False,True,True,True,C,6.0
XLU,47.09,0.04,72.67,7.14,9.34,True,43.82,41.74,-6.94,43.82,pattern:DOUBLE_BOTTOM,True,False,False,True,True,True,C,2.0
FLNG,29.42,0.55,72.79,12.01,16.5,True,27.46,25.41,-6.66,26.9,pattern:DOUBLE_BOTTOM,True,False,False,True,True,True,C,2.0
UUP,27.46,0.0,89.29,1.38,-0.08,False,27.45,26.4,-0.04,27.09,pattern:DOUBLE_BOTTOM,True,True,True,True,True,True,C,0.0
LWLG,5.62,7.05,85.0,49.55,74.36,True,4.95,3.0,-11.92,3.71,pattern:DOUBLE_BOTTOM,True,False,False,True,True,True,C,0.0
