ticker,premarket,ts
APA,33.8,2026-03-09 09:20:23+00:00
CNQ,48.08,2026-03-09 08:57:00+00:00
EQNR,33.81,2026-03-09 09:21:38+00:00
FANG,186.11,2026-03-09 09:22:35+00:00
LNG,263.6,2026-03-09 09:22:20+00:00
TTE,78.36,2026-03-09 09:22:39+00:00
VG,13.11,2026-03-09 09:20:46+00:00
USO,122.1,2026-03-09 09:22:53+00:00
BNO,49.81,2026-03-09 09:22:27+00:00
UCO,38.79,2026-03-09 09:22:44+00:00
BATL,24.7,2026-03-09 09:22:34+00:00
RCAT,16.49,2026-03-09 09:22:24+00:00
KTB,75.718,2026-03-09 08:56:50+00:00
SEM,16.25,2026-03-06 23:16:00+00:00
INGM,22.25,2026-03-09 08:09:00+00:00
CF,118.92,2026-03-09 09:22:46+00:00
CHRD,123.62,2026-03-09 08:51:00+00:00
HAFN,7.21,2026-03-09 09:17:35+00:00
IYE,59.76,2026-03-07 00:50:00+00:00
XOP,168.63,2026-03-09 09:07:50+00:00
GLNG,48.0,2026-03-09 09:12:35+00:00
CVE,23.5,2026-03-09 09:20:46+00:00
SHEL,85.2,2026-03-09 09:22:47+00:00
GUSH,37.92,2026-03-09 09:03:20+00:00
IYR,97.55,2026-03-09 09:06:09+00:00
