ticker,status,last_close,sma50,sma200,avgvol50,last_vol,relvol_proxy,reasons,market_cap,n_days
APA,PASS,32.68000030517578,26.930600051879882,23.07770001411438,6625982.0,10549000.0,1.5920659005714173,,11395498887.0,
CNQ,PASS,46.310001373291016,37.643999938964846,33.25944996833801,9415530.0,14312400.0,1.5200843712462284,,96535551105.0,
COP,fail,117.06999969482422,103.6513996887207,94.85880012512207,8660792.0,11552500.0,1.3338849380056697,relvol<min,,
EQNR,PASS,33.59000015258789,26.610200080871582,25.04970004081726,5571956.0,10987100.0,1.9718569206217709,,77964502875.0,
FANG,PASS,180.5399932861328,160.6574008178711,148.30285018920898,2314838.0,4915900.0,2.123647529546344,,50866892081.0,
LNG,PASS,255.14999389648438,212.4123992919922,222.80759986877442,2066288.0,4687700.0,2.2686576121044113,,54078338960.0,
TTE,PASS,78.7699966430664,71.70679954528809,64.3846499633789,1538848.0,2735000.0,1.7773035413504128,,166386318300.0,
VG,PASS,12.479999542236328,8.971600008010864,11.33335000038147,14318910.0,28689000.0,2.0035742944120747,,28055347523.0,
CRAK,fail,46.81999969482422,41.96722007751465,37.27012509346008,75312.0,84300.0,1.1193435309114086,"avgvol50<min,relvol<min",,
MPC,fail,221.27999877929688,186.29740020751953,180.56099990844726,2352312.0,3398700.0,1.4448338485711079,relvol<min,,
VLO,fail,224.6300048828125,190.58360076904296,163.20395008087158,3382490.0,4334200.0,1.2813637290871518,relvol<min,,
PSX,fail,165.9600067138672,146.7031997680664,133.37705020904542,2528782.0,3481100.0,1.3765915764980927,relvol<min,,
USO,PASS,108.7699966430664,76.72820007324219,73.84599987030029,11433002.0,68296600.0,5.973636670403801,,10742819840.0,
BNO,PASS,43.95000076293945,31.919200248718262,30.13440011024475,1597874.0,10969700.0,6.865184614055927,,,
UCO,PASS,33.58000183105469,22.748399963378905,22.370899991989134,4623002.0,17776600.0,3.845250337334918,,,
BATL,PASS,22.360000610351562,4.167500011920929,1.9892750024795531,14514252.0,34600900.0,2.3839258130560226,,455517668.0,
RCAT,PASS,15.359999656677246,12.598799934387207,9.976449990272522,14422668.0,57130100.0,3.961132572697368,,1754755720.0,
TGT,fail,120.79000091552734,109.35960006713867,98.90384994506836,6640966.0,5976200.0,0.8998992014113609,relvol<min,,
ZD,fail,42.31999969482422,34.89560001373291,34.49460005760193,1003540.0,957200.0,0.9538234649341332,relvol<min,,
NPT,insufficient_history,,,,,,,,,93.0
KTB,PASS,76.2699966430664,64.07499992370606,70.22690002441406,813540.0,1298800.0,1.5964795830567642,,4346308603.0,
SEM,PASS,16.25,15.343799934387206,14.28555000782013,1205020.0,3746300.0,3.1089110554181674,,2016519554.0,
SRRK,fail,45.290000915527344,45.36680000305176,37.73930016517639,1065274.0,1471000.0,1.3808653923779235,"relvol<min,below_sma50",,
LWLG,fail,4.199999809265137,3.857200012207031,3.2749500074982643,2039900.0,2460700.0,1.2062846217951861,"price<min,relvol<min",,
TDW,fail,77.79000091552734,64.54760009765624,55.22485006332398,757808.0,1014700.0,1.338993518147077,relvol<min,,
GTE,FAIL_MCAP_LOW,7.869999885559082,5.365,4.630800001621246,667092.0,1951100.0,2.9247839878157738,mcap<min,232246058.0,
IDYA,fail,33.189998626708984,33.96480007171631,28.33420000076294,865138.0,707800.0,0.8181353726226336,"relvol<min,below_sma50",,
ASTS,fail,89.4749984741211,94.35989990234376,64.51834980010986,16196400.0,13555000.0,0.8369143760341804,"relvol<min,below_sma50",,
CNR,fail,86.9000015258789,91.80860000610352,81.29429985046387,748298.0,861600.0,1.1514129397646393,"relvol<min,below_sma50",,
DEC,fail,14.550000190734863,13.51980001449585,14.251650018692017,611750.0,759100.0,1.2408663669799755,relvol<min,,
INGM,PASS,22.059999465942383,21.5792000579834,20.932749977111815,641310.0,6548000.0,10.21035068843461,,6180060315.0,
CF,PASS,115.77999877929688,90.89259994506835,88.29764999389648,2680492.0,8227000.0,3.06921266692831,,16580105133.0,
CHRD,PASS,121.36000061035156,99.11880004882812,98.90650012969971,861358.0,1944900.0,2.2579461733681003,,6432374968.0,
