# saved_at_kr,2026-03-06 00:11:10 KST
# used_candidates_txt,True
# used_candidates_meta,False
# count_base,10
# count_premarket,42
# count_final_universe,10
# count_scored,10
# count_skipped,0
ticker,price,gap_pct,rsi14,px_vs_sma50,px_vs_sma200,weekly_up,weekly_r1,weekly_s1,room_to_weekly_r1_pct,daily_break_level,break_level_src,daily_breakout,daily_retest,in_daily_box_middle,breakout_confirmed_close,breakout_volume_confirmed,breakout_confirmed_intraday,grade,score
XLE,56.6,0.05,69.47,12.24,24.58,True,46.66,43.77,-17.56,57.88,rolling60d_high,False,False,False,False,False,False,C,3.0
BNO,22.73,-42.98,94.43,-28.08,-24.36,True,31.73,27.83,39.6,40.05,rolling60d_high,False,False,False,False,False,False,C,-1.0
BATL,20.36,-1.83,74.18,438.61,975.61,True,6.89,2.33,-66.16,29.7,rolling60d_high,False,False,False,False,False,False,C,-1.0
ZD,43.87,-0.24,76.54,26.18,27.35,True,41.07,33.14,-6.38,50.55,rolling60d_high,False,False,False,False,False,False,C,-1.0
TDW,83.38,0.0,77.22,30.12,51.45,True,60.28,49.54,-27.7,88.99,rolling60d_high,False,False,False,False,False,False,C,-1.0
EQNR,31.79,0.09,76.5,20.46,27.17,True,24.9,22.26,-21.67,32.58,rolling60d_high,False,False,False,False,False,False,C,-1.0
LNG,251.0,-0.09,80.83,18.88,12.7,False,217.81,186.2,-13.22,255.78,rolling60d_high,False,False,False,False,False,False,C,-3.0
BZ=F,83.93,0.04,92.61,24.51,26.12,False,71.88,59.45,-14.36,85.05,rolling60d_high,False,False,False,False,False,False,C,-3.0
CL=F,78.01,0.09,90.46,24.44,24.06,False,66.48,55.76,-14.78,77.98,rolling60d_high,False,False,False,False,False,False,C,-3.0
UCO,30.31,0.13,88.45,34.94,35.87,False,24.6,18.49,-18.84,30.48,rolling60d_high,False,False,False,False,False,False,C,-3.0
