ticker,status,last_close,sma50,sma200,avgvol50,last_vol,relvol_proxy,reasons,n_days
APA,fail,32.16999816894531,26.76099998474121,22.999849996566773,6377193.52,1311676.0,0.2056823265416603,relvol<min,
CNQ,fail,45.599998474121094,37.369999923706054,33.182099952697754,9059957.16,1230658.0,0.13583485862752137,relvol<min,
COP,fail,117.91000366210938,103.1979997253418,94.73095016479492,8345348.54,808227.0,0.09684760272457117,relvol<min,
EQNR,fail,31.889999389648438,26.392800064086913,24.997950038909913,5237995.5,1858375.0,0.3547874372935219,relvol<min,
FANG,fail,177.61000061035156,159.98720123291017,148.089750289917,2147254.98,284149.0,0.1323312800047622,relvol<min,
LNG,fail,250.38499450683594,211.11369934082032,222.70212493896486,1923036.2,381910.0,0.19859740549865884,relvol<min,
TTE,fail,77.80000305175781,71.46259971618652,64.29159999847413,1459348.82,288341.0,0.19758195987714575,relvol<min,
VG,fail,12.045000076293945,8.84950002670288,11.320325002670288,13286770.4,8314320.0,0.6257592891045969,relvol<min,
CRAK,fail,47.03499984741211,41.78832008361817,37.187510089874266,68567.34,31167.0,0.4545458522964432,"avgvol50<min,relvol<min",
MPC,fail,224.7100067138672,185.31420043945312,180.30269996643065,2257885.74,409087.0,0.18118144454909396,relvol<min,
VLO,fail,231.2899932861328,189.4272006225586,162.76875003814698,3247289.04,917852.0,0.2826517715835976,relvol<min,
PSX,fail,168.14999389648438,145.9979995727539,133.16670013427733,2414902.52,651426.0,0.2697525033018724,relvol<min,
USO,fail,94.42500305175781,75.90970031738281,73.63527492523194,9308831.04,4989452.0,0.5359912515932828,relvol<min,
BNO,fail,39.88999938964844,31.6052001953125,30.05180009841919,1264643.04,629252.0,0.49757281706939216,relvol<min,
UCO,fail,30.31999969482422,22.463599891662597,22.308049974441527,4086329.94,2121097.0,0.5190713993104531,relvol<min,
BATL,fail,19.422000885009766,3.753740017414093,1.8862850040197372,12937617.74,8003887.0,0.6186523022127874,relvol<min,
RCAT,fail,14.885000228881836,12.472099952697754,9.93307499408722,13208377.76,4683288.0,0.35456950770917384,relvol<min,
TGT,fail,120.4000015258789,108.84860000610351,98.79004993438721,6629328.86,548143.0,0.0826845388991609,relvol<min,
ZD,fail,43.43000030517578,34.75640003204346,34.446100053787234,951623.94,111197.0,0.11684972952656068,relvol<min,
NPT,insufficient_history,,,,,,,,92.0
