ticker,premarket,source
AEM,224.9445953369141,auto
ASTS,99.44499969482422,auto
BATL,19.219999313354492,auto
BNO,39.880001068115234,auto
BOIL,17.209999084472656,auto
BZ=F,84.02999877929688,auto
CCJ,117.72000122070312,auto
CL=F,78.1500015258789,auto
COP,117.83999633789062,auto
CVE,23.125,auto
CVX,187.7400054931641,auto
EQNR,31.8799991607666,auto
ES=F,6859.25,auto
FANG,178.02,manual
FCX,63.64,manual
GC=F,5110.7998046875,auto
HAL,34.255,manual
IYH,64.68,manual
IYR,100.15,manual
KOS,2.630000114440918,auto
LNG,250.3849945068359,auto
LWLG,4.67,manual
NG=F,2.947000026702881,auto
NPT,14.130000114440918,auto
NQ=F,25134.25,auto
OIH,381.4200134277344,auto
PARR,51.209999084472656,auto
RB=F,2.5799999237060547,auto
RCAT,14.979999542236328,auto
SCCO,197.72000122070312,auto
SHEL,83.19000244140625,auto
SLB,47.52000045776367,auto
SMH,400.9700012207031,auto
SRRK,47.59000015258789,auto
TDW,83.83000183105469,auto
TGT,120.54,manual
TRX,1.7100000381469729,auto
TTE,77.79000091552734,auto
UCO,30.30500030517578,auto
USO,94.45999908447266,auto
UUP,27.48,manual
VG,11.92,manual
XLE,56.595001220703125,auto
XLK,141.18499755859375,auto
XOP,164.1699981689453,auto
ZD,43.43000030517578,auto
^TNX,4.144000053405762,auto
