ticker,premarket,source
AEM,215.01,auto
APA,33.4,auto
ASTS,91.2,auto
BATL,24.37,auto
BNO,48.62,auto
BOIL,21.38,auto
BZ=F,103.47000122070312,auto
CCJ,107.18,auto
CF,118.24,auto
CHRD,123.62,auto
CL=F,98.7699966430664,auto
CNQ,48.0,auto
CNR,86.85,auto
COP,119.45,auto
CRAK,46.82,auto
CVE,23.16,auto
CVX,191.75,auto
DEC,14.65,auto
DIG,56.7,auto
EOG,135.0,auto
EQNR,33.43,auto
ERX,90.47,auto
ES=F,6698.5,auto
FANG,184.11,manual
FCX,57.99,auto
FLNG,31.08,manual
GC=F,5136.60009765625,auto
GLNG,48.69,manual
GTE,8.52,auto
GUSH,37.75,auto
HAFN,7.12,auto
HAL,34.57,auto
HHH,68.16,auto
IDU,118.42,auto
IDYA,33.28,auto
INGM,22.25,auto
IYE,59.76,auto
IYH,63.0,auto
IYM,173.4701,auto
IYR,97.55,manual
IYW,185.1,auto
JETS,24.72,auto
KOS,2.68,auto
KTB,75.718,auto
LNG,264.08,auto
LWLG,4.0,auto
MPC,224.68,auto
NG=F,3.3589999675750732,auto
NPT,19.98,auto
NQ=F,24485.0,auto
OIH,377.8,auto
PARR,49.45,auto
PPH,105.5991,auto
PSX,168.2,auto
RB=F,2.8262999057769775,auto
RCAT,16.41,manual
SCCO,179.09,auto
SEM,16.25,auto
SHEL,84.85,auto
SLB,47.39,auto
SMH,378.0,auto
SRRK,44.7,auto
SU,59.0,auto
TDW,78.89,auto
TGT,118.8,auto
TRX,1.625,auto
TTE,78.33,manual
UCO,37.36,auto
USO,117.6,manual
UUP,27.54,manual
UYM,28.5,auto
VG,13.01,manual
VLO,226.0,auto
WDS,21.7,auto
XLB,48.8,auto
XLE,57.2,auto
XLK,136.2,auto
XLU,46.33,auto
XOP,167.11,auto
ZD,42.31,auto
^TNX,4.133000373840332,auto
^VIX,31.59,auto
