ticker,status,last_close,sma50,sma200,avgvol50,last_vol,relvol_proxy,reasons,n_days,market_cap,mcap_source
APA,fail,32.2400016784668,26.76240005493164,23.00020001411438,6378017.74,1352887.0,0.21211715852016427,relvol<min,,,
CNQ,fail,45.560001373291016,37.369199981689455,33.1818999671936,9061282.5,1296925.0,0.1431281940497937,relvol<min,,,
COP,fail,117.68000030517578,103.19339965820312,94.72980014801026,8346705.02,876051.0,0.10495770461527584,relvol<min,,,
EQNR,fail,31.799999237060547,26.391000061035157,24.997500038146974,5239244.56,1920828.0,0.3666230843020621,relvol<min,,,
FANG,fail,178.22000122070312,159.99940124511718,148.09280029296875,2148452.5,344025.0,0.1601268820232237,relvol<min,,,
LNG,fail,251.33900451660156,211.13277954101562,222.70689498901368,1923849.36,422568.0,0.21964713495031649,relvol<min,,,
TTE,fail,77.66999816894531,71.45999961853028,64.29094997406006,1459883.44,315072.0,0.2158199698463598,relvol<min,,,
VG,fail,12.005000114440918,8.84870002746582,11.320125002861023,13296608.06,8806203.0,0.6622894320312845,relvol<min,,,
CRAK,fail,47.03499984741211,41.78832008361817,37.187510089874266,68569.76,31288.0,0.4562944364979548,"avgvol50<min,relvol<min",,,
MPC,fail,224.77000427246094,185.315400390625,180.30299995422362,2258705.26,450063.0,0.19925707349705293,relvol<min,,,
VLO,fail,230.8249969482422,189.41790069580077,162.7664250564575,3248233.6,965080.0,0.2971091734289061,relvol<min,,,
PSX,fail,167.90499877929688,145.99309967041015,133.1654751586914,2415529.86,682793.0,0.28266800229081,relvol<min,,,
USO,fail,94.5999984741211,75.91320022583008,73.63614990234375,9315978.26,5346813.0,0.5739400469575592,relvol<min,,,
BNO,fail,39.93000030517578,31.606000213623048,30.052000102996825,1265309.64,662582.0,0.5236520603763044,relvol<min,,,
UCO,fail,30.324800491333008,22.463695907592772,22.308073978424073,4088382.04,2223702.0,0.5439075845270076,relvol<min,,,
BATL,fail,19.645000457763672,3.758200008869171,1.8874000018835069,12942009.34,8223467.0,0.6354088290280897,relvol<min,,,
RCAT,fail,15.04010009765625,12.475201950073242,9.933850493431091,13212625.44,4895672.0,0.37052984073693684,relvol<min,,,
TGT,fail,120.4000015258789,108.84860000610351,98.79004993438721,6630102.4,586820.0,0.08850843691343288,relvol<min,,,
ZD,fail,43.724998474121094,34.76229999542236,34.44757504463196,951747.16,117358.0,0.12330795922732252,relvol<min,,,
NPT,insufficient_history,,,,,,,,92.0,,
KTB,fail,78.27999877929688,63.805599975585935,70.20995002746582,775016.58,94029.0,0.12132514636009466,relvol<min,,,
SEM,fail,16.2450008392334,15.31649995803833,14.280275011062622,1089874.22,287411.0,0.2637102472246752,relvol<min,,,
SRRK,fail,47.68000030517578,45.39559997558594,37.6713001537323,1024322.44,334522.0,0.32657880657188376,relvol<min,,,
LWLG,fail,4.662499904632568,3.843650016784668,3.26196250885725,1983623.98,2589699.0,1.3055392685865796,price<min,,,
TDW,fail,83.52999877929688,64.0818000793457,55.05505006790161,730935.8,90290.0,0.12352658058341101,relvol<min,,,
GTE,FAIL_MCAP_LOW,7.269999980926514,5.285800008773804,4.615150003433228,623121.78,654689.0,1.0506597923763794,mcap<min,,232246058.0,cache_legacy
IDYA,fail,33.959999084472656,34.029600105285645,28.263300008773804,854001.3,50165.0,0.05874112838001534,"relvol<min,below_sma50",,,
ASTS,fail,99.95500183105469,94.42190002441406,64.22449981689454,16051787.16,3398058.0,0.21169343738046426,relvol<min,,,
CNR,fail,89.68000030517578,91.85600006103516,81.23069984436034,723712.14,99207.0,0.13708074594409872,"relvol<min,below_sma50",,,
DEC,fail,14.75,13.513000011444092,14.248900017738343,587758.48,34524.0,0.05873841241729086,relvol<min,,,
INGM,fail,26.172000885009766,21.579840087890624,20.924459981918336,509918.14,89907.0,0.1763165358267113,relvol<min,,,
CF,fail,111.09500122070312,90.13190002441407,88.15827499389648,2423930.66,1731733.0,0.7144317403865009,relvol<min,,,
CHRD,fail,119.16000366210938,98.50540008544922,98.77420013427735,804572.5,234725.0,0.29173878053251884,relvol<min,,,
WDS,fail,22.030000686645508,17.54939994812012,16.399599967002867,945144.46,261923.0,0.27712483232457397,relvol<min,,,
FLNG,fail,29.360000610351562,26.433999977111817,25.29934998512268,462055.52,134976.0,0.29212073908347636,"avgvol50<min,relvol<min",,,
SU,fail,57.630001068115234,51.21720001220703,43.070550022125246,4946044.78,459939.0,0.09299127291767059,relvol<min,,,
CVX,fail,187.71499633789062,171.52169952392578,156.398724899292,10856427.64,1340982.0,0.1235196368885852,relvol<min,,,
EOG,fail,130.4149932861328,112.80289932250976,113.97627464294433,4762218.3,549715.0,0.11543254957463836,relvol<min,,,
HAFN,fail,7.630000114440918,6.243800001144409,5.8748499774932865,1289881.08,820554.0,0.6361470159714258,relvol<min,,,
KOS,fail,2.646199941635132,1.4841239964962005,1.6322310075163842,19672519.14,5237457.0,0.2662321466166839,"price<min,relvol<min",,,
BNAL,insufficient_history,,,,,,,,0.0,,
FBF,insufficient_history,,,,,,,,0.0,,
PARR,fail,51.27000045776367,39.22459991455078,35.115299978256225,1144139.42,202771.0,0.17722577900514958,relvol<min,,,
IYE,fail,59.810001373291016,53.377800140380856,48.236800079345706,1603716.1,438705.0,0.27355527577480826,relvol<min,,,
XLE,fail,56.61000061035156,50.426599655151364,45.432174854278564,51657332.72,13062236.0,0.2528631524744354,relvol<min,,,
XOP,fail,164.35000610351562,138.94460052490234,131.31585010528565,4127383.02,1493451.0,0.3618396918248697,relvol<min,,,
FCX,fail,63.25749969482422,60.3325496673584,46.931087284088136,19896438.34,3098217.0,0.15571716641220723,relvol<min,,,
GLNG,fail,46.44139862060547,41.21682777404785,40.41765697479248,1275164.58,220729.0,0.17309844035975339,relvol<min,,,
CL=F,fail,77.97000122070312,62.68959976196289,62.88309986114502,347628.28,298467.0,0.8585808956624587,"avgvol50<min,relvol<min",,,
BZ=F,fail,83.87999725341797,67.40999977111817,66.54709981918334,59236.32,76932.0,1.2987302384753139,avgvol50<min,,,
RB=F,fail,2.577199935913086,1.9085659885406494,1.9887559992074966,47881.82,70234.0,1.4668197658317916,"price<min,avgvol50<min",,,
NG=F,fail,2.9489998817443848,3.720419993400574,3.575509992837906,183763.14,41836.0,0.22766263136339526,"price<min,avgvol50<min,relvol<min,below_sma50,below_sma200",,,
ES=F,fail,6871.0,6934.11,6606.203850097656,1443058.96,489977.0,0.33954052715905664,"relvol<min,below_sma50",,,
NQ=F,fail,25179.75,25430.95,24297.015,540831.18,243817.0,0.4508190522595239,"relvol<min,below_sma50",,,
^VIX,fail,21.899999618530273,17.463200035095216,17.360150036811827,0.0,0.0,,avgvol50<min,,,
^TNX,fail,4.1479997634887695,4.15503999710083,4.205439995527268,0.0,0.0,,"price<min,avgvol50<min,below_sma50,below_sma200",,,
GC=F,fail,5115.2001953125,4828.439990234375,3971.8434924316407,5545.24,87292.0,15.741789354473386,avgvol50<min,,,
UUP,fail,27.5,27.0642000579834,27.47834997177124,1300231.18,286259.0,0.22016007953293354,relvol<min,,,
JETS,fail,26.54010009765625,28.877402038574218,25.829950494766237,4062627.08,1130654.0,0.2783061250111098,"relvol<min,below_sma50",,,
SLB,fail,47.310001373291016,47.13680030822754,38.16290017127991,18531308.9,2058945.0,0.11110629104024056,relvol<min,,,
HAL,fail,34.14500045776367,32.965900077819825,25.810875024795532,12854372.32,2389516.0,0.18589130145873975,relvol<min,,,
CVE,fail,23.059999465942383,19.535399894714356,16.847499952316284,13413478.52,1377126.0,0.1026673280869428,relvol<min,,,
SHEL,fail,83.04000091552734,76.39380020141601,73.152200050354,4824564.4,1445573.0,0.29962767208579494,relvol<min,,,
OIH,fail,380.8550109863281,345.5490997314453,278.93942459106444,680293.8,100090.0,0.14712760868906932,relvol<min,,,
XLB,fail,51.42499923706055,49.951100006103516,45.82295000076294,16301893.58,3479279.0,0.21342790534889505,relvol<min,,,
IYM,fail,181.97000122070312,173.20299896240235,151.84864974975585,158125.22,27461.0,0.1736661615395697,"avgvol50<min,relvol<min",,,
XOI,insufficient_history,,,,,,,,0.0,,
OSX,insufficient_history,,,,,,,,0.0,,
XNG,insufficient_history,,,,,,,,0.0,,
XAL,insufficient_history,,,,,,,,0.0,,
GOX,insufficient_history,,,,,,,,0.0,,
XAU,insufficient_history,,,,,,,,0.0,,
SCCO,fail,197.02000427246094,184.26888244628907,128.9654234313965,2077336.5,357628.0,0.1721569904538817,relvol<min,,,
AEM,fail,222.89999389648438,206.03460052490234,160.38334995269776,2656034.96,438848.0,0.16522674084079075,relvol<min,,,
CCJ,fail,117.6500015258789,113.2995997619629,87.94899990081787,4076236.0,538800.0,0.13218076676620294,relvol<min,,,
TRX,fail,1.7050000429153442,1.3887000048160554,0.7288750027120113,7582334.38,949719.0,0.12525417007525855,"price<min,relvol<min",,,
ERX,fail,87.9800033569336,70.83940025329589,58.266200103759765,443801.02,226351.0,0.5100281202598408,"avgvol50<min,relvol<min",,,
DIG,fail,56.70600128173828,45.75772026062012,37.686530122756956,59729.88,17794.0,0.2979078477974508,"avgvol50<min,relvol<min",,,
GUSH,fail,36.22999954223633,26.386199951171875,24.141099996566773,1320005.54,919677.0,0.6967220758785603,relvol<min,,,
UYM,fail,31.09000015258789,29.58379997253418,25.357850008010864,27254.94,2147.0,0.07877471019932533,"avgvol50<min,relvol<min",,,
BOIL,fail,17.235000610351562,21.319099960327147,33.00032500267029,14790307.78,3001389.0,0.2029294484364003,"relvol<min,below_sma50,below_sma200",,,
AUX,insufficient_history,,,,,,,,0.0,,
BIX,insufficient_history,,,,,,,,0.0,,
BTK,insufficient_history,,,,,,,,0.0,,
CORE_ETFS_1XXCO,insufficient_history,,,,,,,,0.0,,
GHA,insufficient_history,,,,,,,,0.0,,
GSV,insufficient_history,,,,,,,,0.0,,
CWX,insufficient_history,,,,,,,,0.0,,
GSO,insufficient_history,,,,,,,,0.0,,
XCI,insufficient_history,,,,,,,,0.0,,
IXF,insufficient_history,,,,,,,,0.0,,
FPP,insufficient_history,,,,,,,,0.0,,
GAX,insufficient_history,,,,,,,,0.0,,
HCX,insufficient_history,,,,,,,,0.0,,
INDS,fail,39.79999923706055,38.900612106323244,37.65065050125122,12930.6,451.0,0.03487850525110977,"avgvol50<min,relvol<min",,,
IUX,insufficient_history,,,,,,,,0.0,,
