ticker,premarket,source
AEM,222.68499755859375,auto
ASTS,99.85530090332033,auto
BATL,20.36,manual
BNO,22.73,manual
BOIL,17.209999084472656,auto
BZ=F,83.93000030517578,auto
CCJ,117.69000244140624,auto
CL=F,78.01000213623047,auto
COP,117.70999908447266,auto
CVE,23.049999237060547,auto
CVX,187.56500244140625,auto
EQNR,31.79,manual
ES=F,6871.5,auto
FANG,178.25999450683594,auto
FCX,63.220001220703125,auto
GC=F,5116.60009765625,auto
HAL,34.143798828125,auto
KOS,2.641400098800659,auto
LNG,251.0,manual
NG=F,2.9519999027252197,auto
NPT,13.901900291442873,auto
NQ=F,25182.25,auto
OIH,380.2699890136719,auto
PARR,51.099998474121094,auto
RB=F,2.575700044631958,auto
RCAT,15.0600004196167,auto
SCCO,197.02000427246097,auto
SHEL,82.98999786376953,auto
SLB,47.29999923706055,auto
SMH,399.6199951171875,auto
SRRK,47.68000030517578,auto
TDW,83.38,manual
TGT,120.2699966430664,auto
TRX,1.6907000541687012,auto
TTE,77.66999816894531,auto
UCO,30.31,manual
USO,94.5999984741211,auto
XLE,56.6,manual
XLK,140.94000244140625,auto
XOP,164.1699981689453,auto
ZD,43.87,manual
^TNX,4.1479997634887695,auto
