# saved_at_kr,2026-03-09 18:43:38 KST
# count_rows,10
# note,overwrites each run; candidates.txt mode asks price only
ticker,premarket,entered_at_kr,source
BATL,24.37,2026-03-09 18:42:46,manual
CRAK,46.82,2026-03-09 18:42:58,manual
DIG,58.0,2026-03-09 18:43:32,manual
ERX,89.4,2026-03-09 18:43:18,manual
HAFN,7.15,2026-03-09 18:43:11,manual
IYE,59.75,2026-03-09 18:43:04,manual
LNG,265.02,2026-03-09 18:43:38,manual
LWLG,4.09,2026-03-09 18:43:26,manual
VG,13.01,2026-03-09 18:42:51,manual
ZD,42.32,2026-03-09 18:42:39,manual
