ticker,premarket,ts
CL=F,101.69000244140625,2026-03-09 09:31:00+00:00
BZ=F,105.23999786376953,2026-03-09 09:31:00+00:00
RB=F,2.8547000885009766,2026-03-09 09:31:00+00:00
NG=F,3.375,2026-03-09 09:31:00+00:00
ES=F,6674.25,2026-03-09 09:31:00+00:00
NQ=F,24383.0,2026-03-09 09:31:00+00:00
^VIX,31.91,2026-03-09 09:25:00+00:00
^TNX,4.133000373840332,2026-03-06 19:59:00+00:00
GC=F,5133.89990234375,2026-03-09 09:31:00+00:00
UUP,27.55,2026-03-09 09:24:13+00:00
JETS,24.65,2026-03-09 09:21:59+00:00
PSX,168.2,2026-03-09 09:08:00+00:00
MPC,224.68,2026-03-09 09:22:27+00:00
SLB,47.39,2026-03-09 09:40:22+00:00
HAL,34.57,2026-03-09 09:37:14+00:00
CVE,23.16,2026-03-09 09:24:29+00:00
SHEL,84.87,2026-03-09 09:38:50+00:00
LNG,264.08,2026-03-09 09:39:48+00:00
XLE,57.25,2026-03-09 09:40:48+00:00
IYE,59.76,2026-03-07 00:50:00+00:00
XOP,167.11,2026-03-09 09:37:35+00:00
OIH,377.8,2026-03-09 09:39:30+00:00
XLB,48.8,2026-03-09 09:05:55+00:00
IYM,173.4701,2026-03-06 23:26:00+00:00
FCX,57.9,2026-03-09 09:39:16+00:00
SCCO,179.09,2026-03-09 09:35:12+00:00
AEM,215.01,2026-03-09 09:25:20+00:00
CCJ,107.05,2026-03-09 09:38:46+00:00
TRX,1.625,2026-03-09 09:23:09+00:00
ERX,90.81,2026-03-09 09:18:00+00:00
DIG,56.7,2026-03-06 23:26:00+00:00
GUSH,37.75,2026-03-09 09:34:25+00:00
UYM,28.5,2026-03-07 00:10:00+00:00
BOIL,21.37,2026-03-09 09:39:45+00:00
UCO,37.47,2026-03-09 09:40:39+00:00
IUX,39.42,2026-03-06 23:11:00+00:00
XBD,2.25,2026-03-09 08:09:00+00:00
TXX,4.73,2026-03-07 00:34:00+00:00
IYD,189.0,2026-03-06 22:43:00+00:00
IYH,84.05,2026-03-06 22:29:00+00:00
HHH,63.0,2026-03-09 08:15:00+00:00
IYV,68.16,2026-03-09 08:57:00+00:00
PPH,105.5991,2026-03-07 00:04:00+00:00
IYR,1.83,2026-03-09 08:03:00+00:00
RMS,97.55,2026-03-09 09:21:07+00:00
SMH,31.110000610351562,2026-03-06 14:30:00+00:00
XLK,377.5,2026-03-09 09:40:27+00:00
IYW,136.2,2026-03-09 09:33:06+00:00
XLU,46.3,2026-03-09 09:23:09+00:00
IDU,118.42,2026-03-06 23:23:00+00:00
APA,33.4,2026-03-09 09:34:46+00:00
CNQ,48.0,2026-03-09 09:17:00+00:00
COP,119.29,2026-03-09 09:39:51+00:00
EQNR,33.56,2026-03-09 09:41:32+00:00
FANG,183.72,2026-03-09 09:35:41+00:00
TTE,78.25,2026-03-09 09:41:25+00:00
VG,13.09,2026-03-09 09:39:04+00:00
CRAK,46.82,2026-03-09 09:01:00+00:00
VLO,226.0,2026-03-09 09:36:03+00:00
USO,117.88,2026-03-09 09:41:36+00:00
BNO,48.83,2026-03-09 09:40:41+00:00
BATL,24.26,2026-03-09 09:40:27+00:00
RCAT,16.4,2026-03-09 09:40:02+00:00
TGT,118.76,2026-03-09 09:11:00+00:00
ZD,42.31,2026-03-06 22:58:00+00:00
NPT,19.98,2026-03-09 09:22:00+00:00
KTB,75.718,2026-03-09 08:56:00+00:00
SEM,16.25,2026-03-06 23:16:00+00:00
SRRK,44.7,2026-03-09 08:58:00+00:00
LWLG,4.0,2026-03-09 08:33:00+00:00
TDW,78.89,2026-03-09 08:45:00+00:00
GTE,8.52,2026-03-09 09:26:36+00:00
IDYA,33.28,2026-03-09 08:31:00+00:00
ASTS,91.17,2026-03-09 09:41:35+00:00
CNR,86.85,2026-03-09 09:04:42+00:00
DEC,14.65,2026-03-09 09:17:38+00:00
INGM,22.25,2026-03-09 08:09:00+00:00
CF,118.24,2026-03-09 09:38:48+00:00
CHRD,123.62,2026-03-09 08:51:00+00:00
WDS,21.7,2026-03-09 09:37:19+00:00
FLNG,31.24,2026-03-09 09:24:05+00:00
SU,59.0,2026-03-09 09:21:24+00:00
CVX,192.29,2026-03-09 09:39:01+00:00
EOG,135.0,2026-03-09 09:32:52+00:00
HAFN,7.12,2026-03-09 09:40:05+00:00
KOS,2.68,2026-03-09 09:40:19+00:00
PARR,49.45,2026-03-09 08:59:00+00:00
GLNG,48.0,2026-03-09 09:12:00+00:00
