# saved_at_kr,2026-07-15 08:04:40 KST
# provider,yahoo(yfinance)
group,ticker,premarket,src,ts_kst,error
kr_sector_rotation_auto,051910.KS,255000.0,yf_close(5m),2026-07-14T15:30:00+09:00,
kr_sector_rotation_auto,329180.KS,466000.0,yf_close(5m),2026-07-14T15:30:00+09:00,
kr_tactical_leverage,122630.KS,123580.0,yf_close(5m),2026-07-14T15:30:00+09:00,
kr_tactical_leverage,233740.KS,6930.0,yf_close(5m),2026-07-14T15:30:00+09:00,
kr_tactical_leverage,252670.KS,100.0,yf_close(5m),2026-07-14T15:30:00+09:00,
kr_tactical_leverage,251340.KS,2720.0,yf_close(5m),2026-07-14T15:30:00+09:00,
macro_watch_yahoo_korea,069500.KS,109720.0,yf_close(5m),2026-07-14T15:30:00+09:00,
macro_watch_yahoo_korea,102110.KS,109790.0,yf_close(5m),2026-07-14T15:30:00+09:00,
macro_watch_yahoo_korea,122630.KS,123580.0,yf_close(5m),2026-07-14T15:30:00+09:00,
macro_watch_yahoo_korea,252670.KS,100.0,yf_close(5m),2026-07-14T15:30:00+09:00,
macro_watch_yahoo_korea,233740.KS,6930.0,yf_close(5m),2026-07-14T15:30:00+09:00,
macro_watch_yahoo_korea,251340.KS,2720.0,yf_close(5m),2026-07-14T15:30:00+09:00,
macro_watch_yahoo_korea,091160.KS,133200.0,yf_close(5m),2026-07-14T15:30:00+09:00,
macro_watch_yahoo_korea,091170.KS,16355.0,yf_close(5m),2026-07-14T15:30:00+09:00,
macro_watch_yahoo_korea,381180.KS,48860.0,yf_close(5m),2026-07-14T15:30:00+09:00,
macro_watch_yahoo_korea,395270.KS,58440.0,yf_close(5m),2026-07-14T15:30:00+09:00,
macro_watch_yahoo_korea,471460.KS,46190.0,yf_close(5m),2026-07-14T15:15:00+09:00,
macro_watch_yahoo_korea,396500.KS,37645.0,yf_close(5m),2026-07-14T15:30:00+09:00,
macro_watch_yahoo_korea,471990.KS,23510.0,yf_close(5m),2026-07-14T15:30:00+09:00,
