ticker,name,market,asset_type,sector,industry,source
001045.KS,CJ우,,PREFERRED,Preferred Stock,Preferred / Special share,existing
001060.KS,JW중외제약,,STOCK,Healthcare,Pharmaceuticals,existing
001230.KS,동국홀딩스,,STOCK,Industrials,Holding company,existing
001250.KS,GS글로벌,,STOCK,Other,Other / Needs review,existing
001430.KS,세아베스틸지주,,STOCK,Holding Company,Holding company,existing
001440.KS,대한전선,,STOCK,Industrials,Electric wire / Power equipment,existing
001520.KS,동양,,STOCK,Materials,Construction materials,existing
001680.KS,대상,,STOCK,Consumer Staples,Food,existing
002020.KS,코오롱,,STOCK,Holding Company,Holding company / Chemicals,existing
002150.KS,도화엔지니어링,,STOCK,Industrials,Engineering,existing
002240.KS,고려제강,,STOCK,Materials,Steel wire,existing
002320.KS,한진,,STOCK,Industrials,Logistics,existing
002350.KS,넥센타이어,,STOCK,Consumer Discretionary,Auto parts,existing
002380.KS,KCC,,STOCK,Materials,Building materials / Chemicals,existing
002840.KS,미원상사,KOSPI,STOCK,Materials,Specialty chemicals,builtin
002960.KS,한국쉘석유,,STOCK,Energy,Oil / Refining,existing
003000.KS,부광약품,,STOCK,Healthcare,Pharmaceuticals,existing
003090.KS,대웅,,STOCK,Holding Company,Holding company / Healthcare,existing
003160.KS,디아이,,STOCK,Information Technology,Semiconductor equipment,existing
003230.KS,삼양식품,,STOCK,Consumer Staples,Food,existing
003240.KS,태광산업,,STOCK,Industrials,Industrial products,existing
003380.KQ,하림지주,,STOCK,Holding Company,Holding company,existing
003470.KS,유안타증권,,STOCK,Financial Services,Securities,existing
003520.KS,영진약품,,STOCK,Healthcare,Pharmaceuticals,existing
003540.KS,대신증권,,STOCK,Financial Services,Securities,existing
003545.KS,대신증권우,,PREFERRED,Preferred Stock,Preferred / Special share,existing
003547.KS,대신증권2우B,,PREFERRED,Preferred Stock,Preferred / Special share,existing
003555.KS,LG우,,PREFERRED,Preferred Stock,Preferred / Special share,existing
003570.KS,SNT다이내믹스,,STOCK,Industrials,Defense / Automotive components,existing
003620.KS,KG모빌리티,,STOCK,Consumer Discretionary,Automobile,existing
003670.KS,포스코퓨처엠,KOSPI,STOCK,Materials,Battery materials / Cathode,builtin
003850.KS,보령,,STOCK,Healthcare,Pharmaceuticals,existing
003920.KS,남양유업,,STOCK,Consumer Staples,Food / Dairy,existing
004000.KS,롯데정밀화학,,STOCK,Materials,Chemicals,existing
004020.KS,현대제철,,STOCK,Materials,Steel,existing
004150.KS,한솔홀딩스,,STOCK,Industrials,Holding company,existing
004270.KS,남성,,STOCK,Consumer Discretionary,Electronics / Distribution,existing
004540.KQ,깨끗한나라,,STOCK,Consumer Staples,Paper / Household goods,existing
004650.KQ,창해에탄올,,STOCK,Consumer Staples,Alcohol / Ethanol,existing
004800.KS,효성,,STOCK,Holding Company,Holding company,existing
004990.KS,롯데지주,,STOCK,Holding Company,Holding company,existing
005070.KS,코스모신소재,,STOCK,Materials,Materials,existing
005090.KS,SGC에너지,,STOCK,Energy,Energy,existing
005180.KS,빙그레,,STOCK,Consumer Staples,Food / Dairy,existing
005250.KS,녹십자홀딩스,,STOCK,Industrials,Holding company,existing
005290.KQ,동진쎄미켐,,STOCK,Materials,Semiconductor materials,existing
005380.KS,현대차,,STOCK,Consumer Discretionary,Automobile,existing
005385.KS,현대차우,,PREFERRED,Preferred Stock,Preferred / Special share,existing
005387.KS,현대차2우B,,PREFERRED,Preferred Stock,Preferred / Special share,existing
005389.KS,현대차3우B,,PREFERRED,Preferred Stock,Preferred / Special share,existing
005490.KS,POSCO홀딩스,KOSPI,STOCK,Materials,Steel / Holding company,builtin
005870.KS,휴니드,,STOCK,Industrials,Defense electronics,existing
006040.KS,동원산업,,STOCK,Industrials,Industrial products,existing
006220.KQ,제주은행,,STOCK,Financial Services,Banks,existing
006260.KS,LS,KOSPI,STOCK,Industrials,Holding / Electrical infrastructure,builtin
006280.KS,녹십자,,STOCK,Healthcare,Pharmaceuticals,existing
006400.KS,삼성SDI,KOSPI,STOCK,Industrials,Battery cells,builtin
006405.KS,삼성SDI우,,PREFERRED,Preferred Stock,Preferred / Special share,existing
006650.KS,대한유화,,STOCK,Materials,Petrochemicals,existing
006800.KS,미래에셋증권,,STOCK,Financial Services,Securities,existing
006805.KS,미래에셋증권우,,PREFERRED,Preferred Stock,Preferred / Special share,existing
007310.KS,오뚜기,,STOCK,Consumer Staples,Food,existing
007660.KS,이수페타시스,,STOCK,Information Technology,PCB / electronic components,existing
008770.KS,호텔신라,,STOCK,Consumer Discretionary,Travel / Leisure,existing
009240.KS,한샘,,STOCK,Consumer Discretionary,Furniture / Interior,existing
009410.KS,태영건설,,STOCK,Industrials,Construction,existing
009540.KS,HD한국조선해양,,STOCK,Industrials,Shipbuilding,existing
009830.KS,한화솔루션,,STOCK,Materials,Chemicals / Solar materials,existing
009835.KS,한화솔루션우,,PREFERRED,Preferred Stock,Preferred / Special share,existing
010100.KS,한국무브넥스,,STOCK,Consumer Discretionary,Auto parts,existing
010130.KS,고려아연,,STOCK,Materials,Non-ferrous metals,existing
010140.KS,삼성중공업,,STOCK,Industrials,Heavy industry,existing
010780.KS,아이에스동서,,STOCK,Materials,Construction materials / Real estate,existing
010820.KS,퍼스텍,,STOCK,Industrials,Defense / Aerospace equipment,existing
011170.KS,롯데케미칼,,STOCK,Materials,Chemicals,existing
011210.KS,현대위아,,STOCK,Consumer Discretionary,Auto parts / Machinery,existing
011780.KS,금호석유화학,,STOCK,Materials,Chemicals,existing
011790.KS,SKC,,STOCK,Other,Other / Needs review,existing
012450.KS,한화에어로스페이스,KOSPI,STOCK,Industrials,Defense / Aerospace,builtin
012750.KS,에스원,,STOCK,Industrials,Security services,existing
014620.KQ,성광벤드,,STOCK,Industrials,Industrial fittings / Pipe components,existing
014820.KS,동원시스템즈,,STOCK,Information Technology,IT Systems,existing
015760.KS,한국전력,,STOCK,Industrials,Power equipment,existing
017800.KS,현대엘리베이터,,STOCK,Industrials,Elevators / Machinery,existing
017940.KS,E1,,STOCK,Energy,LPG / Energy distribution,existing
017960.KS,한국카본,,STOCK,Materials,Composite materials / LNG materials,existing
020150.KS,롯데에너지머티리얼즈,,STOCK,Energy,Energy,existing
020560.KS,아시아나항공,,STOCK,Industrials,Aerospace / Airline,existing
022100.KS,포스코DX,,STOCK,Information Technology,IT services / Smart factory,existing
023160.KQ,태광,,STOCK,Industrials,Industrial fittings,existing
025900.KQ,동화기업,,STOCK,Materials,Battery materials / Wood materials,existing
028300.KQ,HLB,,STOCK,Healthcare,Biotech,existing
031430.KS,신세계인터내셔날,,STOCK,Consumer Discretionary,Fashion / Retail,existing
032500.KQ,케이엠더블유,,STOCK,Information Technology,Telecom equipment,existing
032640.KS,LG유플러스,,STOCK,Communication Services,Telecommunication,existing
032820.KQ,우리기술,,PREFERRED,Preferred Stock,Preferred / Special share,existing
