ticker,name,market,asset_type,sector,industry,source
302440.KS,SK바이오사이언스,,STOCK,Healthcare,Biotech / Healthcare,existing
305540.KS,TIGER 2차전지테마,KOSPI,ETF,ETF,Korea battery theme ETF,builtin
305720.KS,KODEX 2차전지산업,KOSPI,ETF,ETF,Korea battery industry ETF,builtin
306200.KS,세아제강,,STOCK,Materials,Steel wire,existing
307950.KS,현대오토에버,,STOCK,Information Technology,Mobility software / IT services,existing
310210.KQ,보로노이,,STOCK,Healthcare,Biotech,existing
319400.KQ,현대무벡스,,STOCK,Industrials,Logistics automation,existing
326030.KS,SK바이오팜,,STOCK,Healthcare,Biotech / Healthcare,existing
329180.KS,HD현대중공업,,STOCK,Industrials,Heavy industry,existing
336260.KS,두산퓨얼셀,,STOCK,Industrials,Hydrogen fuel cells / Power systems,existing
347850.KQ,디앤디파마텍,,STOCK,Other,Other / Needs review,existing
348340.KQ,뉴로메카,,STOCK,Industrials,Robotics,existing
348370.KQ,엔켐,,STOCK,Materials,Battery electrolyte,existing
356860.KQ,티엘비,,STOCK,Information Technology,PCB / semiconductor substrate,existing
357780.KQ,솔브레인,,STOCK,Materials,Semiconductor materials,existing
357780.KS,솔브레인,,STOCK,Materials,Semiconductor materials,existing
361610.KS,SK아이이테크놀로지,,STOCK,Information Technology,Technology,existing
364970.KS,TIGER 바이오TOP10,,ETF,ETF,TIGER 바이오TOP10,existing
364980.KS,TIGER 2차전지TOP10,,ETF,ETF,TIGER 2차전지TOP10,existing
365340.KQ,성일하이텍,,STOCK,Materials,Battery recycling / Materials,existing
373220.KS,LG에너지솔루션,,STOCK,Energy,Energy,existing
377300.KS,카카오페이,,STOCK,Financial Services,Fintech / Payments,existing
383310.KQ,에코프로에이치엔,,STOCK,Industrials,Environmental services,existing
388720.KQ,유일로보틱스,,STOCK,Industrials,Robotics,existing
393890.KQ,더블유씨피,,STOCK,Materials,Battery separator film,existing
403870.KQ,HPSP,,STOCK,Information Technology,Semiconductor equipment,existing
411060.KS,ACE KRX금현물,,ETF,ETF,ACE KRX금현물,existing
417500.KQ,제이아이테크,,STOCK,Information Technology,Semiconductor materials,existing
425040.KQ,티이엠씨,,STOCK,Other,Other / Needs review,existing
443060.KS,HD현대마린솔루션,,STOCK,Holding Company,Holding company,existing
445290.KS,KODEX 로봇액티브,,ETF,ETF,KODEX 로봇액티브,existing
451760.KQ,컨텍,,STOCK,Industrials,Satellite / Ground station,existing
454320.KS,HANARO CAPEX설비투자iSelect,KOSPI,ETF,ETF,Korea capex/equipment ETF,builtin
455900.KQ,엔젤로보틱스,,STOCK,Healthcare,Wearable robots,existing
471460.KS,KIWOOM 국고채30년액티브,,STOCK,분류 미확인,업종 미확인,existing
471760.KS,TIGER AI반도체핵심공정,KOSPI,ETF,ETF,Korea AI semiconductor process ETF,builtin
488080.KS,TIGER 반도체TOP10레버리지,KOSPI,ETF,ETF,Korea semiconductor leveraged ETF,builtin
950160.KQ,코오롱티슈진,,STOCK,Healthcare,Biotech,existing
119850.KQ,지엔씨에너지,,STOCK,Energy,Energy,existing
010950.KS,S-Oil,,STOCK,Energy,Oil refining,existing
010955.KS,S-Oil우,,PREFERRED,Preferred Stock,Preferred / Special share,existing
252670.KS,KODEX 200선물인버스2X,,ETF,ETF,KODEX 200선물인버스2X,existing
001470.KS,삼부토건,,STOCK,Other,Other / Needs review,existing
001570.KS,금양,,STOCK,Other,Other / Needs review,existing
068240.KQ,다원시스,,STOCK,Other,Other / Needs review,existing
078930.KS,GS,,STOCK,Holding Company,Holding company,existing
263050.KQ,유틸렉스,,STOCK,Other,Other / Needs review,existing
251340.KS,KODEX 코스닥150선물인버스,KOSPI,ETF,ETF,KOSDAQ150 inverse ETF,existing
005830.KS,DB손해보험,,STOCK,Financial Services,Insurance,existing
114800.KS,KODEX 인버스,,ETF,ETF,KODEX 인버스,existing
000030.KS,주요뉴스,,STOCK,Other,Other / Needs review,existing
000060.KS,주요뉴스,,STOCK,Other,Other / Needs review,existing
000885.KS,주요뉴스,,PREFERRED,Other,Other / Needs review,existing
002270.KS,주요뉴스,,STOCK,Other,Other / Needs review,existing
003410.KS,주요뉴스,,STOCK,Other,Other / Needs review,existing
005390.KS,주요뉴스,,STOCK,Other,Other / Needs review,existing
008560.KS,주요뉴스,,STOCK,Other,Other / Needs review,existing
010620.KS,주요뉴스,,STOCK,Other,Other / Needs review,existing
017510.KS,세명전기,,STOCK,Industrials,Electrical equipment,existing
034230.KQ,파라다이스,,STOCK,Other,Other / Needs review,existing
036490.KQ,주요뉴스,,STOCK,Other,Other / Needs review,existing
042670.KS,주요뉴스,,STOCK,Other,Other / Needs review,existing
048260.KQ,주요뉴스,,STOCK,Other,Other / Needs review,existing
066970.KQ,엘앤에프,,STOCK,Other,Other / Needs review,existing
087010.KS,펩트론,,STOCK,Healthcare,Biotech,existing
090460.KQ,비에이치,,STOCK,Other,Other / Needs review,existing
091990.KQ,주요뉴스,,STOCK,Other,Other / Needs review,existing
115390.KS,주요뉴스,,STOCK,Other,Other / Needs review,existing
131390.KQ,주요뉴스,,STOCK,Other,Other / Needs review,existing
151910.KQ,주요뉴스,,STOCK,Other,Other / Needs review,existing
153130.KQ,KODEX 단기채권,,ETF,ETF,KODEX 단기채권,existing
178920.KQ,PI첨단소재,,STOCK,Materials,Materials,existing
208340.KQ,주요뉴스,,STOCK,Other,Other / Needs review,existing
217600.KQ,주요뉴스,,STOCK,Other,Other / Needs review,existing
220630.KQ,주요뉴스,,STOCK,Other,Other / Needs review,existing
221610.KQ,주요뉴스,,STOCK,Other,Other / Needs review,existing
222810.KQ,주요뉴스,,STOCK,Other,Other / Needs review,existing
230360.KQ,에코마케팅,KOSDAQ,STOCK,Communication Services,Advertising / Marketing,builtin
252330.KQ,주요뉴스,,STOCK,Other,Other / Needs review,existing
279570.KS,케이뱅크,,STOCK,분류 미확인,업종 미확인,existing
287410.KQ,주요뉴스,,STOCK,Other,Other / Needs review,existing
290130.KQ,RISE ESG사회책임투자,,ETF,ETF,RISE ESG사회책임투자,existing
294030.KQ,주요뉴스,,STOCK,Other,Other / Needs review,existing
00680K.KS,미래에셋증권2우B,,PREFERRED,Financial Services,Securities / Preferred,override
