ticker,premarket,ts
BATL,21.1,2026-03-04 10:15:20+00:00
BNO,39.05,2026-03-04 10:11:46+00:00
COP,118.5,2026-03-04 10:14:50+00:00
CVE,22.45,2026-03-04 09:17:00+00:00
EQNR,30.86,2026-03-04 10:15:31+00:00
FANG,177.98,2026-03-04 10:08:32+00:00
KTB,77.52,2026-03-04 09:48:39+00:00
LNG,249.56,2026-03-04 10:13:23+00:00
OIH,385.22,2026-03-04 09:56:34+00:00
RCAT,15.01,2026-03-04 10:13:48+00:00
SHEL,82.33,2026-03-04 10:13:15+00:00
TDW,88.23,2026-03-04 09:54:22+00:00
TGT,121.37,2026-03-04 10:14:22+00:00
TTE,78.51,2026-03-04 10:14:00+00:00
UCO,28.98,2026-03-04 10:15:41+00:00
USO,91.41,2026-03-04 10:15:47+00:00
XLE,56.62,2026-03-04 10:15:48+00:00
XOP,159.67,2026-03-04 10:15:21+00:00
ZD,41.53,2026-03-04 09:48:00+00:00
