# saved_at_kr,2026-03-04 19:17:51 KST
# count_rows,10
# note,overwrites each run; candidates.txt mode asks price only
ticker,premarket,entered_at_kr,source
BATL,21.02,2026-03-04 19:17:04,manual
BNO,22.72,2026-03-04 19:17:11,manual
COP,118.0,2026-03-04 19:17:20,manual
EQNR,30.93,2026-03-04 19:16:39,manual
FANG,178.0,2026-03-04 19:16:47,manual
LNG,250.0,2026-03-04 19:17:27,manual
TDW,88.0,2026-03-04 19:17:34,manual
TGT,121.23,2026-03-04 19:17:42,manual
TTE,78.32,2026-03-04 19:17:51,manual
XLE,56.62,2026-03-04 19:16:56,manual
