ticker,premarket,ts
EQNR,32.22,2026-03-06 13:17:27+00:00
FANG,182.0,2026-03-06 13:15:50+00:00
LNG,255.06,2026-03-06 13:17:49+00:00
TTE,77.86,2026-03-06 13:16:32+00:00
VG,13.03,2026-03-06 13:17:54+00:00
MPC,220.6,2026-03-06 13:12:44+00:00
VLO,230.98,2026-03-06 13:15:49+00:00
PSX,168.2,2026-03-06 13:17:03+00:00
USO,102.835,2026-03-06 13:18:05+00:00
BNO,42.26,2026-03-06 13:17:51+00:00
UCO,32.8448,2026-03-06 13:18:04+00:00
BATL,25.25,2026-03-06 13:18:07+00:00
RCAT,14.8884,2026-03-06 13:18:07+00:00
ZD,43.48,2026-03-05 23:37:00+00:00
SEM,16.3,2026-03-06 12:45:00+00:00
CF,115.4,2026-03-06 13:17:40+00:00
CHRD,121.16,2026-03-06 13:15:22+00:00
WDS,21.8985,2026-03-06 13:09:04+00:00
HAFN,7.29,2026-03-06 13:15:39+00:00
PARR,50.7843,2026-03-06 13:00:07+00:00
IYE,60.0,2026-03-06 13:02:28+00:00
XLE,57.3,2026-03-06 13:17:39+00:00
XOP,166.91,2026-03-06 13:18:01+00:00
GLNG,47.29,2026-03-06 13:04:44+00:00
UUP,27.5967,2026-03-06 13:02:30+00:00
HAL,34.57,2026-03-06 13:13:39+00:00
AEM,217.3496,2026-03-06 13:17:40+00:00
GUSH,37.43,2026-03-06 13:16:40+00:00
IYR,100.18,2026-03-06 13:05:08+00:00
SMH,390.0099,2026-03-06 13:16:46+00:00
