ticker,premarket,source
AEM,217.3496,auto
BATL,25.25,auto
BNO,42.26,auto
CF,115.4,auto
CHRD,121.16,auto
EQNR,32.22,auto
FANG,182.88,manual
FLNG,29.83,manual
GLNG,47.29,auto
GUSH,37.43,auto
HAFN,7.29,auto
HAL,34.57,auto
IYE,60.0,auto
IYR,99.56,manual
LNG,255.06,auto
LWLG,4.36,manual
MPC,220.6,auto
PARR,50.7843,auto
PSX,168.2,auto
RCAT,14.86,manual
SEM,16.3,auto
SMH,390.0099,auto
TTE,77.86,manual
UCO,32.8448,auto
USO,103.08,manual
UUP,27.59,manual
VG,13.03,manual
VLO,230.98,auto
WDS,21.94,manual
XLE,57.3,auto
XOP,166.91,auto
ZD,43.48,auto
