ticker,premarket,ts
BATL,19.56,2026-03-04 12:16:03+00:00
BNO,39.07,2026-03-04 12:15:49+00:00
COP,118.15,2026-03-04 12:11:24+00:00
CVE,22.25,2026-03-04 12:00:00+00:00
EQNR,30.89,2026-03-04 12:15:56+00:00
FANG,175.7,2026-03-04 12:14:43+00:00
KTB,77.52,2026-03-04 11:25:00+00:00
LNG,245.17,2026-03-04 12:06:56+00:00
OIH,385.31,2026-03-04 12:00:00+00:00
RCAT,15.01,2026-03-04 12:14:51+00:00
SHEL,82.3,2026-03-04 12:13:21+00:00
TDW,87.68,2026-03-04 12:00:08+00:00
TGT,121.9,2026-03-04 12:06:08+00:00
TTE,78.4,2026-03-04 12:07:38+00:00
UCO,28.8,2026-03-04 12:15:49+00:00
USO,90.43,2026-03-04 12:16:01+00:00
XLE,56.38,2026-03-04 12:15:30+00:00
XOP,158.53,2026-03-04 12:08:15+00:00
ZD,41.41,2026-03-04 12:02:59+00:00
