ticker,premarket,ts
BATL,19.85,2026-03-04 12:14:11+00:00
BNO,39.28,2026-03-04 12:07:06+00:00
COP,118.15,2026-03-04 12:11:24+00:00
CVE,22.2,2026-03-04 11:53:46+00:00
EQNR,30.9,2026-03-04 12:13:21+00:00
FANG,175.82,2026-03-04 12:13:58+00:00
KTB,77.52,2026-03-04 11:25:00+00:00
LNG,245.17,2026-03-04 12:06:56+00:00
OIH,386.6,2026-03-04 11:54:16+00:00
RCAT,15.03,2026-03-04 12:09:47+00:00
SHEL,82.3,2026-03-04 12:13:21+00:00
TDW,87.68,2026-03-04 11:19:00+00:00
TGT,121.9,2026-03-04 12:06:08+00:00
TTE,78.4,2026-03-04 12:07:38+00:00
UCO,29.03,2026-03-04 12:10:35+00:00
USO,90.85,2026-03-04 12:14:04+00:00
XLE,56.41,2026-03-04 12:11:51+00:00
XOP,158.53,2026-03-04 12:08:15+00:00
ZD,41.41,2026-03-04 12:02:59+00:00
