ticker,price,gap_pct,rsi14,sma10,sma40,sma50,sma200,px_vs_sma10,px_vs_sma40,px_vs_sma50,px_vs_sma200,sma10_slope,sma40_slope,weekly_up,weekly_r1,weekly_s1,room_to_weekly_r1_pct,daily_break_level,daily_breakout,daily_retest,in_daily_box_middle,grade,score
TMV,37.39,0.44,74.51,36.61,35.77,35.94,36.43,2.13,4.54,4.03,2.64,UP,DN,False,38.16,33.0,2.06,38.16,False,True,False,A,1.0
ED,113.23,-0.09,53.52,113.23,110.18,108.44,102.09,-0.0,2.77,4.42,10.92,UP,UP,True,115.25,96.96,1.78,116.23,False,True,False,B,9.0
MU,434.7,1.7,53.17,420.55,411.18,398.6,230.02,3.36,5.72,9.06,88.98,UP,UP,True,455.5,221.69,4.78,471.34,False,False,False,B,9.0
BATL,13.09,2.03,56.34,17.35,8.43,6.98,2.68,-24.56,55.35,87.48,387.53,DN,UP,True,29.7,2.33,126.89,29.7,False,False,False,B,8.0
PL,24.84,2.41,50.43,25.24,24.55,24.78,14.08,-1.6,1.17,0.26,76.42,UP,DN,True,27.57,19.98,10.99,30.9,False,False,True,B,8.0
RCAT,16.3,9.4,64.48,15.67,14.0,13.81,10.4,4.01,16.44,18.06,56.8,UP,UP,True,18.78,10.8,15.21,18.78,False,False,False,B,7.0
BEP,31.05,-1.58,47.82,30.82,30.63,30.05,27.68,0.75,1.37,3.33,12.16,UP,UP,True,32.78,29.25,5.57,32.78,False,False,False,B,6.0
SOXS,41.2,-1.42,58.97,40.2,37.9,39.38,96.16,2.49,8.72,4.63,-57.16,DN,DN,False,47.4,31.4,15.05,62.8,False,False,False,B,6.0
CME,307.89,-1.28,42.83,311.64,304.9,298.23,278.54,-1.2,0.98,3.24,10.54,DN,UP,True,329.16,262.19,6.91,329.16,False,False,False,B,6.0
HAFN,6.78,-1.09,28.2,7.01,6.78,6.58,5.96,-3.27,0.05,3.03,13.67,DN,UP,True,7.95,5.17,17.33,7.95,False,False,False,B,6.0
OIH,384.14,1.07,37.81,378.5,373.49,363.1,286.89,1.49,2.85,5.79,33.9,UP,UP,True,406.12,280.19,5.72,406.12,False,False,False,B,6.0
ORA,107.5,1.08,57.45,109.0,116.76,116.98,102.52,-1.37,-7.93,-8.1,4.85,UP,DN,False,132.58,100.84,23.33,132.58,False,False,False,B,6.0
TDW,76.0,1.11,43.28,76.62,72.08,69.09,56.85,-0.81,5.44,10.0,33.68,DN,UP,True,88.99,49.54,17.09,88.99,False,False,False,B,6.0
HAL,36.35,1.24,49.47,35.04,34.64,34.18,26.56,3.73,4.93,6.34,36.86,UP,UP,True,37.03,24.92,1.87,37.03,False,True,False,B,6.0
FLNC,16.08,1.45,52.24,16.24,19.96,20.75,14.74,-0.98,-19.43,-22.5,9.1,UP,DN,False,33.51,13.81,108.4,33.51,False,False,False,B,6.0
BE,153.0,1.53,47.74,153.24,153.92,150.43,89.7,-0.16,-0.6,1.71,70.57,DN,UP,True,180.9,131.0,18.24,180.9,False,False,False,B,6.0
TRX,1.37,-1.79,32.92,1.66,1.68,1.53,0.8,-17.35,-18.53,-10.71,72.2,DN,UP,True,2.02,0.84,47.45,2.8,False,False,False,B,5.0
FSLR,194.03,-1.73,50.33,197.14,218.31,222.94,217.01,-1.58,-11.12,-12.97,-10.59,UP,DN,False,250.99,214.0,29.36,285.99,False,False,False,B,5.0
KKR,88.5,-1.61,54.17,88.48,100.07,106.16,125.63,0.02,-11.56,-16.64,-29.55,DN,DN,False,137.28,97.37,55.12,137.28,False,False,False,B,5.0
BKNG,4351.0,-1.34,56.8,4367.1,4451.83,4616.98,5187.3,-0.37,-2.26,-5.76,-16.12,UP,DN,False,4634.09,3765.45,6.51,5518.84,False,False,False,B,5.0
LABD,20.82,1.04,63.29,19.03,18.54,18.7,39.23,9.41,12.28,11.36,-46.93,UP,UP,False,21.18,16.16,1.73,23.02,False,False,False,B,5.0
CCJ,104.98,1.21,38.22,111.95,117.98,116.66,90.71,-6.22,-11.02,-10.02,15.73,DN,DN,True,126.13,107.92,20.15,135.24,False,False,False,B,5.0
ALB,158.98,1.64,32.39,163.95,171.8,171.33,111.86,-3.03,-7.46,-7.21,42.12,DN,DN,True,206.0,156.04,29.58,206.0,False,False,False,B,5.0
RDW,9.3,1.86,50.54,9.43,9.77,9.94,10.38,-1.39,-4.81,-6.47,-10.43,UP,DN,False,10.4,7.53,11.83,14.55,False,False,False,B,5.0
AMAT,346.0,2.01,37.16,342.67,344.26,336.98,239.74,0.97,0.51,2.68,44.32,DN,UP,True,395.95,287.49,14.44,395.95,False,False,False,B,5.0
GLW,127.2,2.15,32.18,129.55,127.46,119.98,84.65,-1.82,-0.21,6.02,50.26,DN,UP,True,162.1,83.95,27.44,162.1,False,False,False,B,5.0
EXPE,236.97,-1.95,66.03,236.36,233.86,245.09,225.0,0.26,1.33,-3.31,5.32,UP,DN,False,252.23,185.34,6.44,303.8,False,False,False,B,4.0
