group_name,score,change,perf_week,perf_month
FALLBACK_MOMENTUM,0.9190476190476191,6.334894613583142,5.593023255813945,37.507571168988484
FALLBACK_MOMENTUM,0.9095238095238096,6.009457984721722,6.849013712693397,33.12928277752398
FALLBACK_MOMENTUM,0.8976190476190475,7.110635369676577,11.23550897252661,16.566816442003663
FALLBACK_MOMENTUM,0.8928571428571429,7.302516091281452,9.154761904761898,15.931217600202308
FALLBACK_MOMENTUM,0.8785714285714286,4.154727793696278,13.94984326018809,28.900709219858143
FALLBACK_MOMENTUM,0.8714285714285714,5.46673543063434,7.6315789473684115,21.871275327771155
FALLBACK_MOMENTUM,0.8166666666666667,3.8862179487179516,4.514308746473206,30.860459248044414
FALLBACK_MOMENTUM,0.7333333333333334,4.327833378414936,3.4880601019586788,2.552512629619774
FALLBACK_MOMENTUM,0.7333333333333334,4.250224483687526,3.5066864784546903,3.04733727810651
FALLBACK_MOMENTUM,0.7285714285714286,3.6745138178096104,3.024241396846916,30.13704496788008
FALLBACK_MOMENTUM,0.7238095238095238,3.2944606413994215,5.258467023172897,23.27766179540709
FALLBACK_MOMENTUM,0.7023809523809523,2.015677491601342,12.192118226600979,47.172859450726975
FALLBACK_MOMENTUM,0.6952380952380952,3.298969072164959,4.92146596858638,16.511627906976734
FALLBACK_MOMENTUM,0.6928571428571428,3.3966398831263733,3.832752613240409,19.14983164983164
FALLBACK_MOMENTUM,0.680952380952381,3.5732916014606264,2.5303382390911455,25.307668034080155
FALLBACK_MOMENTUM,0.6761904761904763,3.212023725746449,4.334349593495945,19.621322458491107
FALLBACK_MOMENTUM,0.65,3.3085234093637395,3.0610778443113773,19.542145913207754
FALLBACK_MOMENTUM,0.65,3.204372521701848,3.292931459830517,29.994600431965445
FALLBACK_MOMENTUM,0.5857142857142857,3.12688821752265,2.7853056308340784,21.261101243339265
FALLBACK_MOMENTUM,0.49285714285714294,2.788244159758846,4.201680672268915,-16.319018404907972
