symbol,is_2x,status,status_rank,pattern,pattern_score,break_level,breakout_date,vol_confirmed,hold_confirmed,last_close,diag_touches,diag_slope_low,diag_depth,diag_vol_ratio_10_60,diag_db_score
CVX,False,ENTRY_READY,0,DOUBLE_BOTTOM,8.0,187.9,2026-03-02,True,True,190.279,2,0.774257,0.2348,0.561,3.0
IYE,False,ENTRY_READY,0,DOUBLE_BOTTOM,8.0,59.29,2026-03-02,True,True,60.04,2,0.224016,0.2439,0.714,3.0
XLE,False,ENTRY_READY,0,DOUBLE_BOTTOM,8.0,56.15,2026-03-02,True,True,56.805,2,0.216402,0.2438,0.701,3.0
APA,False,ENTRY_READY,0,DOUBLE_BOTTOM,7.0,30.42,2026-03-02,True,True,32.045,2,0.069507,0.2901,0.979,3.0
EOG,False,ENTRY_READY,0,DOUBLE_BOTTOM,7.0,126.2,2026-03-02,True,True,128.67,1,0.295836,0.2114,0.88,3.0
CRAK,False,ENTRY_READY,0,DOUBLE_BOTTOM,6.0,45.57,2026-03-02,True,True,45.63,1,0.12723,0.1958,0.919,3.0
FANG,False,ENTRY_READY,0,DOUBLE_BOTTOM,6.0,177.25,2026-03-02,True,True,178.565,1,0.38642,0.2397,1.062,3.0
CNQ,False,ENTRY_READY,0,DOUBLE_BOTTOM,5.0,44.04,2026-03-02,True,True,44.47,1,0.194566,0.3429,0.494,3.0
DIG,True,ENTRY_READY,0,DOUBLE_BOTTOM,5.0,55.85,2026-03-02,True,True,57.09,2,0.371355,0.4218,0.713,3.0
ERX,True,ENTRY_READY,0,DOUBLE_BOTTOM,5.0,86.58,2026-03-02,True,True,88.605,2,0.575947,0.4229,0.7,3.0
GUSH,True,ENTRY_READY,0,DOUBLE_BOTTOM,3.0,31.9,2026-03-02,True,True,34.565,1,0.147451,0.4022,0.933,3.0
SHEL,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,6.0,83.665,2026-03-02,True,False,82.89,1,0.161364,0.1883,0.9,3.0
XOP,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,6.0,154.0,2026-03-02,True,False,160.42,1,0.421007,0.235,0.919,3.0
BNO,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,5.5,37.87,2026-03-03,True,False,39.19,1,0.123193,0.2833,1.29,3.0
BZ=F,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,5.5,82.11,2026-03-03,True,False,82.82,1,0.213812,0.2849,1.296,3.0
CL=F,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,5.5,75.33,2026-03-03,True,False,75.88,1,0.176855,0.2701,1.28,3.0
USO,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,5.5,88.64,2026-03-03,True,False,91.95,1,0.249968,0.2555,1.272,3.0
