symbol,is_2x,status,status_rank,pattern,pattern_score,break_level,breakout_date,vol_confirmed,hold_confirmed,last_close,diag_touches,diag_slope_low,diag_depth,diag_vol_ratio_10_60,diag_db_score
IYE,False,ENTRY_READY,0,DOUBLE_BOTTOM,8.0,59.29,2026-03-02,True,True,60.07,2,0.224016,0.2439,0.711,3.0
XLE,False,ENTRY_READY,0,DOUBLE_BOTTOM,8.0,56.15,2026-03-02,True,True,56.845,2,0.216402,0.2438,0.696,3.0
APA,False,ENTRY_READY,0,DOUBLE_BOTTOM,7.0,30.42,2026-03-02,True,True,32.435,2,0.069507,0.2901,0.976,3.0
FANG,False,ENTRY_READY,0,DOUBLE_BOTTOM,6.0,177.25,2026-03-02,True,True,179.695,1,0.38642,0.2397,1.054,3.0
CNQ,False,ENTRY_READY,0,DOUBLE_BOTTOM,5.0,44.04,2026-03-02,True,True,44.22,1,0.194566,0.3429,0.521,3.0
DIG,True,ENTRY_READY,0,DOUBLE_BOTTOM,5.0,55.85,2026-03-02,True,True,56.82,2,0.371355,0.4218,0.733,3.0
ERX,True,ENTRY_READY,0,DOUBLE_BOTTOM,5.0,86.58,2026-03-02,True,True,88.73,2,0.575947,0.4229,0.695,3.0
SHEL,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,7.0,83.665,2026-03-02,True,False,83.03,1,0.161364,0.1883,0.886,3.0
BZ=F,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,5.5,82.11,2026-03-03,True,False,83.38,1,0.213812,0.2849,1.331,3.0
CL=F,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,5.5,75.33,2026-03-03,True,False,76.61,1,0.176855,0.2701,1.334,3.0
TTE,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,BASE,4.5,80.36,2026-03-02,True,False,79.725,1,0.281469,0.2439,0.707,0.0
EQNR,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,4.0,29.94,2026-03-02,True,False,31.895,1,0.131696,0.3168,1.162,3.0
UCO,True,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,4.0,28.52,2026-03-03,True,False,30.22,1,0.115635,0.3647,1.182,3.0
GUSH,True,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,3.0,34.8,2026-03-03,True,False,34.915,1,0.147451,0.4022,0.926,3.0
^VIX,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,2.5,25.24,2026-03-03,True,False,27.18,1,0.087564,0.4699,1.301,3.0
VG,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,BASE,0.0,11.92,2026-03-03,True,False,12.225,1,0.076839,0.5201,1.277,0.0
MPC,False,BREAKOUT_WAIT_VOL,2,DOUBLE_BOTTOM,8.0,210.42,2026-03-03,False,False,211.56,3,0.413737,0.2304,1.052,3.0
IYM,False,BREAKOUT_WAIT_VOL,2,DOUBLE_BOTTOM,7.5,188.81,2026-03-02,False,False,179.905,3,0.706017,0.234,1.274,3.0
COP,False,BREAKOUT_WAIT_VOL,2,DOUBLE_BOTTOM,7.0,119.3,2026-03-03,False,False,120.42,1,0.386672,0.2393,0.763,3.0
CVE,False,BREAKOUT_WAIT_VOL,2,DOUBLE_BOTTOM,6.0,22.57,2026-02-19,False,True,22.625,2,0.103844,0.3366,0.884,3.0
OIH,False,BREAKOUT_WAIT_VOL,2,DOUBLE_BOTTOM,6.0,400.44,2026-02-24,False,False,387.16,2,2.000087,0.3101,0.748,3.0
XOP,False,BREAKOUT_WAIT_VOL,2,DOUBLE_BOTTOM,6.0,160.99,2026-03-03,False,False,161.21,1,0.421007,0.235,0.913,3.0
RB=F,False,BREAKOUT_WAIT_VOL,2,DOUBLE_BOTTOM,4.5,2.093,2026-03-02,False,False,2.45,2,0.00623,0.3326,1.723,3.0
AEM,False,BREAKOUT_WAIT_VOL,2,DOUBLE_BOTTOM,4.0,246.78,2026-02-27,False,True,233.48,1,1.226262,0.3724,1.064,3.0
LNG,False,BREAKOUT_WAIT_VOL,2,BASE,4.0,252.5,2026-03-03,False,False,252.842,2,0.688388,0.2626,1.492,0.0
SLB,False,NO_SIGNAL,9,DOUBLE_BOTTOM,9.0,52.45,,False,False,49.36,6,0.279121,0.2867,0.796,3.0
PSX,False,NO_SIGNAL,9,DOUBLE_BOTTOM,8.0,163.79,,False,False,158.73,2,0.439009,0.2236,0.736,3.0
JETS,False,NO_SIGNAL,9,DOUBLE_BOTTOM,7.5,31.33,,False,False,26.81,4,0.017973,0.1621,1.306,3.0
HAL,False,NO_SIGNAL,9,DOUBLE_BOTTOM,7.0,37.03,,False,False,35.28,1,0.150579,0.2765,0.702,3.0
XLB,False,NO_SIGNAL,9,DOUBLE_BOTTOM,7.0,54.14,,False,False,51.37,2,0.172722,0.1993,1.055,3.0
FCX,False,NO_SIGNAL,9,DOUBLE_BOTTOM,5.0,69.75,,False,False,63.37,2,0.362304,0.3741,1.068,3.0
GC=F,False,NO_SIGNAL,9,BASE,4.5,5586.2,,False,False,5095.7,1,17.524826,0.2526,0.802,0.0
UUP,False,NO_SIGNAL,9,DOUBLE_BOTTOM,4.5,28.2,,False,False,27.535,9,-0.016112,0.0638,0.614,3.0
CCJ,False,NO_SIGNAL,9,DOUBLE_BOTTOM,4.0,135.24,,False,False,116.13,1,0.609796,0.3767,1.101,3.0
UYM,True,NO_SIGNAL,9,DOUBLE_BOTTOM,4.0,34.54,,False,False,30.51,1,0.188215,0.3526,1.196,3.0
SCCO,False,NO_SIGNAL,9,BASE,2.5,223.89,,False,False,203.875,1,1.363945,0.3971,0.825,0.0
^TNX,False,NO_SIGNAL,9,RECTANGLE,2.5,4.311,,False,False,4.071,6,-0.001147,0.0823,1.308,2.0
NQ=F,False,NO_SIGNAL,9,BASE,2.0,26349.0,,False,False,24405.5,2,-14.351382,0.0801,1.186,2.0
ES=F,False,NO_SIGNAL,9,RECTANGLE,0.0,7043.0,,False,False,6733.75,21,-0.132572,0.046,1.236,2.0
NG=F,False,NO_SIGNAL,9,BASE,-1.0,7.827,,False,False,3.104,1,-0.024548,0.6455,0.276,2.0
BOIL,True,NO_SIGNAL,9,BASE,-1.0,46.85,,False,False,19.465,1,-0.217626,0.6756,0.42,2.0
