ticker,price,gap_pct,rsi14,sma10,sma40,sma50,sma200,px_vs_sma10,px_vs_sma40,px_vs_sma50,px_vs_sma200,sma10_slope,sma40_slope,weekly_up,weekly_r1,weekly_s1,room_to_weekly_r1_pct,daily_break_level,daily_breakout,daily_retest,in_daily_box_middle,grade,score
TER,291.7,-1.93,50.47,303.32,302.49,288.85,177.76,-3.83,-3.57,0.99,64.09,UP,UP,True,344.92,263.02,18.24,344.92,False,False,False,B,9.0
^VIX,29.53,-1.83,59.74,25.78,22.23,21.11,17.96,14.56,32.83,39.89,64.44,UP,UP,True,35.3,13.38,19.54,35.3,False,False,False,B,9.0
NXT,119.45,-1.42,60.78,120.16,115.83,113.79,86.06,-0.6,3.12,4.98,38.79,UP,UP,True,128.75,97.46,7.79,131.72,False,False,False,B,9.0
ADM,72.39,-1.07,62.72,70.51,68.88,68.5,61.14,2.66,5.1,5.68,18.41,UP,UP,True,73.72,62.4,1.84,73.72,False,True,False,B,9.0
COM,33.5,-0.33,63.91,33.54,32.23,32.03,29.59,-0.12,3.93,4.58,13.21,DN,UP,True,34.08,30.46,1.73,34.08,False,True,False,B,9.0
FLEX,65.62,1.59,55.97,65.42,64.06,64.28,58.67,0.3,2.44,2.09,11.85,UP,UP,True,67.71,58.53,3.19,70.74,False,False,False,B,9.0
ALB,174.84,-3.3,58.04,169.59,169.75,172.13,115.28,3.1,3.0,1.58,51.67,UP,DN,True,206.0,156.04,17.82,206.0,False,False,True,B,8.0
GLW,131.9,-3.27,55.63,134.05,133.08,125.93,87.25,-1.6,-0.88,4.74,51.17,UP,UP,True,162.1,120.01,22.9,162.1,False,False,False,B,8.0
ROST,214.3,0.32,53.11,211.91,203.41,200.53,166.15,1.13,5.35,6.87,28.98,UP,UP,True,216.8,194.07,1.17,217.51,False,True,False,B,8.0
ON,60.18,1.04,51.13,60.56,63.79,63.42,55.26,-0.63,-5.65,-5.11,8.91,UP,DN,True,73.76,54.99,22.57,73.76,False,False,False,B,8.0
ZD,43.33,2.1,63.03,42.77,36.37,36.86,35.21,1.3,19.15,17.55,23.05,UP,UP,True,50.55,22.45,16.66,50.55,False,False,False,B,8.0
LUNR,19.0,2.59,51.42,18.8,17.93,18.44,13.09,1.08,5.99,3.03,45.14,UP,DN,True,23.32,14.54,22.71,23.32,False,False,True,B,8.0
SQM,77.43,-5.77,62.18,76.53,74.51,76.04,55.56,1.17,3.93,1.82,39.36,UP,DN,True,81.67,65.65,5.48,86.13,False,False,True,B,7.0
LRCX,207.75,-3.12,51.8,226.46,227.42,227.51,155.87,-8.26,-8.65,-8.69,33.28,UP,DN,True,256.68,194.08,23.55,256.68,False,False,True,B,7.0
AMKR,44.22,-2.65,54.92,46.87,47.06,47.73,34.61,-5.64,-6.04,-7.35,27.76,UP,DN,True,57.09,40.22,29.1,57.09,False,False,False,B,7.0
AMAT,332.91,-2.42,51.04,354.72,348.97,344.4,245.55,-6.15,-4.6,-3.34,35.58,UP,UP,True,395.95,316.66,18.94,395.95,False,False,True,B,7.0
KLAC,1428.95,-2.08,53.8,1494.4,1459.8,1479.9,1163.14,-4.38,-2.11,-3.44,22.85,UP,DN,True,1577.35,1321.02,10.39,1693.35,False,False,True,B,7.0
CZR,26.89,1.66,54.51,26.9,23.8,23.63,24.67,-0.05,12.96,13.77,9.01,DN,UP,False,30.88,17.86,14.84,30.88,False,False,False,B,7.0
GSAT,59.8,-6.11,60.23,61.16,59.86,60.49,46.31,-2.22,-0.1,-1.14,29.13,UP,DN,True,65.02,53.67,8.73,74.65,False,False,False,B,6.0
TGT,117.01,-1.67,46.65,115.98,115.62,113.8,100.5,0.89,1.2,2.82,16.43,UP,UP,True,126.0,111.11,7.68,126.0,False,False,False,B,6.0
JNJ,239.17,-1.24,49.04,238.36,240.83,236.94,196.67,0.34,-0.69,0.94,21.61,DN,UP,True,251.71,200.91,5.24,251.71,False,False,False,B,6.0
SAFX,0.43,1.97,57.82,0.36,0.26,0.24,0.95,17.95,68.42,81.26,-54.67,DN,UP,False,0.65,0.15,51.16,0.65,False,False,False,B,6.0
LABD,18.79,-3.09,57.48,19.57,18.8,18.7,37.61,-3.97,-0.06,0.47,-50.05,DN,UP,False,21.18,16.16,12.72,23.02,False,False,False,B,5.0
NVDD,41.01,-1.54,66.43,40.03,38.89,38.78,40.69,2.46,5.46,5.74,0.79,UP,UP,False,41.76,36.02,1.83,41.79,False,True,False,B,5.0
RIO,84.88,-1.52,40.22,86.83,93.26,92.52,73.47,-2.25,-8.99,-8.26,15.54,DN,DN,True,101.53,67.74,19.62,101.53,False,False,False,B,5.0
ENVX,5.1,-1.26,51.81,5.07,5.58,5.97,9.17,0.6,-8.66,-14.51,-44.38,UP,DN,False,8.89,4.61,74.31,8.89,False,False,False,B,5.0
