ticker,price,gap_pct,rsi14,sma10,sma40,sma50,sma200,px_vs_sma10,px_vs_sma40,px_vs_sma50,px_vs_sma200,sma10_slope,sma40_slope,weekly_up,weekly_r1,weekly_s1,room_to_weekly_r1_pct,daily_break_level,daily_breakout,daily_retest,in_daily_box_middle,grade,score
ADP,204.2,1.7,38.86,203.05,211.07,217.0,265.68,0.56,-3.25,-5.9,-23.14,DN,DN,False,226.5,203.26,10.92,266.03,False,False,False,B,2.0
QS,6.41,1.75,40.86,6.34,6.91,7.33,10.4,1.1,-7.26,-12.6,-38.37,DN,DN,False,7.14,10.56,11.39,11.93,False,False,False,B,2.0
IONQ,29.54,1.9,39.21,28.85,32.83,34.02,46.63,2.38,-10.03,-13.17,-36.64,DN,DN,False,41.9,30.17,41.84,54.24,False,False,False,B,2.0
VRTX,453.0,2.05,45.53,442.75,464.47,465.84,438.21,2.31,-2.47,-2.76,3.37,DN,DN,False,507.92,454.4,12.12,507.92,False,False,True,B,2.0
IDYA,31.79,2.68,40.3,31.81,32.49,32.62,29.62,-0.08,-2.15,-2.54,7.32,DN,DN,False,35.68,29.57,12.24,37.81,False,False,False,B,2.0
FAZ,52.44,15.33,27.73,50.88,48.64,47.1,43.41,3.06,7.82,11.33,20.8,DN,UP,False,56.37,39.24,7.49,56.37,False,False,False,B,2.0
VG,17.24,19.39,47.87,15.94,12.64,12.02,11.36,8.16,36.36,43.4,51.74,DN,UP,False,17.62,8.55,2.2,17.62,False,True,False,B,2.0
UGL,54.65,-12.52,43.98,59.62,68.69,69.61,52.38,-8.34,-20.44,-21.49,4.33,UP,DN,False,81.9,53.33,49.86,90.4,False,False,False,B,1.0
CCL,24.94,-11.02,65.52,25.65,27.83,28.53,28.92,-2.75,-10.37,-12.58,-13.76,UP,DN,False,34.03,23.47,36.45,34.03,False,False,False,B,1.0
SIVR,64.7,-8.77,47.8,68.76,75.21,77.59,55.99,-5.9,-13.98,-16.62,15.55,UP,DN,False,89.58,63.42,38.45,115.26,False,False,False,B,1.0
SLV,61.6,-8.7,47.72,65.45,71.61,73.89,53.34,-5.88,-13.98,-16.63,15.49,UP,DN,False,85.27,60.37,38.43,109.83,False,False,False,B,1.0
HAFN,7.55,-8.15,78.76,7.74,7.3,7.07,6.12,-2.51,3.38,6.79,23.43,UP,UP,True,7.95,6.52,5.36,8.31,False,False,False,B,1.0
TDW,81.5,-7.22,82.41,83.37,77.88,75.19,59.16,-2.24,4.65,8.4,37.77,UP,UP,True,88.99,71.32,9.19,88.99,False,False,False,B,1.0
RKLB,65.4,-5.33,49.57,65.77,69.29,71.12,58.57,-0.56,-5.61,-8.04,11.67,UP,DN,False,78.67,63.87,20.29,99.58,False,False,False,B,1.0
SHW,319.55,-4.8,65.12,320.3,336.91,341.0,343.23,-0.24,-5.15,-6.29,-6.9,UP,DN,False,377.77,301.58,18.22,377.77,False,False,False,B,1.0
VST,150.05,-3.75,37.7,152.35,161.7,160.29,180.58,-1.51,-7.21,-6.39,-16.91,UP,UP,False,178.31,138.53,18.83,182.56,False,False,False,B,1.0
CTAS,168.13,-3.7,36.6,171.22,189.24,189.8,198.04,-1.8,-11.16,-11.42,-15.1,DN,DN,False,209.08,165.6,24.36,209.08,False,False,False,B,1.0
HTOO,2.69,-2.89,42.31,2.76,3.1,3.17,4.22,-2.57,-13.35,-15.21,-36.31,UP,DN,False,3.71,2.41,37.99,5.08,False,False,False,B,1.0
