symbol,is_2x,status,break_level,breakout_date,vol_confirmed,vol_ratio,hold_confirmed,breakout_pct,last_close
BATL,False,ENTRY_READY,13.61,2026-03-03,True,5.3,True,64.291,22.36
VG,False,ENTRY_READY,10.43,2026-03-02,True,4.919,True,19.655,12.48
IYE,False,ENTRY_READY,59.29,2026-03-02,True,3.816,True,0.776,59.75
HAFN,False,ENTRY_READY,7.725,2026-03-02,True,3.371,True,-3.43,7.46
LNG,False,ENTRY_READY,236.63,2026-03-02,True,2.682,True,7.827,255.15
FANG,False,ENTRY_READY,177.25,2026-03-02,True,2.235,True,1.856,180.54
GUSH,True,ENTRY_READY,35.43,2026-03-05,True,2.175,True,2.004,36.14
XOP,False,ENTRY_READY,162.46,2026-03-05,True,1.939,True,1.028,164.13
APA,False,ENTRY_READY,30.42,2026-03-02,True,1.765,True,7.429,32.68
BNO,False,BREAKOUT(vol_ok)_WAIT_HOLD,41.05,2026-03-06,True,4.761,False,7.065,43.95
USO,False,BREAKOUT(vol_ok)_WAIT_HOLD,98.83,2026-03-06,True,4.419,False,10.058,108.77
UCO,True,BREAKOUT(vol_ok)_WAIT_HOLD,31.45,2026-03-06,True,3.263,False,6.773,33.58
CF,False,BREAKOUT(vol_ok)_WAIT_HOLD,113.77,2026-03-06,True,2.706,False,1.767,115.78
CHRD,False,BREAKOUT(vol_ok)_WAIT_HOLD,121.05,2026-03-06,True,1.976,False,0.256,121.36
SHEL,False,BREAKOUT(vol_ok)_WAIT_HOLD,84.5499,2026-03-06,True,1.926,False,0.178,84.7
EQNR,False,BREAKOUT(vol_ok)_WAIT_HOLD,32.58,2026-03-06,True,1.797,False,3.1,33.59
TTE,False,BREAKOUT(vol_ok)_WAIT_HOLD,80.36,2026-03-02,True,1.594,False,-1.979,78.77
CNQ,False,BREAKOUT(vol_ok)_WAIT_HOLD,45.92,2026-03-06,True,1.532,False,0.849,46.31
INGM,False,BREAKOUT_WAIT_VOL,26.35,2026-03-05,False,1.059,False,-16.281,22.06
CVE,False,NO_BREAKOUT,,,False,,False,,22.73
GLNG,False,NO_BREAKOUT,,,False,,False,,47.08
IYR,False,NO_BREAKOUT,,,False,,False,,99.02
KTB,False,NO_BREAKOUT,,,False,,False,,76.27
RCAT,False,NO_BREAKOUT,,,False,,False,,15.36
SEM,False,NO_BREAKOUT,,,False,,False,,16.25
