ticker,price,gap_pct,rsi14,px_vs_sma50,px_vs_sma200,weekly_up,weekly_r1,weekly_s1,room_to_weekly_r1_pct,daily_break_level,daily_breakout,daily_retest,in_daily_box_middle,grade,score
BATL,15.89,1.6,60.85,150.39,528.51,True,29.7,2.33,86.91,29.7,False,False,False,B,9.0
IDU,119.2,0.0,50.88,5.2,8.31,True,120.82,106.08,1.36,120.82,False,True,False,B,8.0
ASTS,87.7,1.38,50.57,-8.44,32.06,True,106.66,77.17,21.62,129.89,False,False,False,B,8.0
RCAT,16.13,3.23,63.8,19.94,57.46,True,18.78,10.8,16.43,18.78,False,False,False,B,8.0
XOM,156.87,-0.47,66.87,10.46,30.66,True,159.61,114.61,1.75,159.61,False,True,False,B,7.0
XLU,47.29,0.27,49.57,5.85,9.11,True,47.8,41.74,1.08,47.8,False,True,False,B,5.0
SCCO,175.64,1.14,27.48,-7.35,32.8,True,223.89,181.6,27.47,223.89,False,False,False,B,5.0
NG=F,3.1,1.81,54.66,-13.26,-13.12,False,7.83,2.78,152.48,7.83,False,False,False,B,5.0
BOIL,18.48,3.38,55.97,-10.25,-41.81,False,41.25,15.55,123.21,41.25,False,False,False,B,4.0
ZD,41.56,-1.89,79.23,17.1,19.57,True,50.55,22.45,21.63,50.55,False,False,False,B,3.0
CURE,100.74,1.5,28.49,-10.47,6.83,False,120.49,106.96,19.6,123.8,False,False,False,B,3.0
NUGT,207.32,3.28,23.72,-15.98,35.6,False,320.79,203.64,54.73,320.79,False,False,False,B,2.0
KOLD,19.66,-3.39,39.5,-23.11,-33.46,False,24.69,13.44,25.58,49.47,False,False,False,B,1.0
SCO,8.8,2.37,8.31,-42.54,-49.05,False,20.46,17.56,132.5,20.66,False,False,False,B,1.0
DUST,50.77,-3.04,76.04,1.62,-61.34,False,60.1,34.6,18.38,79.5,False,False,False,B,-1.0
IDYA,34.34,-1.35,62.08,1.44,19.32,True,35.68,29.47,3.9,39.28,False,False,True,C,9.0
CNR,98.45,-0.61,62.85,6.27,20.0,True,103.5,81.83,5.13,103.5,False,False,False,C,9.0
TGT,117.63,0.57,53.36,5.14,18.12,True,126.0,111.11,7.12,126.0,False,False,False,C,9.0
CINF,167.18,-0.69,64.83,2.19,6.1,True,170.1,155.14,1.75,174.27,False,False,True,C,8.0
GD,355.17,0.74,51.25,-0.22,7.69,True,366.75,337.32,3.26,369.7,False,False,True,C,8.0
FAST,45.63,0.09,50.88,1.78,2.81,False,48.42,44.51,6.11,48.45,False,False,False,C,7.0
CAH,217.48,-1.0,41.96,0.36,19.9,True,233.6,213.58,7.41,233.6,False,False,True,C,6.0
EXPD,144.04,-0.27,63.77,-6.43,8.66,False,167.19,129.59,16.07,167.19,False,False,True,C,6.0
SQQQ,72.52,-0.21,53.73,5.04,-9.76,False,75.19,61.72,3.68,76.61,False,False,False,C,6.0
CVE,23.58,-0.13,61.19,15.41,37.17,True,18.75,15.63,-20.48,24.06,False,True,False,C,6.0
APD,288.04,-0.11,61.6,5.41,5.59,False,296.46,268.12,2.92,296.82,False,False,False,C,6.0
IYR,98.52,0.0,35.26,0.81,2.46,True,101.8,94.41,3.33,101.8,False,False,True,C,6.0
IYZ,39.33,0.0,49.45,6.51,20.24,True,40.59,33.23,3.2,40.59,False,False,False,C,6.0
MCD,327.61,0.03,42.19,2.3,6.22,True,341.75,321.32,4.32,341.75,False,False,True,C,6.0
O,65.32,0.09,41.1,3.9,10.4,True,67.94,55.86,4.01,67.94,False,False,False,C,6.0
CB,331.85,0.13,43.53,3.72,13.11,True,345.67,296.06,4.16,345.67,False,False,False,C,6.0
KO,78.38,0.19,34.72,3.67,10.35,True,82.0,76.35,4.62,82.0,False,False,False,C,6.0
OIH,373.88,0.19,26.14,4.29,31.45,True,406.12,280.19,8.62,406.12,False,False,False,C,6.0
FANG,182.74,0.23,62.92,11.14,22.15,True,164.44,139.41,-10.01,186.66,False,True,False,C,6.0
FRT,106.41,0.27,43.13,1.81,7.39,True,110.89,99.29,4.21,110.89,False,False,True,C,6.0
SYY,85.51,0.29,29.22,2.73,8.33,True,91.85,71.23,7.41,91.85,False,False,False,C,6.0
HAFN,6.74,0.3,35.86,3.9,13.49,True,7.95,5.17,18.03,7.95,False,False,True,C,6.0
CAT,703.98,0.38,32.55,1.81,33.56,True,789.81,557.46,12.19,789.81,False,False,False,C,6.0
NEE,93.1,0.43,36.48,5.38,16.61,True,95.91,78.36,3.02,95.91,False,False,False,C,6.0
WMT,126.01,0.52,46.48,2.57,17.11,True,134.69,115.48,6.89,134.69,False,False,False,C,6.0
TDW,75.55,0.52,43.23,11.55,34.12,True,88.99,49.54,17.79,88.99,False,False,False,C,6.0
HAL,34.34,0.53,39.54,1.37,30.47,True,37.03,24.92,7.83,37.03,False,False,False,C,6.0
JNJ,243.8,0.56,42.03,5.25,26.37,True,251.71,235.43,3.24,251.71,False,False,False,C,6.0
TECS,18.5,0.57,50.78,4.35,-12.22,False,20.32,15.31,9.84,20.69,False,False,True,C,6.0
GC=F,5035.6,0.6,42.11,2.26,24.8,True,5405.0,4400.0,7.34,5586.2,False,False,True,C,6.0
KTB,68.21,0.67,50.53,5.25,-2.76,False,80.31,62.23,17.74,80.31,False,False,True,C,6.0
PEP,160.17,0.71,25.07,2.35,9.56,True,171.48,156.09,7.06,171.48,False,False,False,C,6.0
ES,73.22,0.92,35.27,3.03,7.22,True,76.41,66.6,4.36,76.41,False,False,False,C,6.0
UGL,71.6,1.03,39.42,1.01,41.94,True,81.9,61.04,14.39,90.4,False,False,True,C,6.0
LABD,19.0,1.09,59.15,1.14,-52.71,False,20.5,16.16,7.89,23.02,False,False,True,C,6.0
GLL,17.99,-0.99,59.62,-7.27,-43.62,False,22.0,15.87,22.29,26.27,False,False,False,C,5.0
USD,53.99,-0.7,42.62,-2.99,11.88,True,61.65,47.81,14.19,61.68,False,False,True,C,5.0
BITI,24.44,-0.57,29.79,-3.28,15.82,True,30.34,20.64,24.14,30.93,False,False,False,C,5.0
SOXL,54.77,-0.52,37.16,-8.0,38.78,True,72.36,49.33,32.12,72.36,False,False,True,C,5.0
CHRW,172.17,-0.47,45.71,-5.04,22.47,True,194.54,149.36,12.99,203.34,False,False,True,C,5.0
TMV,36.91,-0.36,68.76,2.7,1.18,False,38.16,33.0,3.39,38.16,False,False,False,C,5.0
FDS,206.27,-0.3,55.3,-13.94,-35.51,False,230.03,185.0,11.52,306.1,False,False,False,C,5.0
SMH,396.63,-0.27,40.52,-0.69,18.23,True,427.94,374.24,7.89,427.94,False,False,False,C,5.0
SOXX,340.12,-0.2,39.89,-0.9,19.5,True,368.82,323.33,8.44,368.82,False,False,False,C,5.0
DOV,207.07,-0.15,20.93,-3.44,9.56,True,237.54,197.97,14.71,237.54,False,False,False,C,5.0
QID,21.11,-0.09,54.14,3.73,-5.32,False,21.54,18.87,2.04,21.87,False,False,False,C,5.0
SPGI,427.28,-0.07,56.25,-9.86,-15.32,False,452.69,381.61,5.95,552.25,False,False,False,C,5.0
IH,1.8,0.0,56.24,-3.9,-26.91,False,2.24,1.67,24.44,2.34,False,False,False,C,5.0
IYM,174.31,0.0,22.17,-0.95,13.7,True,189.81,139.08,8.89,189.81,False,False,True,C,5.0
UYM,28.47,0.0,12.56,-5.46,11.39,True,34.54,21.34,21.32,34.54,False,False,True,C,5.0
