ticker,premarket,source
LABU,175.27,auto
LEU,187.24,auto
LIN,503.27,auto
LIT,78.26,manual
LLY,945.0,auto
LMT,619.04,auto
LMTL,45.32,auto
LNG,264.24,auto
LOGI,93.27,auto
LONG,,auto
LOW,247.52,auto
LRCX,262.52,auto
LTHM,,auto
LULU,164.4,auto
LUNR,23.96,auto
LUV,40.15,auto
LVS,54.45,auto
LWLG,9.76,auto
LYB,73.18,auto
LYFT,13.37,auto
MA,502.02,auto
MAR,354.35,auto
MAY,,auto
MBLY,7.26,auto
MCD,307.61,auto
MCRP,2.46,auto
MDLZ,59.28,auto
MDT,87.95,auto
MEDICAL,,auto
META,632.39,auto
MGM,36.66,auto
MICROSECTORS,,auto
MKC,53.16,auto
MP,56.75,auto
MPC,219.71,auto
MRO,,auto
MRVL,126.734,manual
MS,175.66,auto
MSFT,373.7,auto
MSTR,129.48,auto
MTZ,361.3,auto
MU,418.42,auto
NASDAQ,22941.98,auto
NCLH,19.97,auto
NDSN,276.1,auto
NEE,94.71,auto
NEM,121.12,auto
NG=F,,auto
NKE,43.04,auto
NNDM,1.72,auto
NO,,auto
NOC,678.11,auto
NPT,,auto
NQ=F,,auto
NRG,164.6,auto
NRGV,3.35,auto
NUE,186.24,auto
NUGT,218.5,auto
NVDA,187.05,auto
NVDD,37.56,auto
NVDL,83.28,auto
NVDU,110.87,auto
NXPI,207.04,auto
NXT,116.58,auto
NXXT,0.35,auto
O,63.54,auto
OIH,412.13,auto
OIL,,auto
OKLO,50.14,auto
ON,68.89,auto
ORA,114.86,auto
OXY,58.12,auto
PAA,,auto
PAAS,57.61,auto
PALL,138.91,auto
PARR,59.93,auto
PASS,,auto
PBF,40.32,auto
PBR,21.08,auto
PDBC,17.03,auto
PEP,157.67,auto
PG,146.36,auto
PH,984.14,auto
PHARMACEUTICAL,,auto
PILL,11.58,auto
PL,35.27,auto
PLL,,auto
PM,159.91,auto
PNR,90.44,auto
PPG,111.42,auto
PPH,104.64,auto
PPLT,186.54,auto
PROSHARES,,auto
PSX,159.29,auto
PWR,584.49,auto
PYPL,45.82,auto
QCOM,129.95,auto
QETH,22.16,auto
QID,20.15,auto
QLD,68.43,auto
QS,6.43,auto
RB=F,,auto
RBOB,,auto
RCAT,12.24,auto
RCL,278.74,auto
RDW,9.38,auto
RIO,99.09,auto
RIVN,15.74,auto
RKLB,68.37,auto
RLX,,auto
RMCF,2.31,auto
RMS,,auto
RNW,4.75,auto
ROBOTICS,,auto
ROK,394.6,auto
ROP,347.91,auto
ROST,220.92,auto
RRC,42.4,auto
RTX,201.56,auto
SAFX,0.58,auto
SANM,145.6,auto
SATL,7.64,auto
SBUX,96.76,auto
SCCO,194.85,auto
SCHW,94.59,auto
SCO,8.1,auto
SDOW,31.41,auto
SDS,68.62,auto
SEM,,auto
SEMICONDUCTOR,,auto
SEMICONDUCTORS,,auto
SHEL,91.9,auto
SHW,335.99,auto
