# saved_at_kr,2026-05-04 16:40:29 KST
# provider,yahoo(yfinance)
group,ticker,premarket,src,ts_kst,error
kr_sector_rotation_auto,051910.KS,429000.0,yf_close(5m),2026-05-04T15:15:00+09:00,
kr_sector_rotation_auto,329180.KS,680000.0,yf_close(5m),2026-05-04T15:15:00+09:00,
kr_tactical_leverage,122630.KS,127765.0,yf_close(5m),2026-05-04T15:20:00+09:00,
kr_tactical_leverage,233740.KS,17085.0,yf_close(5m),2026-05-04T15:30:00+09:00,
kr_tactical_leverage,252670.KS,153.0,yf_close(5m),2026-05-04T15:15:00+09:00,
kr_tactical_leverage,251340.KS,1964.0,yf_close(5m),2026-05-04T15:15:00+09:00,
macro_watch_yahoo_korea,069500.KS,105295.0,yf_close(5m),2026-05-04T15:15:00+09:00,
macro_watch_yahoo_korea,102110.KS,105265.0,yf_close(5m),2026-05-04T15:15:00+09:00,
macro_watch_yahoo_korea,122630.KS,127765.0,yf_close(5m),2026-05-04T15:20:00+09:00,
macro_watch_yahoo_korea,252670.KS,153.0,yf_close(5m),2026-05-04T15:15:00+09:00,
macro_watch_yahoo_korea,233740.KS,17085.0,yf_close(5m),2026-05-04T15:30:00+09:00,
macro_watch_yahoo_korea,251340.KS,1964.0,yf_close(5m),2026-05-04T15:15:00+09:00,
macro_watch_yahoo_korea,494310.KS,111200.0,yf_close(5m),2026-05-04T15:15:00+09:00,
macro_watch_yahoo_korea,488080.KS,65495.0,yf_close(5m),2026-05-04T15:15:00+09:00,
macro_watch_yahoo_korea,395270.KS,49145.0,yf_close(5m),2026-05-04T15:15:00+09:00,
macro_watch_yahoo_korea,469150.KS,61925.0,yf_close(5m),2026-05-04T15:15:00+09:00,
macro_watch_yahoo_korea,266370.KS,63345.0,yf_close(5m),2026-05-04T15:30:00+09:00,
macro_watch_yahoo_korea,091160.KS,130460.0,yf_close(5m),2026-05-04T15:15:00+09:00,
macro_watch_yahoo_korea,396500.KS,42170.0,yf_close(5m),2026-05-04T15:15:00+09:00,
macro_watch_yahoo_korea,091230.KS,136155.0,yf_close(5m),2026-05-04T15:30:00+09:00,
macro_watch_yahoo_korea,005930.KS,232500.0,yf_close(5m),2026-05-04T15:20:00+09:00,
macro_watch_yahoo_korea,000660.KS,1449000.0,yf_close(5m),2026-05-04T15:15:00+09:00,
macro_watch_yahoo_korea,012450.KS,1464000.0,yf_close(5m),2026-05-04T15:15:00+09:00,
macro_watch_yahoo_korea,042660.KS,132900.0,yf_close(5m),2026-05-04T15:15:00+09:00,
macro_watch_yahoo_korea,034020.KS,127200.0,yf_close(5m),2026-05-04T15:15:00+09:00,
macro_watch_yahoo_korea,329180.KS,680000.0,yf_close(5m),2026-05-04T15:15:00+09:00,
macro_watch_yahoo_korea,035420.KS,208500.0,yf_close(5m),2026-05-04T15:15:00+09:00,
macro_watch_yahoo_korea,015760.KS,44500.0,yf_close(5m),2026-05-04T15:30:00+09:00,
tickers_core_korea,005930.KS,232500.0,yf_close(5m),2026-05-04T15:20:00+09:00,
tickers_core_korea,000660.KS,1449000.0,yf_close(5m),2026-05-04T15:15:00+09:00,
tickers_core_korea,009150.KS,918000.0,yf_close(5m),2026-05-04T15:15:00+09:00,
tickers_core_korea,005935.KS,169700.0,yf_close(5m),2026-05-04T15:15:00+09:00,
tickers_core_korea,011070.KS,592000.0,yf_close(5m),2026-05-04T15:15:00+09:00,
