ticker,is_2x,status,status_rank,pattern,pattern_score,break_level,break_level_src,breakout_date,vol_confirmed,hold_confirmed,last_close,breakout_strength,diag_db_l1,diag_db_l2,diag_db_peak,diag_db_diff_pct
VG,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,8.5,10.43,pattern:DOUBLE_BOTTOM_neckline,2026-03-06,True,False,12.48,0.196548,257.0,271.0,263.0,1.0
FANG,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,8.44,177.25,pattern:DOUBLE_BOTTOM_neckline,2026-03-06,True,False,180.54,0.018561,483.0,494.0,491.0,1.04
IYR,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,8.19,98.46,pattern:DOUBLE_BOTTOM_neckline,2026-03-06,True,False,99.02,0.005688,461.0,478.0,467.0,1.21
UUP,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,8.15,27.09,pattern:DOUBLE_BOTTOM_neckline,2026-03-06,True,False,27.47,0.014027,473.0,483.0,480.0,1.23
TTE,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,6.1,66.69,pattern:DOUBLE_BOTTOM_neckline,2026-03-06,True,False,78.77,0.181137,446.0,461.0,457.0,2.6
RCAT,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,4.73,13.83,pattern:DOUBLE_BOTTOM_neckline,2026-03-06,True,False,15.36,0.110629,480.0,495.0,490.0,3.52
INDS,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,4.56,39.78,pattern:DOUBLE_BOTTOM_neckline,2026-03-05,True,False,39.42,-0.00905,456.0,477.0,466.0,3.63
FLNG,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,3.29,28.16,pattern:DOUBLE_BOTTOM_neckline,2026-03-06,True,False,30.23,0.073509,485.0,495.0,492.0,4.47
USO,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,3.12,81.92,pattern:DOUBLE_BOTTOM_neckline,2026-03-06,True,False,108.77,0.327759,477.0,494.0,491.0,4.59
GLNG,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,2.87,46.23,pattern:DOUBLE_BOTTOM_neckline,2026-03-06,True,False,47.08,0.018386,480.0,493.0,491.0,4.75
