symbol,is_2x,status,status_rank,pattern,pattern_score,break_level,breakout_date,vol_confirmed,hold_confirmed,last_close,diag_touches,diag_slope_low,diag_depth,diag_vol_ratio_10_60,diag_db_score
IYE,False,ENTRY_READY,0,DOUBLE_BOTTOM,8.0,59.29,2026-03-02,True,True,59.43,2,0.224016,0.2439,0.814,3.0
XLE,False,ENTRY_READY,0,DOUBLE_BOTTOM,8.0,56.15,2026-03-02,True,True,56.25,2,0.216402,0.2438,0.796,3.0
APA,False,ENTRY_READY,0,DOUBLE_BOTTOM,7.0,30.42,2026-03-02,True,True,31.87,2,0.069507,0.2901,0.986,3.0
FANG,False,ENTRY_READY,0,DOUBLE_BOTTOM,6.0,177.25,2026-03-02,True,True,178.03,1,0.38642,0.2397,1.068,3.0
DIG,True,ENTRY_READY,0,DOUBLE_BOTTOM,5.0,55.85,2026-03-02,True,True,56.115,2,0.371355,0.4218,0.796,3.0
ERX,True,ENTRY_READY,0,DOUBLE_BOTTOM,5.0,86.58,2026-03-02,True,True,87.0,2,0.575947,0.4229,0.783,3.0
GUSH,True,ENTRY_READY,0,DOUBLE_BOTTOM,3.0,31.9,2026-03-02,True,True,33.89,1,0.147451,0.4022,0.966,3.0
COP,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,7.0,113.8,2026-03-02,True,False,118.68,1,0.386672,0.2393,0.759,3.0
SHEL,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,6.0,83.665,2026-03-02,True,False,82.035,1,0.161364,0.1883,0.996,3.0
XOP,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,6.0,154.0,2026-03-02,True,False,158.81,1,0.421007,0.235,0.952,3.0
BZ=F,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,5.5,82.11,2026-03-03,True,False,83.71,1,0.213812,0.2849,1.352,3.0
CL=F,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,5.5,75.33,2026-03-03,True,False,77.05,1,0.176855,0.2701,1.368,3.0
CNQ,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,5.0,44.04,2026-03-02,True,False,43.88,1,0.194566,0.3429,0.577,3.0
TTE,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,BASE,4.5,80.36,2026-03-02,True,False,79.34,1,0.281469,0.2439,0.773,0.0
LNG,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,BASE,4.0,236.63,2026-03-02,True,False,250.32,2,0.688388,0.2626,1.51,0.0
UCO,True,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,4.0,28.52,2026-03-03,True,False,30.27,1,0.115635,0.3647,1.188,3.0
EQNR,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,3.5,29.94,2026-03-02,True,False,31.535,1,0.131696,0.3168,1.211,3.0
VG,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,BASE,0.0,11.92,2026-03-03,True,False,12.08,1,0.076878,0.5201,1.268,0.0
^VIX,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,BASE,0.0,25.24,2026-03-03,True,False,26.38,1,0.087564,0.4699,1.219,2.0
IYM,False,BREAKOUT_WAIT_VOL,2,DOUBLE_BOTTOM,7.5,188.81,2026-03-02,False,False,177.87,3,0.706017,0.234,1.431,3.0
OIH,False,BREAKOUT_WAIT_VOL,2,DOUBLE_BOTTOM,6.0,400.44,2026-02-24,False,False,380.936,2,2.000087,0.3101,0.897,3.0
CVE,False,BREAKOUT_WAIT_VOL,2,DOUBLE_BOTTOM,5.0,22.57,2026-02-19,False,True,22.515,2,0.103844,0.3366,0.9,3.0
RB=F,False,BREAKOUT_WAIT_VOL,2,DOUBLE_BOTTOM,4.5,2.093,2026-03-02,False,False,2.453,2,0.00623,0.3326,1.722,3.0
AEM,False,BREAKOUT_WAIT_VOL,2,DOUBLE_BOTTOM,3.5,246.78,2026-02-27,False,True,227.37,1,1.226303,0.3724,1.227,3.0
MPC,False,SETUP_NEAR_BREAK,3,DOUBLE_BOTTOM,8.0,210.42,,False,False,208.5,3,0.413737,0.2304,1.063,3.0
PSX,False,NO_SIGNAL,9,DOUBLE_BOTTOM,8.0,163.79,,False,False,157.27,2,0.439009,0.2236,0.772,3.0
SLB,False,NO_SIGNAL,9,DOUBLE_BOTTOM,8.0,52.45,,False,False,48.75,6,0.279121,0.2867,0.901,3.0
JETS,False,NO_SIGNAL,9,DOUBLE_BOTTOM,7.5,31.33,,False,False,26.31,4,0.017973,0.1621,1.376,3.0
HAL,False,NO_SIGNAL,9,DOUBLE_BOTTOM,7.0,37.03,,False,False,34.95,1,0.150579,0.2765,0.773,3.0
XLB,False,NO_SIGNAL,9,DOUBLE_BOTTOM,6.5,54.14,,False,False,50.73,2,0.172722,0.1993,1.277,3.0
FCX,False,NO_SIGNAL,9,DOUBLE_BOTTOM,4.5,69.75,,False,False,60.94,2,0.362304,0.3741,1.336,3.0
UUP,False,NO_SIGNAL,9,DOUBLE_BOTTOM,4.5,28.2,,False,False,27.605,9,-0.016112,0.0638,0.678,3.0
CCJ,False,NO_SIGNAL,9,DOUBLE_BOTTOM,3.5,135.24,,False,False,112.975,1,0.609796,0.3767,1.244,3.0
GC=F,False,NO_SIGNAL,9,BASE,3.5,5586.2,,False,False,5021.5,1,17.541219,0.2526,0.935,0.0
UYM,True,NO_SIGNAL,9,DOUBLE_BOTTOM,3.5,34.54,,False,False,30.175,1,0.188215,0.3526,1.284,3.0
^TNX,False,NO_SIGNAL,9,RECTANGLE,2.5,4.311,,False,False,4.079,6,-0.001114,0.0823,1.319,2.0
NQ=F,False,NO_SIGNAL,9,BASE,2.0,26349.0,,False,False,24476.0,2,-14.321874,0.0801,1.142,2.0
SCCO,False,NO_SIGNAL,9,BASE,1.5,223.89,,False,False,193.86,1,1.363945,0.3971,1.143,0.0
ES=F,False,NO_SIGNAL,9,RECTANGLE,0.0,7043.0,,False,False,6742.5,21,-0.100194,0.0458,1.207,2.0
NG=F,False,NO_SIGNAL,9,BASE,-1.0,7.827,,False,False,3.123,1,-0.024548,0.6455,0.287,2.0
BOIL,True,NO_SIGNAL,9,BASE,-1.0,46.85,,False,False,19.285,1,-0.217315,0.6756,0.405,2.0
