ticker,price,gap_pct,rsi14,sma10,sma40,sma50,sma200,px_vs_sma10,px_vs_sma40,px_vs_sma50,px_vs_sma200,sma10_slope,sma40_slope,weekly_up,weekly_r1,weekly_s1,room_to_weekly_r1_pct,daily_break_level,daily_breakout,daily_retest,in_daily_box_middle,grade,score
TTE,91.25,-0.15,53.79,89.04,87.34,85.6,69.33,2.48,4.47,6.6,31.61,DN,UP,True,93.49,85.3,2.45,93.49,False,True,False,A,9.0
CBOE,301.52,0.0,54.36,301.93,292.99,292.56,260.42,-0.14,2.91,3.06,15.78,UP,UP,True,309.87,272.15,2.77,309.87,False,True,False,A,9.0
LNT,72.5,0.0,46.48,72.21,71.8,71.69,67.55,0.4,0.98,1.13,7.33,DN,UP,True,74.4,68.11,2.62,74.4,False,True,False,A,6.0
PNW,102.65,0.0,48.08,102.65,101.63,101.16,93.03,-0.0,1.01,1.47,10.34,DN,UP,True,104.92,96.75,2.21,104.92,False,True,False,A,6.0
RIO,99.09,0.76,49.64,99.3,93.54,94.51,77.57,-0.21,5.94,4.85,27.74,UP,DN,True,101.33,82.35,2.26,101.53,False,True,False,A,6.0
HUM,228.4,0.0,79.18,213.16,186.82,186.44,240.25,7.15,22.25,22.51,-4.93,UP,UP,False,285.61,163.11,25.05,228.94,False,True,False,A,1.0
EPD,37.63,-1.34,51.53,37.52,37.64,37.37,33.31,0.3,-0.03,0.69,12.96,UP,UP,True,39.74,36.18,5.61,39.74,False,False,False,B,9.0
ALL,215.92,0.0,55.7,215.35,210.2,210.1,205.05,0.27,2.72,2.77,5.3,UP,UP,True,219.48,201.61,1.65,219.48,False,True,False,B,9.0
AEP,135.1,0.0,51.33,133.94,132.42,132.17,119.52,0.86,2.02,2.21,13.03,DN,UP,True,137.74,125.08,1.96,137.74,False,True,False,B,9.0
TRV,308.29,0.0,60.19,302.49,299.78,300.7,283.27,1.91,2.84,2.52,8.83,UP,DN,True,313.12,284.66,1.57,313.12,False,True,False,B,9.0
WELL,210.96,0.0,58.43,208.99,204.91,205.79,186.18,0.95,2.95,2.51,13.31,UP,UP,True,214.99,192.66,1.91,216.43,False,True,False,B,9.0
PH,984.14,1.81,50.19,972.25,938.96,953.6,849.69,1.22,4.81,3.2,15.82,DN,DN,True,1029.0,858.72,4.56,1034.96,False,False,False,B,9.0
DRN,9.86,-3.99,60.5,10.54,9.64,9.81,9.39,-6.42,2.32,0.52,4.99,UP,DN,True,10.81,8.05,9.63,11.16,False,False,True,B,8.0
SQM,85.53,-3.87,59.5,88.88,80.63,79.47,60.87,-3.77,6.08,7.62,40.51,UP,UP,True,95.46,65.65,11.61,95.46,False,False,False,B,8.0
APH,139.33,-3.85,64.55,149.33,136.29,138.63,130.47,-6.7,2.23,0.5,6.79,UP,UP,True,144.25,118.24,3.53,155.46,False,False,True,B,8.0
AFL,111.41,-3.52,61.18,114.65,110.9,111.39,109.28,-2.83,0.46,0.02,1.95,UP,UP,True,119.32,105.76,7.1,119.32,False,False,True,B,8.0
CHRD,133.39,-3.34,53.56,132.86,131.79,126.49,105.14,0.4,1.21,5.46,26.87,UP,UP,True,148.42,119.92,11.27,148.42,False,False,False,B,8.0
AAPL,261.62,-3.33,62.62,269.52,259.01,260.56,254.21,-2.93,1.01,0.41,2.91,UP,UP,True,280.91,245.51,7.37,280.91,False,False,True,B,8.0
