symbol,is_2x,status,break_level,breakout_date,vol_confirmed,vol_ratio,hold_confirmed,breakout_pct,last_close
ZD,False,ENTRY_READY,41.07,2026-03-03,True,11.211,True,6.282,43.65
BATL,False,ENTRY_READY,13.61,2026-03-03,True,5.3,True,39.603,19.0
VG,False,ENTRY_READY,10.43,2026-03-02,True,4.919,True,17.737,12.28
IYE,False,ENTRY_READY,59.29,2026-03-02,True,3.816,True,0.658,59.68
HAFN,False,ENTRY_READY,7.725,2026-03-02,True,3.371,True,-2.913,7.5
EQNR,False,ENTRY_READY,29.94,2026-03-02,True,2.693,True,6.079,31.76
LNG,False,ENTRY_READY,236.63,2026-03-02,True,2.682,True,5.456,249.54
XLE,False,ENTRY_READY,56.15,2026-03-02,True,2.489,True,0.588,56.48
FANG,False,ENTRY_READY,177.25,2026-03-02,True,2.235,True,1.01,179.04
MPC,False,ENTRY_READY,215.57,2026-03-04,True,1.391,True,0.83,217.36
USO,False,BREAKOUT(vol_ok)_WAIT_HOLD,94.37,2026-03-05,True,3.377,False,2.056,96.31
BNO,False,BREAKOUT(vol_ok)_WAIT_HOLD,40.05,2026-03-05,True,3.249,False,0.474,40.24
CF,False,BREAKOUT(vol_ok)_WAIT_HOLD,109.59,2026-03-05,True,2.968,False,1.086,110.78
UCO,True,BREAKOUT(vol_ok)_WAIT_HOLD,30.48,2026-03-05,True,2.962,False,0.689,30.69
GUSH,True,BREAKOUT(vol_ok)_WAIT_HOLD,35.43,2026-03-05,True,2.175,False,1.75,36.05
VLO,False,BREAKOUT(vol_ok)_WAIT_HOLD,225.96,2026-03-05,True,2.153,False,0.916,228.03
XOP,False,BREAKOUT(vol_ok)_WAIT_HOLD,162.46,2026-03-05,True,1.939,False,0.837,163.82
PARR,False,BREAKOUT(vol_ok)_WAIT_HOLD,47.76,2026-03-04,True,1.918,False,4.627,49.97
WDS,False,BREAKOUT(vol_ok)_WAIT_HOLD,21.91,2026-03-04,True,1.854,False,-0.183,21.87
CHRD,False,BREAKOUT(vol_ok)_WAIT_HOLD,116.26,2026-03-05,True,1.847,False,2.606,119.29
PSX,False,BREAKOUT(vol_ok)_WAIT_HOLD,165.08,2026-03-05,True,1.615,False,0.824,166.44
TTE,False,BREAKOUT(vol_ok)_WAIT_HOLD,80.36,2026-03-02,True,1.594,False,-4.144,77.03
AEM,False,BREAKOUT_WAIT_VOL,246.78,2026-02-27,False,0.855,True,-10.248,221.49
SMH,False,BREAKOUT_WAIT_VOL,421.67,2026-02-25,False,0.959,False,-6.242,395.35
GLNG,False,NO_BREAKOUT,,,False,,False,,46.25
HAL,False,NO_BREAKOUT,,,False,,False,,34.16
IYR,False,NO_BREAKOUT,,,False,,False,,100.18
RCAT,False,NO_BREAKOUT,,,False,,False,,15.08
SEM,False,NO_BREAKOUT,,,False,,False,,16.25
UUP,False,NO_BREAKOUT,,,False,,False,,27.48
