# saved_at_kr,2026-05-04 16:40:29 KST
# provider,yahoo(yfinance)
# group: kr_foreign_naver_auto
141080.KQ,181500.0
087010.KQ,267500.0
298380.KQ,132500.0
310210.KQ,292000.0
028300.KQ,61400.0
039200.KQ,51500.0
950160.KQ,105400.0
214370.KQ,105500.0
011780.KS,143300.0
006650.KS,179800.0
120110.KS,93600.0
298000.KS,
004000.KS,66300.0
010130.KS,1621000.0
060370.KQ,49550.0
361610.KS,26800.0
348370.KQ,45100.0
078930.KS,80400.0
018670.KS,266500.0
017940.KS,104000.0
443060.KS,269500.0
082740.KS,89400.0
017960.KS,48700.0
033500.KQ,29250.0
005870.KS,9060.0
003570.KS,58800.0
010820.KS,14270.0
052690.KS,186300.0
051600.KS,61400.0
105840.KS,28650.0
083650.KQ,99100.0
032820.KQ,21550.0
# group: tickers_indices_fill_korea
ticker,premarket
000020.KS,6010.0
000030.KS,
000040.KS,436.0
000050.KS,10320.0
000060.KS,
000070.KS,68200.0
000080.KS,17065.0
000120.KS,101050.0
000140.KS,9200.0
000150.KS,1705000.0
000210.KS,67300.0
000240.KS,25150.0
000670.KS,67000.0
001040.KS,224500.0
001060.KS,30675.0
001230.KS,
001250.KS,4660.0
001430.KS,71900.0
001450.KS,31150.0
001470.KS,
001520.KS,798.0
001570.KS,
001680.KS,20350.0
001740.KS,6600.0
001800.KS,24950.0
001940.KS,26850.0
002020.KS,69900.0
002150.KS,6940.0
002240.KS,25400.0
002270.KS,
002320.KS,19230.0
002350.KS,7370.0
002380.KS,574000.0
002790.KS,28500.0
002840.KS,151900.0
002960.KS,495500.0
003000.KS,6280.0
003090.KS,22400.0
003240.KS,1190000.0
003300.KS,17410.0
003410.KS,
003470.KS,6020.0
003520.KS,1751.0
003540.KS,40050.0
003620.KS,4440.0
003850.KS,10010.0
003920.KS,51700.0
004020.KS,42900.0
004150.KS,3375.0
004270.KS,
004430.KS,15750.0
004490.KS,66700.0
004710.KS,8170.0
004800.KS,220500.0
004990.KS,30050.0
005180.KS,74300.0
005250.KS,13940.0
005390.KS,
005830.KS,166800.0
006040.KS,38550.0
006120.KS,55500.0
006260.KS,509000.0
006280.KS,137500.0
007070.KS,22900.0
007310.KS,363500.0
008560.KS,
008930.KS,38050.0
009240.KS,41650.0
009420.KS,46200.0
010100.KS,4515.0
010620.KS,
010780.KS,26200.0
011200.KS,21100.0
011210.KS,82800.0
012750.KS,78400.0
014820.KS,27650.0
017800.KS,100000.0
020150.KS,78200.0
021240.KS,86500.0
028670.KS,5610.0
029780.KS,52500.0
030000.KS,19710.0
031430.KS,14870.0
033780.KS,179600.0
039490.KS,420500.0
069260.KS,18430.0
069620.KS,148000.0
073240.KS,5670.0
081660.KS,40250.0
086280.KS,225500.0
088350.KS,5040.0
093050.KS,25200.0
093370.KS,14130.0
100590.KS,6200.0
108320.KS,62900.0
111770.KS,85500.0
115390.KS,
128940.KS,444500.0
137310.KS,8210.0
138040.KS,113400.0
138930.KS,18200.0
139130.KS,19260.0
139480.KS,105900.0
145990.KS,47350.0
161390.KS,61200.0
175330.KS,27250.0
180640.KS,112200.0
185750.KS,86100.0
192080.KS,61300.0
241560.KS,74000.0
285130.KS,59700.0
298020.KS,508000.0
298050.KS,267000.0
302440.KS,43300.0
352820.KS,257500.0
003380.KQ,13500.0
004540.KQ,2005.0
004650.KQ,10520.0
006220.KQ,12620.0
007390.KQ,20400.0
011560.KQ,22600.0
014620.KQ,46400.0
023160.KQ,46000.0
024800.KQ,4460.0
025900.KQ,11860.0
031510.KQ,1018.0
031980.KQ,132300.0
032500.KQ,31550.0
033640.KQ,32900.0
035600.KQ,11480.0
