ticker,price,gap_pct,rsi14,px_vs_sma50,px_vs_sma200,weekly_up,weekly_r1,weekly_s1,room_to_weekly_r1_pct,daily_break_level,daily_breakout,daily_retest,in_daily_box_middle,grade,score
IYZ,39.59,0.0,51.68,6.89,20.82,True,40.59,33.23,2.53,40.59,False,True,False,A,9.0
GLNG,46.5,0.41,61.2,9.45,14.38,True,47.48,41.68,2.11,47.48,False,True,False,A,9.0
IDU,118.39,0.0,44.89,4.32,7.5,True,120.82,106.08,2.05,120.82,False,True,False,A,6.0
LNG,254.0,0.99,75.5,15.17,13.65,False,259.24,186.2,2.06,259.24,False,True,False,A,1.0
HAL,35.13,-1.43,52.11,3.34,33.08,True,37.03,24.92,5.41,37.03,False,False,False,B,9.0
MTZ,304.67,-0.0,60.67,15.72,45.17,True,310.36,226.09,1.87,310.36,False,True,False,B,9.0
RMCF,2.55,1.19,51.9,7.75,42.43,True,2.99,1.5,17.25,2.99,False,False,False,B,9.0
ENLT,75.8,1.31,58.38,20.71,96.52,True,81.28,22.95,7.23,81.28,False,False,False,B,9.0
NXT,123.8,1.61,55.84,13.12,48.15,True,128.75,97.46,4.0,131.59,False,False,False,B,9.0
ASTS,94.01,-1.77,60.18,-2.15,40.77,True,106.66,77.17,13.46,129.89,False,False,False,B,8.0
BATL,12.23,7.94,56.29,87.14,375.03,True,29.7,2.33,142.85,29.7,False,False,False,B,7.0
RKLB,74.95,-4.63,62.61,-2.9,34.78,True,99.58,63.87,32.86,99.58,False,False,False,B,6.0
LUNR,18.51,-2.06,65.25,0.47,44.78,True,23.32,14.54,25.96,23.32,False,False,False,B,6.0
TRX,1.57,-1.88,39.42,3.85,100.11,True,2.02,0.84,28.66,2.8,False,False,False,B,6.0
FLNC,16.25,-1.52,51.21,-22.6,11.11,False,33.51,13.81,106.22,33.51,False,False,False,B,6.0
TER,303.0,1.2,34.67,9.82,79.39,True,344.92,151.52,13.83,344.92,False,False,False,B,6.0
CSTM,25.56,1.55,44.68,7.22,47.51,True,27.41,14.62,7.24,27.41,False,False,False,B,6.0
GLW,132.2,1.78,30.27,11.61,57.61,True,162.1,83.95,22.62,162.1,False,False,False,B,6.0
MSTR,145.9,-2.91,61.1,0.9,-45.81,False,190.2,118.4,30.36,190.2,False,False,True,B,5.0
TDW,74.02,-2.78,46.4,8.56,31.01,True,88.99,49.54,20.22,88.99,False,False,False,B,5.0
KTB,67.63,-2.34,54.07,4.12,-3.58,False,80.31,62.23,18.75,80.31,False,False,True,B,5.0
COIN,205.61,-2.2,64.77,3.48,-27.73,False,213.5,139.36,3.84,263.07,False,False,True,B,5.0
RDW,9.94,-1.88,62.56,-0.47,-4.71,False,10.4,7.53,4.63,14.55,False,False,False,B,5.0
ALB,163.61,-1.63,29.03,-4.3,47.66,True,206.0,156.04,25.91,206.0,False,False,False,B,5.0
SIVR,74.14,-1.49,37.07,-10.1,38.77,True,89.58,68.43,20.83,115.26,False,False,False,B,5.0
SLV,70.61,-1.47,37.03,-10.09,38.72,True,85.27,65.14,20.76,109.83,False,False,False,B,5.0
HBM,20.98,-1.08,18.07,-13.52,28.99,True,28.53,14.34,35.99,28.74,False,False,False,B,5.0
XLU,47.17,0.08,47.22,5.39,8.75,True,47.8,41.74,1.34,47.8,False,True,False,B,5.0
KALU,121.0,1.21,32.49,-6.35,24.87,True,150.0,118.83,23.97,150.0,False,False,False,B,5.0
HAFN,6.85,2.54,35.78,5.12,15.19,True,7.95,5.17,16.13,7.95,False,False,False,B,5.0
HUT,50.0,-3.46,44.48,-9.14,31.32,True,61.82,43.81,23.64,66.07,False,False,False,B,4.0
ETHA,16.95,-3.36,61.68,-7.97,-31.12,False,25.75,13.62,51.92,25.75,False,False,False,B,4.0
ETHE,18.27,-3.33,61.49,-8.2,-31.75,False,27.84,14.71,52.38,27.84,False,False,False,B,4.0
FETH,22.37,-3.33,61.56,-8.01,-31.14,False,33.98,17.98,51.9,33.98,False,False,False,B,4.0
ETH,21.28,-3.23,61.75,-7.73,-30.64,False,32.19,17.07,51.27,32.19,False,False,False,B,4.0
IBIT,41.04,-2.91,60.83,-6.67,-27.44,False,55.6,35.6,35.48,55.6,False,False,False,B,4.0
FBTC,63.08,-2.86,60.69,-6.62,-27.4,False,85.39,54.69,35.37,85.39,False,False,False,B,4.0
GBTC,56.42,-2.86,60.69,-6.74,-27.78,False,76.5,48.95,35.59,76.5,False,False,False,B,4.0
TETH,11.28,-2.84,61.71,-7.38,-30.6,False,16.99,9.02,50.62,16.99,False,False,False,B,4.0
ARKB,24.07,-2.75,60.73,-6.5,-27.28,False,32.53,20.84,35.13,32.53,False,False,False,B,4.0
BITB,39.43,-2.67,60.8,-6.4,-27.22,False,53.24,34.11,35.02,53.24,False,False,False,B,4.0
ETHV,33.05,-2.62,61.39,-7.34,-30.63,False,49.82,26.43,50.74,49.82,False,False,False,B,4.0
BOIL,17.14,-2.61,53.57,-16.42,-45.75,False,41.25,15.55,140.67,41.25,False,False,False,B,4.0
EZET,17.14,-2.61,61.66,-7.34,-30.62,False,25.84,13.68,50.76,25.84,False,False,False,B,4.0
ETHW,16.2,-2.53,61.73,-7.2,-30.53,False,24.39,12.91,50.56,24.39,False,False,False,B,4.0
AEM,204.19,-2.51,28.25,-3.97,24.15,True,255.24,187.04,25.0,255.24,False,False,True,B,4.0
LOGI,90.28,-2.49,57.25,-2.06,-10.36,False,120.88,88.25,33.89,107.74,False,False,False,B,4.0
GLDM,96.7,-2.28,41.22,-1.32,20.69,True,105.99,91.0,9.61,109.74,False,False,True,B,4.0
GLD,449.08,-2.22,41.16,-1.31,20.61,True,492.15,442.04,9.59,509.7,False,False,True,B,4.0
IAU,92.02,-2.18,41.07,-1.26,20.7,True,100.81,86.54,9.55,104.4,False,False,True,B,4.0
BTCT,1.35,-2.17,56.52,-2.41,-40.93,False,1.5,1.12,11.11,1.9,False,False,False,B,4.0
BTDR,9.06,-2.05,56.86,-16.88,-34.07,False,16.25,9.65,79.3,16.25,False,False,False,B,4.0
BITI,25.05,2.87,35.29,-1.0,18.6,True,30.34,20.64,21.12,30.93,False,False,True,B,4.0
NRGV,3.75,7.14,57.69,-11.47,28.42,False,6.35,2.85,69.33,6.35,False,False,False,B,4.0
HODL,12.22,-42.09,60.94,-44.29,-56.65,False,27.7,17.76,126.71,27.7,False,False,False,B,3.0
BITX,16.98,-6.03,59.73,-19.94,-60.24,False,34.42,13.13,102.71,34.42,False,False,False,B,3.0
UGL,67.8,-4.48,40.17,-4.77,33.93,True,81.9,61.04,20.8,90.4,False,False,False,B,3.0
CIFR,14.85,-1.59,41.59,-8.16,17.97,False,19.7,12.64,32.63,19.7,False,False,False,B,3.0
TNA,45.18,-1.59,31.08,-14.51,2.3,False,57.99,49.72,28.35,60.44,False,False,False,B,3.0
CURE,98.6,1.21,28.13,-12.14,4.43,False,120.49,106.96,22.2,123.8,False,False,False,B,3.0
PILL,10.72,1.71,26.92,-11.51,18.61,False,13.67,11.22,27.52,13.67,False,False,False,B,3.0
DRN,10.1,3.27,36.74,5.48,7.26,False,10.81,8.51,7.03,10.81,False,False,False,B,3.0
GLL,18.95,4.52,58.82,-1.51,-40.37,False,22.0,15.87,16.09,26.27,False,False,False,B,3.0
CLSK,9.92,-1.88,46.85,-9.42,-18.79,False,11.06,8.26,11.49,14.44,False,False,False,B,2.0
AIBU,39.29,-1.71,42.41,-12.45,-18.38,False,52.47,36.87,33.54,52.47,False,False,False,B,2.0
BESS,2.68,-1.65,27.11,-62.65,-64.27,False,10.17,2.22,279.48,12.0,False,False,False,B,2.0
RIOT,14.45,-1.57,34.75,-7.97,-3.23,False,17.41,11.81,20.47,19.39,False,False,False,B,2.0
HOOD,76.26,-1.41,49.74,-15.91,-29.24,False,84.75,69.22,11.13,124.55,False,False,False,B,2.0
SATL,2.98,-1.32,43.36,-14.15,-2.86,False,5.93,2.73,98.99,5.93,False,False,False,B,2.0
SCO,8.24,-1.2,5.71,-45.41,-52.12,False,20.46,17.56,148.3,20.58,False,False,False,B,2.0
ACM,91.0,1.27,39.64,-5.36,-19.1,False,109.0,87.56,19.78,109.0,False,False,False,B,2.0
HTOO,2.96,1.37,32.37,-18.5,-38.18,False,3.71,3.15,25.41,5.08,False,False,False,B,2.0
NRG,156.92,1.4,19.33,-1.07,-1.65,False,189.96,140.49,21.06,189.96,False,False,False,B,2.0
PNR,90.75,1.56,12.0,-9.3,-13.01,False,104.19,92.92,14.81,109.09,False,False,False,B,2.0
TROW,89.77,1.56,25.43,-8.77,-11.69,False,109.46,91.7,21.93,109.46,False,False,False,B,2.0
CRCT,4.21,1.94,39.81,-5.55,-20.98,False,4.76,4.19,13.06,5.34,False,False,False,B,2.0
NUGT,190.0,-6.17,24.41,-23.14,23.73,False,320.79,203.64,68.84,320.79,False,False,False,B,1.0
LULU,155.5,-2.37,16.4,-15.03,-20.8,False,192.49,168.39,23.79,225.98,False,False,False,B,1.0
AGMH,1.3,2.36,32.56,-19.25,-55.12,False,2.22,1.3,70.77,2.68,False,False,False,B,1.0
AGIG,1.83,2.81,26.89,-35.51,-69.19,False,5.31,2.61,190.16,5.31,False,False,False,B,1.0
KOLD,21.13,3.02,41.57,-16.27,-28.42,False,24.69,13.44,16.85,49.47,False,False,False,B,1.0
CREG,0.99,-16.1,43.14,-20.83,-42.73,False,1.35,1.08,36.36,2.66,False,False,False,B,0.0
BNRG,0.57,-5.0,21.83,-74.92,-94.36,False,4.34,3.15,661.4,6.53,False,False,False,B,0.0
SPIR,11.17,3.04,71.43,7.57,9.36,False,13.69,8.3,22.56,13.69,False,False,False,B,0.0
EBON,2.43,4.29,44.64,-14.51,-35.24,False,2.85,2.31,17.28,3.65,False,False,False,B,0.0
DUST,55.05,6.32,74.78,11.25,-57.72,False,60.1,34.6,9.17,79.1,False,False,False,B,-2.0
AA,65.02,-0.61,51.13,5.23,55.74,True,68.4,55.04,5.2,68.4,False,False,False,C,9.0
NOC,720.91,-0.43,56.73,3.98,21.12,True,774.0,543.66,7.36,774.0,False,False,False,C,9.0
RTX,202.95,-0.19,57.66,1.56,18.63,True,214.5,192.62,5.69,214.5,False,False,False,C,9.0
TGT,116.62,-0.12,50.77,3.93,16.98,True,126.0,111.11,8.04,126.0,False,False,False,C,9.0
MGM,36.86,-0.0,55.96,4.18,5.03,True,39.25,32.14,6.48,39.25,False,False,False,C,9.0
DDD,2.3,0.0,58.65,1.36,5.2,True,2.89,1.88,25.65,2.89,False,False,True,C,9.0
ROST,209.22,0.01,58.88,6.27,28.1,True,216.8,194.07,3.62,216.8,False,False,False,C,9.0
CME,313.5,0.05,55.17,5.66,12.64,True,329.16,262.19,5.0,329.16,False,False,False,C,9.0
CINF,165.14,0.22,52.25,0.92,4.76,True,170.1,155.14,3.0,174.27,False,False,True,C,9.0
IDYA,34.41,0.41,61.36,1.62,19.26,True,35.68,29.47,3.69,39.28,False,False,True,C,9.0
CWEN,40.23,0.63,61.78,8.4,21.64,True,41.51,36.48,3.18,41.51,False,False,False,C,9.0
CNR,99.67,0.9,64.92,7.42,21.29,True,103.5,81.83,3.84,103.5,False,False,False,C,9.0
PL,26.88,-0.74,59.55,9.01,93.76,True,27.57,19.98,2.56,30.9,False,False,False,C,8.0
ELLO,25.5,0.0,56.85,-4.29,23.25,True,30.34,23.41,18.98,30.34,False,False,True,C,8.0
ANET,133.11,0.03,50.17,-1.24,2.78,True,151.8,122.37,14.04,151.8,False,False,True,C,8.0
GD,356.78,0.14,62.93,0.15,8.04,True,366.75,337.32,2.79,369.7,False,False,True,C,8.0
MU,463.65,0.42,57.44,17.7,104.67,True,455.5,221.69,-1.76,462.73,True,True,False,C,8.0
COST,990.8,-0.54,50.52,1.53,4.25,False,1028.44,960.46,3.8,1028.44,False,False,False,C,7.0
FAST,45.93,-0.0,59.48,2.2,3.43,False,48.42,44.51,5.42,48.45,False,False,False,C,7.0
APD,287.0,0.3,57.09,4.75,5.18,False,296.46,268.12,3.3,296.82,False,False,False,C,7.0
SBUX,96.42,-1.18,48.23,1.02,7.79,True,104.82,93.55,8.71,104.82,False,False,True,C,6.0
ABNB,131.0,-0.72,49.88,0.58,1.89,True,139.0,115.53,6.11,141.4,False,False,True,C,6.0
JBL,261.02,-0.51,39.01,4.55,17.82,True,281.37,227.29,7.8,281.37,False,False,False,C,6.0
ATO,186.22,-0.41,64.2,6.05,10.95,True,180.65,163.57,-2.99,190.13,False,True,False,C,6.0
WMT,124.67,-0.33,48.24,1.26,15.71,True,134.69,115.48,8.04,134.69,False,False,True,C,6.0
RIVN,15.78,-0.25,54.99,-1.64,5.65,False,18.48,14.55,17.11,22.69,False,False,False,C,6.0
KO,77.39,-0.24,31.31,2.14,8.92,True,82.0,76.35,5.96,82.0,False,False,False,C,6.0
KLAC,1479.0,-0.16,43.95,1.15,30.33,True,1577.35,1285.04,6.65,1693.35,False,False,True,C,6.0
AMAT,352.0,-0.13,34.65,5.13,47.98,True,395.95,287.49,12.49,395.95,False,False,False,C,6.0
CB,330.5,-0.11,45.32,3.17,12.58,True,345.67,296.06,4.59,345.67,False,False,False,C,6.0
SQM,77.06,-0.06,45.82,1.38,43.28,True,81.67,65.65,5.98,86.13,False,False,True,C,6.0
VSAT,50.15,-0.06,57.02,12.54,59.15,True,50.24,36.71,0.18,50.7,False,True,False,C,6.0
HSY,217.65,-0.03,32.67,3.09,15.84,True,239.48,188.79,10.03,239.48,False,False,False,C,6.0
LMT,636.25,-0.01,45.41,3.03,26.05,True,692.0,437.25,8.76,692.0,False,False,False,C,6.0
HWM,240.24,-0.0,30.13,2.93,20.29,True,267.31,204.55,11.27,267.31,False,False,False,C,6.0
SYY,84.29,-0.0,28.62,1.0,6.71,True,91.85,71.23,8.97,91.85,False,False,False,C,6.0
TR,42.27,-0.0,60.94,9.08,12.5,True,39.05,33.91,-7.62,43.4,False,True,False,C,6.0
IYR,98.37,0.0,35.84,0.58,2.28,True,101.8,94.41,3.49,101.8,False,False,True,C,6.0
RLX,2.36,0.0,46.0,1.51,0.56,True,2.46,2.23,4.24,2.46,False,False,True,C,6.0
FRT,106.82,0.0,45.09,2.05,7.74,True,110.89,99.29,3.81,110.89,False,False,True,C,6.0
FLEX,65.39,0.0,49.26,2.59,13.2,True,67.71,55.16,3.55,67.93,False,False,False,C,6.0
TECS,18.4,0.0,56.77,3.61,-12.35,False,20.32,15.31,10.43,20.69,False,False,True,C,6.0
LRCX,226.5,0.01,39.3,0.89,50.81,True,256.68,204.57,13.32,256.68,False,False,False,C,6.0
O,64.1,0.02,36.51,1.75,8.27,True,67.94,55.86,5.99,67.94,False,False,False,C,6.0
PWR,572.0,0.06,53.94,12.72,32.4,True,473.99,451.17,-17.13,578.4,False,True,False,C,6.0
BE,160.16,0.07,43.85,7.9,81.29,True,180.9,131.0,12.95,180.9,False,False,False,C,6.0
CAT,702.5,0.07,33.06,1.3,32.84,True,789.81,557.46,12.43,789.81,False,False,False,C,6.0
EXPD,143.27,0.08,54.02,-6.81,7.97,False,167.19,129.59,16.7,167.19,False,False,False,C,6.0
NEE,92.64,0.12,37.94,4.59,15.87,True,95.91,78.36,3.53,95.91,False,False,False,C,6.0
ETN,364.5,0.15,43.63,2.51,2.6,True,408.45,315.76,12.06,408.45,False,False,True,C,6.0
MCD,326.86,0.17,40.41,1.93,5.95,True,341.75,321.32,4.56,341.75,False,False,True,C,6.0
NVDD,39.03,0.21,61.27,1.4,-5.23,False,40.59,36.02,4.0,41.96,False,False,True,C,6.0
GEV,846.17,0.25,43.42,10.78,33.3,True,894.93,617.11,5.76,894.93,False,False,False,C,6.0
^VIX,22.72,0.35,56.86,16.62,28.9,False,23.1,13.38,1.67,35.3,False,False,False,C,6.0
DE,576.33,0.36,24.77,2.0,13.99,True,674.19,458.92,16.98,674.19,False,False,True,C,6.0
JNJ,239.0,0.37,37.72,2.9,23.61,True,251.71,235.43,5.32,251.71,False,False,False,C,6.0
EME,731.47,0.4,29.45,0.54,14.71,True,835.0,564.92,14.15,835.0,False,False,True,C,6.0
OIH,387.24,0.42,40.84,7.49,35.75,True,406.12,280.19,4.88,406.12,False,False,False,C,6.0
TTE,86.4,0.42,69.98,16.78,32.49,True,66.92,62.16,-22.55,86.1,True,True,False,C,6.0
BEPC,41.21,0.49,36.23,0.48,9.6,True,45.18,38.7,9.63,45.18,False,False,True,C,6.0
BEP,31.39,0.64,41.12,4.96,13.71,True,32.78,29.25,4.43,32.78,False,False,False,C,6.0
SQQQ,72.63,0.67,59.22,5.08,-9.37,False,75.19,61.72,3.52,76.61,False,False,False,C,6.0
VRT,270.26,0.69,53.5,25.3,63.57,True,189.66,158.77,-29.82,276.78,False,True,False,C,6.0
LABD,18.97,0.74,58.31,1.22,-52.41,False,20.5,16.16,8.07,23.02,False,False,False,C,6.0
ES,73.09,0.9,36.0,2.7,6.96,True,76.41,66.6,4.54,76.41,False,False,False,C,6.0
AXIA,11.22,0.99,37.92,3.71,18.35,True,12.31,8.78,9.71,12.31,False,False,False,C,6.0
MARA,9.07,-1.84,56.15,-0.88,-35.43,False,11.57,6.66,27.56,11.57,False,False,True,C,5.0
TGB,6.63,-0.9,29.35,-12.19,37.88,True,8.91,3.93,34.39,9.25,False,False,False,C,5.0
FCX,57.6,-0.84,24.89,-6.44,20.61,True,69.75,58.23,21.09,69.75,False,False,True,C,5.0
EZBC,42.81,-0.74,60.75,-4.55,-25.78,False,56.59,36.31,32.19,56.59,False,False,False,C,5.0
ASML,1379.38,-0.7,35.95,-0.07,35.58,True,1547.22,1010.01,12.17,1547.22,False,False,False,C,5.0
SCCO,175.8,-0.69,26.46,-7.58,32.47,True,223.89,181.6,27.35,223.89,False,False,True,C,5.0
AMZN,213.75,-0.67,56.0,-4.02,-4.91,False,220.47,196.0,3.14,248.94,False,False,False,C,5.0
BULZ,21.5,-0.56,50.49,-8.86,-5.92,False,29.07,18.5,35.19,29.07,False,False,False,C,5.0
BKNG,4420.0,-0.5,61.06,-5.06,-14.98,False,4634.09,3765.45,4.84,5518.84,False,False,False,C,5.0
BRRR,20.96,-0.38,60.76,-4.25,-25.54,False,27.66,17.73,31.97,27.66,False,False,False,C,5.0
UBER,77.51,-0.36,64.14,-0.22,-11.58,False,88.24,69.02,13.84,88.24,False,False,True,C,5.0
DUSL,80.0,-0.36,29.33,-6.94,7.09,True,100.94,64.94,26.18,100.94,False,False,False,C,5.0
PEP,156.0,-0.32,22.73,-0.48,6.62,True,171.48,156.09,9.92,171.48,False,False,True,C,5.0
SPGI,432.0,-0.22,56.25,-8.55,-14.32,False,452.69,381.61,4.79,552.25,False,False,False,C,5.0
GWW,1063.99,-0.14,34.67,-3.35,3.97,True,1174.21,996.28,10.36,1218.63,False,False,False,C,5.0
TMV,36.66,-0.11,65.92,2.04,0.54,False,38.16,33.0,4.09,38.16,False,False,False,C,5.0
QETH,23.11,-0.04,61.6,-4.86,-28.78,False,33.92,17.99,46.78,33.92,False,False,False,C,5.0
ROP,352.89,-0.0,57.87,-4.95,-25.46,False,369.27,313.07,4.64,454.81,False,False,False,C,5.0
TJX,155.38,-0.0,48.91,-0.14,8.93,True,162.68,145.83,4.7,162.68,False,False,True,C,5.0
SLB,46.13,-0.0,25.33,-4.7,19.33,True,52.45,34.65,13.7,52.45,False,False,True,C,5.0
CAH,216.36,-0.0,37.11,-0.23,19.08,True,233.6,205.87,7.97,233.6,False,False,True,C,5.0
IH,1.82,0.0,55.16,-2.6,-26.02,False,2.24,1.67,23.08,2.34,False,False,False,C,5.0
IYM,174.56,0.0,22.0,-1.02,13.71,True,189.81,139.08,8.74,189.81,False,False,True,C,5.0
UYM,28.64,0.0,15.71,-5.12,11.93,True,34.54,21.34,20.6,34.54,False,False,True,C,5.0
HPQ,18.75,0.0,57.38,-3.86,-22.72,False,19.58,17.56,4.43,24.11,False,False,False,C,5.0
NDSN,271.0,0.0,23.62,-2.51,13.4,True,305.28,223.29,12.65,305.28,False,False,True,C,5.0
SOXX,340.25,0.0,35.92,-1.0,19.27,True,368.82,323.33,8.4,368.82,False,False,False,C,5.0
^TNX,4.2,0.0,68.71,0.88,0.18,False,4.31,3.96,2.64,4.31,False,True,True,C,5.0
SMH,396.9,0.01,36.12,-0.72,18.05,True,427.94,374.24,7.82,427.94,False,False,True,C,5.0
VIK,72.8,0.01,39.4,-0.9,14.92,True,81.47,67.74,11.92,81.47,False,False,True,C,5.0
XLB,49.53,0.02,16.48,-2.04,7.49,True,54.14,42.03,9.31,54.14,False,False,True,C,5.0
TSM,346.09,0.03,29.83,-0.13,22.47,True,390.21,319.07,12.75,390.21,False,False,False,C,5.0
SOXL,54.97,0.04,32.76,-7.86,38.65,True,72.36,49.33,31.64,72.36,False,False,True,C,5.0
DOV,213.98,0.07,35.01,-0.39,13.11,True,237.54,197.97,11.01,237.54,False,False,True,C,5.0
SOXS,38.1,0.08,59.3,-4.21,-61.24,False,47.4,31.4,24.41,71.0,False,False,False,C,5.0
ITW,268.01,0.1,16.95,-2.45,3.56,True,303.16,244.55,13.12,303.16,False,False,True,C,5.0
ON,61.06,0.13,29.01,-3.71,11.48,True,73.76,57.59,20.8,73.76,False,False,False,C,5.0
MAR,328.01,0.22,36.59,-0.7,13.42,True,370.0,311.57,12.8,370.0,False,False,True,C,5.0
CHRW,172.23,0.3,45.66,-5.06,22.2,True,194.54,149.36,12.95,203.34,False,False,True,C,5.0
DFEN,77.71,0.31,38.94,-6.7,18.33,True,97.75,70.76,25.79,97.75,False,False,True,C,5.0
MRVL,91.15,0.4,62.61,10.94,14.06,True,85.47,75.24,-6.23,95.05,False,False,False,C,5.0
TXN,195.3,0.44,25.15,-4.84,2.62,True,231.32,173.44,18.44,231.32,False,False,False,C,5.0
QID,21.12,0.48,59.53,3.7,-5.11,False,21.54,18.87,1.99,21.87,False,False,False,C,5.0
