symbol,is_2x,status,break_level,breakout_date,vol_confirmed,hold_confirmed,last_close
471760.KS,False,ENTRY_READY,19095.0,2026-02-27,True,True,20310.0
471990.KS,False,ENTRY_READY,24665.0,2026-02-27,True,True,25550.0
BATL,False,ENTRY_READY,13.61,2026-03-03,True,True,18.57
BNO,False,ENTRY_READY,37.87,2026-03-03,True,True,38.9
USO,False,ENTRY_READY,88.64,2026-03-03,True,True,91.56
ZD,False,ENTRY_READY,41.07,2026-03-03,True,True,42.98
UCO,True,ENTRY_READY,28.52,2026-03-03,True,True,29.14
091160.KS,False,BREAKOUT(vol_ok)_WAIT_HOLD,105185.0,2026-02-27,True,False,100585.0
396500.KS,False,BREAKOUT(vol_ok)_WAIT_HOLD,35335.0,2026-02-27,True,False,34140.0
469150.KS,False,BREAKOUT(vol_ok)_WAIT_HOLD,48250.0,2026-02-27,True,False,47240.0
488080.KS,False,BREAKOUT(vol_ok)_WAIT_HOLD,51095.0,2026-02-27,True,False,45920.0
494310.KS,False,BREAKOUT(vol_ok)_WAIT_HOLD,80770.0,2026-02-27,True,False,72400.0
PARR,False,BREAKOUT(vol_ok)_WAIT_HOLD,47.76,2026-03-04,True,False,49.68
TTE,False,BREAKOUT(vol_ok)_WAIT_HOLD,80.36,2026-03-02,True,False,76.92
000660.KS,False,BREAKOUT_WAIT_VOL,1038000.0,2026-02-26,False,True,941000.0
005930.KS,False,BREAKOUT_WAIT_VOL,206000.0,2026-02-26,False,True,191600.0
009150.KS,False,BREAKOUT_WAIT_VOL,449000.0,2026-02-25,False,True,401500.0
091230.KS,False,BREAKOUT_WAIT_VOL,110165.0,2026-02-27,False,False,105905.0
267770.KS,False,BREAKOUT_WAIT_VOL,80600.0,2026-02-26,False,True,64245.0
395160.KS,False,BREAKOUT_WAIT_VOL,29020.0,2026-02-27,False,False,28130.0
GLNG,False,BREAKOUT_WAIT_VOL,44.69,2026-02-19,False,True,46.65
233160.KS,False,NO_BREAKOUT,,,False,False,18500.0
233740.KS,False,NO_BREAKOUT,,,False,False,16725.0
KTB,False,NO_BREAKOUT,,,False,False,78.05
RCAT,False,NO_BREAKOUT,,,False,False,14.73
SRRK,False,NO_BREAKOUT,,,False,False,47.43
