ticker,name,bucket,score,change,perf_week,perf_month
069500.KS,KODEX 200,broad,,4.999749762274153,7.040816326530619,34.16037856503389
102110.KS,TIGER 200,broad,,4.921476442932882,7.0033154807447096,34.001916320664314
122630.KS,KODEX Leverage,broad,,9.961022087483752,15.183958626321292,78.56389338209438
252670.KS,KODEX 200 Inverse 2X,broad,,-9.467455621301779,-13.559322033898303,-47.05882352941176
233740.KS,KODEX KOSDAQ150 Leverage,broad,,3.1597953656334665,-1.0392609699769073,23.353724361281024
251340.KS,KODEX KOSDAQ150 Futures Inverse,broad,,-1.7526289434151243,0.20429009193054792,-11.22171945701358
494310.KS,KODEX Semiconductor Leverage,semiconductor,0.9850000000000001,9.583519928347517,17.681949342738058,102.41727941176472
488080.KS,TIGER Semiconductor TOP10 Leverage,semiconductor,0.9650000000000001,8.80571909167367,20.422600763287726,95.06936067551266
395270.KS,HANARO K-Semiconductor,semiconductor,0.8850000000000001,6.281925877621997,10.409845320085797,56.31393861892584
266370.KS,KODEX IT,it,0.8350000000000001,5.375083724045537,9.634146341463424,51.183183183183175
469150.KS,ACE AI Semiconductor TOP3+,semiconductor,0.8300000000000001,4.982935153583612,11.449275362318833,47.38859607091519
091160.KS,KODEX Semiconductor,semiconductor,0.735,4.767864352038753,8.495338433881017,44.00421730203652
396500.KS,TIGER Semiconductor TOP10,semiconductor,0.68,4.312601271344874,9.498887871254746,41.34436750548893
091230.KS,TIGER Semiconductor,semiconductor,0.655,4.6891871047354705,7.8371400198609775,43.37470293108001
005930.KS,Samsung Electronics,bellwether,,4.53514739229024,5.011389521640086,29.20403587443947
000660.KS,SK hynix,bellwether,,11.819595645412129,17.675941080196388,73.25301204819277
012450.KS,Hanwha Aerospace,bellwether,,2.8934368383909614,-0.34176349965823194,2.8934368383909614
042660.KS,Hanwha Ocean,bellwether,,0.6069802731411222,-1.7049666419570064,11.14836546521374
034020.KS,Doosan Enerbility,bellwether,,-0.07867820613689513,-0.07867820613689513,35.68376068376069
329180.KS,HD Hyundai Heavy Industries,bellwether,,-1.3138686131386912,0.7451564828613977,53.98633257403189
035420.KS,NAVER,bellwether,,-1.1848341232227444,-2.5700934579439227,6.486210418794691
015760.KS,KEPCO,bellwether,,2.296211251435132,-3.57142857142857,8.000000000000007
