ticker,price,gap_pct,rsi14,px_vs_sma50,px_vs_sma200,weekly_up,weekly_r1,weekly_s1,room_to_weekly_r1_pct,daily_break_level,daily_breakout,daily_retest,in_daily_box_middle,grade,score
091160.KS,105100.0,0.0,56.12,23.55,91.62,True,107800.0,54185.0,2.57,107800.0,False,True,False,A,9.0
091230.KS,110240.0,0.0,56.22,23.34,91.98,True,112900.0,56870.0,2.41,112900.0,False,True,False,A,9.0
009150.KS,464000.0,0.0,49.81,38.52,109.16,True,474000.0,266000.0,2.16,474000.0,False,True,False,A,6.0
381180.KS,30815.0,0.0,47.23,2.03,25.03,True,31620.0,28670.0,2.61,31620.0,False,True,False,A,6.0
222800.KQ,57400.0,-3.69,56.64,9.88,41.74,True,65700.0,42500.0,14.46,65700.0,False,False,False,B,8.0
390390.KS,40670.0,0.0,48.43,2.54,25.5,True,41480.0,37270.0,1.99,41480.0,False,True,False,B,6.0
000250.KQ,784000.0,0.0,63.17,54.04,185.01,True,860000.0,198500.0,9.69,860000.0,False,False,False,C,9.0
000660.KS,1056000.0,0.0,52.25,23.08,112.26,True,1099000.0,525000.0,4.07,1099000.0,False,False,False,C,9.0
000720.KS,170100.0,0.0,55.85,43.05,115.0,True,176900.0,98000.0,4.0,176900.0,False,False,False,C,9.0
005930.KS,208500.0,0.0,51.71,23.9,102.95,True,223000.0,94500.0,6.95,223000.0,False,False,False,C,9.0
005945.KS,26900.0,0.0,53.11,16.26,40.21,True,31000.0,19350.0,15.24,31000.0,False,False,False,C,9.0
007660.KS,125100.0,0.0,54.23,10.15,40.88,True,131200.0,103100.0,4.88,131200.0,False,False,False,C,9.0
010140.KS,29100.0,0.0,50.43,2.01,25.81,True,32000.0,26500.0,9.97,32000.0,False,False,False,C,9.0
012450.KS,1390000.0,0.0,60.96,10.14,38.08,True,1655000.0,1097000.0,19.06,1655000.0,False,False,False,C,9.0
039030.KQ,410500.0,0.0,55.8,13.23,60.05,True,469500.0,280000.0,14.37,469500.0,False,False,False,C,9.0
047810.KS,194300.0,0.0,54.77,16.21,68.15,True,215500.0,147100.0,10.91,215500.0,False,False,False,C,9.0
079550.KS,689000.0,0.0,64.85,23.89,36.79,True,899000.0,399500.0,30.48,899000.0,False,False,False,C,9.0
139220.KS,7875.0,0.0,50.79,25.0,61.58,True,8340.0,4525.0,5.9,8340.0,False,False,False,C,9.0
240810.KQ,124500.0,0.0,54.83,20.74,110.75,True,143000.0,55400.0,14.86,143000.0,False,False,False,C,9.0
266370.KS,47495.0,0.0,52.06,20.24,80.73,True,50175.0,25970.0,5.64,50175.0,False,False,False,C,9.0
272210.KS,139800.0,0.0,59.58,31.55,108.91,True,184000.0,44750.0,31.62,184000.0,False,False,False,C,9.0
357780.KS,440000.0,0.0,54.62,14.64,62.72,True,530000.0,366000.0,20.45,530000.0,False,False,False,C,9.0
395160.KS,29075.0,0.0,55.88,21.48,86.1,True,30065.0,15985.0,3.4,30065.0,False,False,False,C,9.0
395270.KS,36400.0,0.0,54.36,25.46,100.13,True,37585.0,18640.0,3.26,37585.0,False,False,False,C,9.0
396500.KS,35170.0,0.0,56.42,23.62,97.17,True,36570.0,17490.0,3.98,36570.0,False,False,False,C,9.0
469150.KS,49635.0,0.0,59.03,28.7,107.17,True,51290.0,23670.0,3.33,51290.0,False,False,False,C,9.0
471760.KS,20280.0,0.0,61.29,25.45,75.5,True,21025.0,12655.0,3.67,21025.0,False,False,False,C,9.0
488080.KS,48235.0,0.0,54.72,41.37,202.64,True,54885.0,13605.0,13.79,54885.0,False,False,False,C,9.0
489790.KS,83900.0,0.0,55.65,32.52,53.46,True,94400.0,35650.0,12.51,94400.0,False,False,False,C,9.0
494310.KS,76905.0,0.0,54.75,40.72,189.3,True,84995.0,23285.0,10.52,84995.0,False,False,False,C,9.0
278470.KS,358000.0,-1.1,64.49,30.07,61.1,True,306500.0,210000.0,-14.39,355000.0,True,True,False,C,8.0
010120.KS,833000.0,0.0,57.81,34.45,102.45,True,824000.0,450000.0,-1.08,824000.0,True,True,False,C,8.0
034020.KS,107300.0,0.0,53.09,13.78,44.94,True,110200.0,85200.0,2.7,110700.0,False,False,False,C,8.0
403870.KQ,50000.0,0.0,61.97,22.49,56.49,True,48500.0,32200.0,-3.0,48800.0,True,True,False,C,8.0
471990.KS,26575.0,0.0,61.04,29.95,86.62,True,26550.0,16100.0,-0.09,26550.0,True,True,False,C,8.0
353200.KS,74800.0,0.0,59.54,32.79,105.9,True,69000.0,41550.0,-7.75,69900.0,True,False,False,C,7.0
006360.KS,25800.0,0.58,55.28,27.18,29.44,True,24300.0,18220.0,-5.81,24300.0,True,False,False,C,7.0
000270.KS,175100.0,0.0,40.85,10.68,46.74,True,212500.0,111000.0,21.36,212500.0,False,False,False,C,6.0
000815.KS,400000.0,0.0,39.32,3.08,13.19,True,472500.0,363000.0,18.12,472500.0,False,False,False,C,6.0
000880.KS,125600.0,0.0,41.36,6.87,33.13,True,148500.0,107000.0,18.23,148500.0,False,False,False,C,6.0
003490.KS,25500.0,0.0,36.68,5.47,9.26,True,29750.0,22400.0,16.67,29750.0,False,False,False,C,6.0
