ticker,price,gap_pct,rsi14,sma10,sma40,sma50,sma200,px_vs_sma10,px_vs_sma40,px_vs_sma50,px_vs_sma200,sma10_slope,sma40_slope,weekly_up,weekly_r1,weekly_s1,room_to_weekly_r1_pct,daily_break_level,daily_breakout,daily_retest,in_daily_box_middle,grade,score
CBOE,301.66,0.0,54.48,301.94,292.99,292.56,260.42,-0.09,2.96,3.11,15.83,UP,UP,True,309.87,272.15,2.72,309.87,False,True,False,A,9.0
RIO,99.09,0.2,51.55,99.35,93.55,94.52,77.58,-0.27,5.92,4.84,27.73,UP,UP,True,101.33,82.35,2.26,101.53,False,True,False,A,9.0
TTE,91.25,0.25,53.12,89.01,87.33,85.59,69.33,2.52,4.48,6.61,31.61,DN,UP,True,93.49,85.3,2.45,93.49,False,True,False,A,9.0
LNT,72.54,0.0,46.79,72.22,71.8,71.69,67.55,0.45,1.03,1.18,7.39,DN,UP,True,74.4,68.11,2.56,74.4,False,True,False,A,6.0
PNW,102.74,0.0,48.46,102.66,101.63,101.16,93.03,0.08,1.09,1.56,10.44,DN,UP,True,104.92,96.75,2.12,104.92,False,True,False,A,6.0
PPL,39.01,0.0,48.32,38.75,38.39,38.28,36.63,0.68,1.62,1.9,6.49,DN,UP,True,40.11,36.53,2.82,40.11,False,True,False,A,6.0
HUM,227.79,0.0,78.92,213.1,186.81,186.43,240.25,6.89,21.93,22.18,-5.19,UP,UP,False,285.61,163.11,25.39,228.94,False,True,False,A,1.0
ALL,216.07,0.0,55.9,215.36,210.21,210.1,205.05,0.33,2.79,2.84,5.37,UP,UP,True,219.48,201.61,1.58,219.48,False,True,False,B,9.0
AEP,135.23,0.0,51.78,133.95,132.43,132.17,119.52,0.95,2.12,2.32,13.14,DN,UP,True,137.74,125.08,1.86,137.74,False,True,False,B,9.0
CVS,80.34,0.0,55.04,77.5,75.79,76.17,75.31,3.67,6.0,5.47,6.68,UP,DN,True,81.69,69.51,1.68,81.69,False,True,False,B,9.0
TRV,308.25,0.0,60.15,302.49,299.78,300.7,283.27,1.9,2.83,2.51,8.82,UP,DN,True,313.12,284.66,1.58,313.12,False,True,False,B,9.0
WELL,211.08,0.0,58.57,209.0,204.91,205.79,186.19,1.0,3.01,2.57,13.37,UP,UP,True,214.99,192.66,1.85,216.43,False,True,False,B,9.0
PH,984.14,1.44,51.27,972.6,939.05,953.67,849.71,1.19,4.8,3.2,15.82,DN,DN,True,1029.0,858.72,4.56,1034.96,False,False,False,B,9.0
AFL,111.41,-3.79,62.3,114.68,110.91,111.4,109.28,-2.85,0.45,0.01,1.95,UP,UP,True,119.32,105.76,7.1,119.32,False,False,True,B,8.0
CHRD,133.39,-3.71,54.12,132.92,131.8,126.5,105.14,0.36,1.2,5.45,26.87,UP,UP,True,148.42,119.92,11.27,148.42,False,False,False,B,8.0
DRN,9.86,-3.46,59.56,10.53,9.63,9.81,9.39,-6.37,2.34,0.53,4.99,UP,DN,True,10.81,8.05,9.63,11.16,False,False,True,B,8.0
BATT,15.97,-3.3,62.74,16.73,15.41,15.51,13.55,-4.55,3.63,2.95,17.89,UP,UP,True,17.2,13.68,7.7,17.2,False,False,False,B,8.0
AAPL,261.62,-3.19,62.3,269.48,259.0,260.55,254.21,-2.92,1.01,0.41,2.91,UP,UP,True,280.91,245.51,7.37,280.91,False,False,True,B,8.0
DVN,47.42,-3.05,55.06,46.61,47.42,46.7,38.29,1.74,-0.0,1.54,23.83,UP,UP,True,52.71,41.92,11.16,52.71,False,False,False,B,8.0
VLO,232.97,-2.96,50.35,234.24,236.13,229.23,181.53,-0.54,-1.34,1.63,28.34,DN,UP,True,258.43,214.71,10.93,258.43,False,False,False,B,8.0
VIK,77.64,-2.95,54.72,81.83,75.24,75.73,67.1,-5.12,3.19,2.52,15.7,UP,UP,True,81.47,65.65,4.94,87.0,False,False,True,B,8.0
DOV,218.43,-2.46,58.52,221.01,213.95,217.14,194.02,-1.17,2.09,0.59,12.58,UP,DN,True,237.54,200.63,8.75,237.54,False,False,True,B,8.0
TRGP,239.93,-2.3,52.6,238.24,241.18,239.1,189.35,0.71,-0.52,0.35,26.71,UP,UP,True,253.87,173.57,5.81,253.87,False,False,False,B,8.0
HLT,323.3,-2.29,64.67,335.03,311.93,312.24,286.16,-3.5,3.64,3.54,12.98,UP,UP,True,344.75,289.52,6.63,344.75,False,False,True,B,8.0
MAR,354.35,-2.26,61.47,368.4,340.59,341.87,300.47,-3.81,4.04,3.65,17.93,UP,UP,True,370.0,311.2,4.42,380.0,False,False,True,B,8.0
SU,63.78,-2.18,52.51,63.38,62.65,61.35,47.76,0.63,1.8,3.96,33.54,UP,UP,True,67.76,59.27,6.24,67.76,False,False,False,B,8.0
FLR,49.1,-2.11,54.63,48.58,47.08,48.05,45.63,1.07,4.28,2.18,7.61,UP,DN,True,50.8,42.46,3.46,54.26,False,False,True,B,8.0
ROK,394.6,-2.02,58.54,406.65,379.6,383.78,375.15,-2.96,3.95,2.82,5.18,UP,DN,True,412.73,347.53,4.59,438.72,False,False,True,B,8.0
RMCF,2.31,-1.7,56.36,2.26,2.31,2.36,1.91,2.35,-0.22,-2.23,20.76,UP,DN,True,2.41,2.08,4.33,2.99,False,False,False,B,8.0
LIN,503.27,-1.22,58.25,501.56,495.36,495.9,461.19,0.34,1.6,1.49,9.12,UP,UP,True,510.65,471.14,1.47,513.94,False,True,False,B,8.0
FTV,61.62,0.0,63.93,60.82,57.46,57.61,53.01,1.31,7.24,6.97,16.24,UP,UP,True,62.42,53.48,1.3,62.42,False,True,False,B,8.0
NI,48.29,0.0,51.52,47.78,47.05,46.93,43.61,1.08,2.63,2.9,10.74,UP,UP,True,48.83,44.67,1.12,48.83,False,True,False,B,8.0
SPG,202.56,0.0,64.95,203.19,193.86,195.35,183.91,-0.31,4.49,3.69,10.14,UP,DN,True,205.12,177.88,1.26,208.28,False,True,False,B,8.0
CWEN-A,40.93,0.15,52.49,39.54,38.76,38.35,32.59,3.52,5.59,6.73,25.58,UP,UP,True,41.26,34.17,0.81,41.39,False,True,False,B,8.0
JCI,142.41,1.16,54.3,140.39,136.19,137.62,119.33,1.44,4.57,3.48,19.34,DN,DN,True,146.49,125.91,2.86,146.49,False,False,False,B,8.0
DUSL,87.69,2.07,51.42,87.21,82.4,85.26,77.02,0.55,6.41,2.84,13.85,DN,DN,True,91.72,66.37,4.6,100.94,False,False,False,B,8.0
UCO,39.91,-11.39,64.0,41.9,39.4,36.49,25.48,-4.75,1.3,9.36,56.6,UP,UP,True,44.25,35.22,10.87,45.53,False,False,False,B,7.0
IRDM,34.4,-9.59,58.67,40.37,31.2,29.65,22.7,-14.78,10.24,16.0,51.57,UP,UP,True,44.36,18.44,28.95,44.36,False,False,False,B,7.0
USO,125.7,-9.33,62.94,128.39,120.66,112.68,82.84,-2.1,4.18,11.56,51.75,UP,UP,True,143.98,110.35,14.54,143.98,False,False,False,B,7.0
ALB,177.69,-7.45,56.59,195.92,177.45,177.54,128.13,-9.31,0.14,0.09,38.67,UP,UP,True,215.71,154.69,21.4,215.71,False,False,False,B,7.0
LABU,175.27,-6.01,54.79,196.92,170.13,170.22,131.94,-10.99,3.02,2.97,32.85,UP,UP,True,212.45,133.96,21.21,212.45,False,False,True,B,7.0
PARR,59.93,-5.85,55.01,62.5,58.93,55.54,41.47,-4.11,1.7,7.9,44.5,UP,UP,True,67.39,54.0,12.45,67.39,False,False,False,B,7.0
TSM,375.03,-5.25,64.63,381.66,354.87,358.33,303.07,-1.74,5.68,4.66,23.74,UP,UP,True,390.21,313.8,4.05,414.5,False,False,True,B,7.0
