symbol,is_2x,status,break_level,breakout_date,vol_confirmed,hold_confirmed,last_close
BATL,False,ENTRY_READY,13.61,2026-03-03,True,True,18.57
BNO,False,ENTRY_READY,37.87,2026-03-03,True,True,38.9
USO,False,ENTRY_READY,88.64,2026-03-03,True,True,91.56
ZD,False,ENTRY_READY,41.07,2026-03-03,True,True,42.98
UCO,True,ENTRY_READY,28.52,2026-03-03,True,True,29.14
PARR,False,BREAKOUT(vol_ok)_WAIT_HOLD,47.76,2026-03-04,True,False,49.68
TTE,False,BREAKOUT(vol_ok)_WAIT_HOLD,80.36,2026-03-02,True,False,76.92
GLNG,False,BREAKOUT_WAIT_VOL,44.69,2026-02-19,False,True,46.65
KTB,False,NO_BREAKOUT,,,False,False,78.05
RCAT,False,NO_BREAKOUT,,,False,False,14.73
SRRK,False,NO_BREAKOUT,,,False,False,47.43
