symbol,is_2x,status,status_rank,pattern,pattern_score,break_level,breakout_date,vol_confirmed,hold_confirmed,last_close,diag_touches,diag_slope_low,diag_depth,diag_vol_ratio_10_60,diag_db_score
IYE,False,ENTRY_READY,0,DOUBLE_BOTTOM,8.0,59.29,2026-03-02,True,True,60.24,2,0.225524,0.2439,0.693,3.0
XLE,False,ENTRY_READY,0,DOUBLE_BOTTOM,8.0,56.15,2026-03-02,True,True,57.035,2,0.21791,0.2438,0.676,3.0
FANG,False,ENTRY_READY,0,DOUBLE_BOTTOM,6.0,177.25,2026-03-02,True,True,179.16,1,0.39006,0.2397,1.057,3.0
CNQ,False,ENTRY_READY,0,DOUBLE_BOTTOM,5.0,44.04,2026-03-02,True,True,44.07,1,0.195189,0.3429,0.544,3.0
DIG,True,ENTRY_READY,0,DOUBLE_BOTTOM,5.0,55.85,2026-03-02,True,True,57.72,2,0.374246,0.4218,0.679,3.0
ERX,True,ENTRY_READY,0,DOUBLE_BOTTOM,5.0,86.58,2026-03-02,True,True,89.43,2,0.580473,0.4229,0.673,3.0
APA,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,7.0,30.42,2026-03-02,True,False,32.05,2,0.071081,0.2901,0.979,3.0
SHEL,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,6.0,83.665,2026-03-02,True,False,82.71,1,0.162658,0.1883,0.919,3.0
XOP,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,6.0,154.0,2026-03-02,True,False,159.495,1,0.424384,0.235,0.935,3.0
BZ=F,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,5.5,82.11,2026-03-03,True,False,84.02,1,0.213812,0.2849,1.372,3.0
CL=F,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,5.5,75.33,2026-03-03,True,False,77.31,1,0.176855,0.2701,1.389,3.0
TTE,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,BASE,4.5,80.36,2026-03-02,True,False,79.43,1,0.28224,0.2439,0.757,0.0
EQNR,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,4.0,29.94,2026-03-02,True,False,31.79,1,0.13236,0.3168,1.175,3.0
LNG,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,BASE,4.0,236.63,2026-03-02,True,False,251.39,2,0.691847,0.2626,1.5,0.0
GUSH,True,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,3.0,31.9,2026-03-02,True,False,34.215,1,0.148927,0.4022,0.947,3.0
^VIX,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,BASE,0.5,25.24,2026-03-03,True,False,26.04,1,0.087564,0.4699,1.184,2.0
IYM,False,BREAKOUT_WAIT_VOL,2,DOUBLE_BOTTOM,8.0,188.81,2026-03-02,False,False,181.1,3,0.711312,0.234,1.171,3.0
MPC,False,BREAKOUT_WAIT_VOL,2,DOUBLE_BOTTOM,8.0,210.42,2026-03-03,False,False,211.0,3,0.421655,0.2304,1.052,3.0
COP,False,BREAKOUT_WAIT_VOL,2,DOUBLE_BOTTOM,7.0,119.3,2026-03-03,False,False,119.845,1,0.390213,0.2393,0.755,3.0
CVE,False,BREAKOUT_WAIT_VOL,2,DOUBLE_BOTTOM,6.0,22.57,2026-02-19,False,True,22.68,2,0.104459,0.3366,0.878,3.0
OIH,False,BREAKOUT_WAIT_VOL,2,DOUBLE_BOTTOM,6.0,400.44,2026-02-24,False,False,389.9,2,2.011366,0.3101,0.694,3.0
RB=F,False,BREAKOUT_WAIT_VOL,2,DOUBLE_BOTTOM,4.5,2.093,2026-03-02,False,False,2.47,2,0.00623,0.3326,1.72,3.0
AEM,False,BREAKOUT_WAIT_VOL,2,DOUBLE_BOTTOM,4.0,246.78,2026-02-27,False,True,234.51,1,1.237704,0.3724,1.036,3.0
UCO,True,BREAKOUT_WAIT_VOL,2,DOUBLE_BOTTOM,4.0,28.52,2026-03-03,False,False,30.32,1,0.116045,0.3647,1.193,3.0
VG,False,BREAKOUT_WAIT_VOL,2,BASE,0.0,11.92,2026-03-03,False,False,12.845,1,0.077656,0.5201,1.35,0.0
SLB,False,NO_SIGNAL,9,DOUBLE_BOTTOM,9.0,52.45,,False,False,50.305,6,0.281335,0.2867,0.658,3.0
PSX,False,NO_SIGNAL,9,DOUBLE_BOTTOM,8.0,163.79,,False,False,160.04,2,0.445173,0.2236,0.721,3.0
JETS,False,NO_SIGNAL,9,DOUBLE_BOTTOM,7.5,31.33,,False,False,26.66,4,0.018334,0.1551,1.324,3.0
HAL,False,NO_SIGNAL,9,DOUBLE_BOTTOM,7.0,37.03,,False,False,35.68,1,0.15207,0.2765,0.635,3.0
