symbol,is_2x,status,status_rank,pattern,pattern_score,break_level,breakout_date,vol_confirmed,hold_confirmed,last_close,diag_touches,diag_slope_low,diag_depth,diag_vol_ratio_10_60,diag_db_score
IYE,False,ENTRY_READY,0,DOUBLE_BOTTOM,8.0,59.29,2026-03-02,True,True,60.01,2,0.22518,0.2439,0.718,3.0
XLE,False,ENTRY_READY,0,DOUBLE_BOTTOM,8.0,56.15,2026-03-02,True,True,56.845,2,0.217615,0.2438,0.696,3.0
FANG,False,ENTRY_READY,0,DOUBLE_BOTTOM,6.0,177.25,2026-03-02,True,True,178.755,1,0.389929,0.2397,1.06,3.0
CNQ,False,ENTRY_READY,0,DOUBLE_BOTTOM,5.0,44.04,2026-03-02,True,True,44.09,1,0.195189,0.3429,0.54,3.0
DIG,True,ENTRY_READY,0,DOUBLE_BOTTOM,5.0,55.85,2026-03-02,True,True,57.185,2,0.37343,0.4218,0.707,3.0
ERX,True,ENTRY_READY,0,DOUBLE_BOTTOM,5.0,86.58,2026-03-02,True,True,88.62,2,0.57939,0.4229,0.699,3.0
APA,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,7.0,30.42,2026-03-02,True,False,31.87,2,0.070917,0.2901,0.986,3.0
COP,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,7.0,113.8,2026-03-02,True,False,118.887,1,0.389164,0.2393,0.756,3.0
SHEL,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,6.0,83.665,2026-03-02,True,False,82.41,1,0.162593,0.1883,0.952,3.0
XOP,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,6.0,154.0,2026-03-02,True,False,158.99,1,0.423827,0.235,0.947,3.0
BZ=F,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,5.5,82.11,2026-03-03,True,False,84.13,1,0.213812,0.2849,1.379,3.0
CL=F,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,5.5,75.33,2026-03-03,True,False,77.47,1,0.176855,0.2701,1.401,3.0
TTE,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,BASE,4.5,80.36,2026-03-02,True,False,79.222,1,0.281915,0.2439,0.794,0.0
EQNR,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,4.0,29.94,2026-03-02,True,False,31.63,1,0.132171,0.3168,1.197,3.0
LNG,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,BASE,4.0,236.63,2026-03-02,True,False,248.93,2,0.689913,0.2626,1.527,0.0
GUSH,True,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,3.0,31.9,2026-03-02,True,False,33.91,1,0.148566,0.4022,0.965,3.0
