import time: self [us] | cumulative | imported package
import time:       487 |       3011 |           email.feedparser
import time:       301 |       3312 |         email.parser
import time:       204 |        204 |           uu
import time:       379 |        379 |           email._encoded_words
import time:       300 |        300 |           email.iterators
import time:       471 |       1353 |         email.message
import time:      2517 |       2517 |           _ssl
import time:      1746 |       4263 |         ssl
import time:       814 |      10851 |       http.client
import time:       901 |      12819 |     urllib3.exceptions
import time:       259 |        259 |             urllib3.util.timeout
import time:      1436 |       1695 |           urllib3.util.connection
import time:       151 |        151 |             urllib3.util.util
import time:        59 |         59 |             brotlicffi
import time:        38 |         38 |             brotli
import time:        27 |         27 |             backports
import time:       413 |        686 |           urllib3.util.request
import time:       159 |        159 |           urllib3.util.response
import time:       324 |        324 |           urllib3.util.retry
import time:      3389 |       3389 |             urllib3.util.url
import time:       277 |        277 |             urllib3.util.ssltransport
import time:       302 |       3968 |           urllib3.util.ssl_
import time:       436 |        436 |           urllib3.util.wait
import time:       192 |       7456 |         urllib3.util
import time:        10 |       7465 |       urllib3.util.connection
import time:       405 |       7870 |     urllib3._base_connection
import time:       345 |        345 |     urllib3._collections
import time:       162 |        162 |     urllib3._version
import time:        29 |         29 |               _winapi
import time:        25 |         25 |               winreg
import time:       287 |        340 |             mimetypes
import time:       115 |        454 |           urllib3.fields
import time:       197 |        651 |         urllib3.filepost
import time:        27 |         27 |           brotlicffi
import time:        23 |         23 |           brotli
import time:       210 |        210 |                     importlib.metadata._functools
import time:       263 |        473 |                   importlib.metadata._text
import time:       282 |        754 |                 importlib.metadata._adapters
import time:       227 |        227 |                 importlib.metadata._meta
import time:       341 |        341 |                 importlib.metadata._collections
import time:       241 |        241 |                 importlib.metadata._itertools
import time:       481 |        481 |                 importlib.abc
import time:       777 |       2818 |               importlib.metadata
import time:       171 |       2989 |             urllib3.http2
import time:       245 |        245 |             urllib3.http2.probe
import time:       203 |        203 |             urllib3.util.ssl_match_hostname
import time:       389 |       3825 |           urllib3.connection
import time:        33 |         33 |           backports
import time:       449 |       4355 |         urllib3.response
import time:       127 |       5132 |       urllib3._request_methods
import time:       447 |        447 |       urllib3.util.proxy
import time:       430 |       6008 |     urllib3.connectionpool
import time:       525 |        525 |     urllib3.poolmanager
import time:       413 |      28140 |   urllib3
import time:       773 |        773 |           charset_normalizer.constant
import time:      1367 |       1367 |             charset_normalizer.md__mypyc
import time:      1422 |       1422 |               _multibytecodec
import time:       313 |       1734 |             charset_normalizer.utils
import time:      1574 |       4675 |           charset_normalizer.md
import time:       175 |        175 |           charset_normalizer.models
import time:       241 |       5862 |         charset_normalizer.cd
import time:       432 |       6293 |       charset_normalizer.api
import time:       151 |        151 |       charset_normalizer.legacy
import time:       145 |        145 |       charset_normalizer.version
import time:        29 |         29 |       simplejson
import time:       291 |        291 |             urllib.response
import time:       321 |        612 |           urllib.error
import time:      1505 |       1505 |           _scproxy
import time:       764 |       2880 |         urllib.request
import time:      1725 |       4605 |       http.cookiejar
import time:       763 |        763 |       http.cookies
import time:       520 |      12503 |     requests.compat
import time:       518 |      13021 |   requests.exceptions
import time:        31 |         31 |   chardet
import time:       477 |        477 |         idna.idnadata
import time:       247 |        247 |         idna.intranges
import time:       444 |       1167 |       idna.core
import time:       236 |        236 |       idna.package_data
import time:       296 |       1698 |     idna
import time:       460 |       2158 |   requests.packages
import time:       253 |        253 |               importlib._adapters
import time:       193 |        446 |             importlib._common
import time:       294 |        739 |           importlib.resources
import time:       224 |        963 |         certifi.core
import time:       247 |       1209 |       certifi
import time:       135 |       1344 |     requests.certs
import time:       131 |        131 |     requests.__version__
import time:       258 |        258 |     requests._internal_utils
import time:       994 |        994 |     requests.cookies
import time:       197 |        197 |     requests.structures
import time:       228 |        228 |     importlib.readers
import time:       372 |       3520 |   requests.utils
import time:       212 |        212 |         requests.auth
import time:       284 |        284 |             stringprep
import time:       332 |        615 |           encodings.idna
import time:       129 |        129 |           requests.hooks
import time:       239 |        239 |           requests.status_codes
import time:       203 |       1184 |         requests.models
import time:       168 |        168 |           urllib3.contrib
import time:       438 |        438 |           socks
import time:       387 |        992 |         urllib3.contrib.socks
import time:       309 |       2695 |       requests.adapters
import time:       240 |       2935 |     requests.sessions
import time:       152 |       3086 |   requests.api
import time:       339 |      50293 | requests
import time:      1138 |       1138 |           typing_extensions
import time:       390 |       1528 |         bs4._typing
import time:       612 |        612 |           soupsieve.__meta__
import time:       347 |        347 |             soupsieve.util
import time:       821 |        821 |                 soupsieve.pretty
import time:       364 |       1184 |               soupsieve.css_types
import time:       784 |       1967 |             soupsieve.css_match
import time:     10612 |      12925 |           soupsieve.css_parser
import time:       742 |      14278 |         soupsieve
import time:       204 |      16009 |       bs4.css
import time:       263 |        263 |       bs4._deprecation
import time:       829 |        829 |               html.entities
import time:       298 |       1126 |             html
import time:         8 |       1134 |           html.entities
import time:        35 |         35 |           cchardet
import time:        25 |         25 |           chardet
import time:      8740 |       9932 |         bs4.dammit
import time:       271 |      10202 |       bs4.formatter
import time:       290 |        290 |       bs4._warnings
import time:       354 |        354 |       bs4.filter
import time:       874 |      27990 |     bs4.element
import time:       186 |        186 |     bs4.exceptions
import time:       283 |        283 |         _markupbase
import time:      1056 |       1338 |       html.parser
import time:       412 |       1749 |     bs4.builder._htmlparser
import time:        80 |         80 |       html5lib
import time:       234 |        314 |     bs4.builder._html5lib
import time:       359 |        359 |       lxml
import time:      1693 |       1693 |         lxml._elementpath
import time:        36 |         36 |         rnc2rng
import time:      3456 |       5184 |       lxml.etree
import time:       304 |       5846 |     bs4.builder._lxml
import time:       548 |      36629 |   bs4.builder
import time:       691 |      37319 | bs4
import time:       498 |        498 |   yfinance.version
import time:       439 |        439 |       yfinance.const
import time:       212 |        212 |       yfinance.exceptions
import time:       166 |        166 |       yfinance.config
import time:       396 |       1212 |     yfinance.utils
import time:      1410 |       1410 |         _cffi_backend
import time:      2454 |       2454 |             curl_cffi._wrapper
import time:      3547 |       3547 |             curl_cffi.const
import time:        95 |         95 |             curl_cffi.utils
import time:      1016 |       7110 |           curl_cffi.curl
import time:      2508 |       9618 |         curl_cffi.__version__
import time:       210 |        210 |                 concurrent
import time:       426 |        426 |                 concurrent.futures._base
import time:       214 |        849 |               concurrent.futures
import time:       175 |        175 |               asyncio.constants
import time:       262 |        262 |                   asyncio.format_helpers
import time:       169 |        431 |                 asyncio.base_futures
import time:       240 |        240 |                 asyncio.log
import time:       210 |        880 |               asyncio.coroutines
import time:       321 |        321 |                   asyncio.exceptions
import time:       168 |        168 |                   asyncio.base_tasks
import time:      1468 |       1956 |                 _asyncio
import time:       418 |       2373 |               asyncio.events
import time:       210 |        210 |               asyncio.futures
import time:       174 |        174 |               asyncio.protocols
import time:       349 |        349 |                 asyncio.transports
import time:       282 |        630 |               asyncio.sslproto
import time:       164 |        164 |                   asyncio.mixins
import time:       372 |        372 |                   asyncio.tasks
import time:       364 |        898 |                 asyncio.locks
import time:       364 |       1261 |               asyncio.staggered
import time:       334 |        334 |               asyncio.trsock
import time:       918 |       7801 |             asyncio.base_events
import time:       273 |        273 |             asyncio.runners
import time:       228 |        228 |             asyncio.queues
import time:       376 |        376 |             asyncio.streams
import time:       202 |        202 |             asyncio.subprocess
import time:       349 |        349 |             asyncio.threads
import time:       233 |        233 |               asyncio.base_subprocess
import time:       315 |        315 |               asyncio.selector_events
import time:       387 |        934 |             asyncio.unix_events
import time:       395 |      10555 |           asyncio
import time:       263 |      10817 |         curl_cffi.aio
import time:       440 |        440 |               curl_cffi.requests.exceptions
import time:        73 |        513 |             curl_cffi.requests.errors
import time:       716 |       1228 |           curl_cffi.requests.cookies
import time:       301 |        301 |           curl_cffi.requests.headers
import time:       749 |        749 |           curl_cffi.requests.impersonate
import time:        39 |         39 |             orjson
import time:        25 |         25 |             markdownify
import time:       487 |        550 |           curl_cffi.requests.models
import time:       333 |        333 |             concurrent.futures.thread
import time:       174 |        174 |             curl_cffi.requests.utils
import time:       285 |        285 |             curl_cffi.requests.websockets
import time:        30 |         30 |             gevent
import time:        24 |         24 |               eventlet
import time:         6 |         30 |             eventlet.tpool
import time:       340 |       1189 |           curl_cffi.requests.session
import time:       345 |       4360 |         curl_cffi.requests
import time:       332 |      26535 |       curl_cffi
import time:      1791 |       1791 |         frozendict._frozendict
import time:       246 |        246 |         frozendict.cool
import time:        94 |         94 |         frozendict.monkeypatch
import time:        65 |         65 |         frozendict.version
import time:        29 |         29 |         orjson
import time:       345 |       2569 |       frozendict
import time:        68 |         68 |           pysqlite3
import time:        24 |         24 |           pysqlite2
import time:      2602 |       2602 |               _sqlite3
import time:       364 |       2966 |             sqlite3.dbapi2
import time:       428 |       3393 |           sqlite3
import time:        42 |         42 |           psycopg2cffi
import time:        26 |         26 |           psycopg2
import time:        23 |         23 |           psycopg
import time:        22 |         22 |           pymysql
import time:        25 |         25 |           MySQLdb
import time:      3309 |       6928 |         peewee
import time:       399 |        399 |           platformdirs.api
import time:       124 |        124 |           platformdirs.version
import time:       184 |        184 |           platformdirs.macos
import time:       413 |       1118 |         platformdirs
import time:       513 |       8558 |       yfinance.cache
import time:       258 |      37919 |     yfinance.data
import time:       214 |      39344 |   yfinance.search
import time:       288 |        288 |   yfinance.lookup
import time:       525 |        525 |               websockets.imports
import time:       194 |        194 |               websockets.version
import time:       266 |        985 |             websockets
import time:       627 |       1612 |           websockets.sync
import time:       251 |        251 |             websockets.datastructures
import time:        98 |         98 |                 websockets.typing
import time:      1547 |       1547 |                 websockets.speedups
import time:       362 |        362 |                   websockets.extensions.base
import time:       212 |        573 |                 websockets.extensions
import time:       659 |       2876 |               websockets.frames
import time:       682 |        682 |               websockets.http11
import time:       309 |       3866 |             websockets.exceptions
import time:       520 |        520 |             websockets.headers
import time:       159 |        159 |               websockets.streams
import time:       442 |        600 |             websockets.protocol
import time:       266 |        266 |             websockets.uri
import time:        81 |         81 |             websockets.utils
import time:       339 |       5920 |           websockets.client
import time:       216 |        216 |           websockets.extensions.permessage_deflate
import time:       239 |        239 |           websockets.proxy
import time:        76 |         76 |               websockets.sync.utils
import time:       210 |        286 |             websockets.sync.messages
import time:       318 |        603 |           websockets.sync.connection
import time:        36 |         36 |           python_socks
import time:       405 |       9028 |         websockets.sync.client
import time:       170 |        170 |           websockets.asyncio
import time:       230 |        230 |             websockets.asyncio.async_timeout
import time:       163 |        393 |           websockets.asyncio.compatibility
import time:       174 |        174 |             websockets.asyncio.messages
import time:       333 |        507 |           websockets.asyncio.connection
import time:        29 |         29 |           python_socks
import time:       347 |       1443 |         websockets.asyncio.client
import time:        39 |         39 |             google
import time:       392 |        430 |           google.protobuf
import time:       231 |        231 |             google.protobuf.internal
import time:        16 |         16 |               google.protobuf.internal._api_implementation
import time:       408 |        408 |               google.protobuf.message
import time:       152 |        152 |               google.protobuf.internal.enum_type_wrapper
import time:        15 |         15 |               google.protobuf.enable_deterministic_proto_serialization
import time:      2705 |       3294 |             google.protobuf.internal.api_implementation
import time:       694 |       4219 |           google.protobuf.descriptor
import time:       266 |        266 |             google.protobuf.descriptor_database
import time:       409 |        409 |             google.protobuf.text_encoding
import time:       174 |        174 |             google.protobuf.internal.python_edition_defaults
import time:       332 |        332 |                 encodings.raw_unicode_escape
import time:       302 |        302 |                 encodings.unicode_escape
import time:       849 |        849 |                   google.protobuf.internal.containers
import time:       223 |        223 |                     google.protobuf.internal.wire_format
import time:       146 |        369 |                   google.protobuf.internal.encoder
import time:       259 |       1475 |                 google.protobuf.internal.decoder
import time:       285 |        285 |                 google.protobuf.internal.type_checkers
import time:       208 |        208 |                 google.protobuf.unknown_fields
import time:       695 |       3294 |               google.protobuf.text_format
import time:       275 |        275 |               google.protobuf.internal.extension_dict
import time:       110 |        110 |               google.protobuf.internal.message_listener
import time:       218 |        218 |                 google.protobuf.internal.field_mask
import time:       237 |        455 |               google.protobuf.internal.well_known_types
import time:       741 |       4874 |             google.protobuf.internal.python_message
import time:       349 |       6071 |           google.protobuf.descriptor_pool
import time:        72 |         72 |               google.protobuf.pyext
import time:       230 |        230 |               google.protobuf.pyext.cpp_message
import time:       195 |        496 |             google.protobuf.message_factory
import time:       191 |        191 |             google.protobuf.symbol_database
import time:        87 |        773 |           google.protobuf.reflection
import time:       232 |      11724 |         yfinance.pricing_pb2
import time:       359 |        359 |         google.protobuf.json_format
import time:       226 |      22777 |       yfinance.live
import time:       168 |        168 |         yfinance.scrapers
import time:       333 |        333 |         yfinance.scrapers.quote
import time:       339 |        839 |       yfinance.scrapers.analysis
import time:       140 |        140 |       yfinance.scrapers.fundamentals
import time:       207 |        207 |       yfinance.scrapers.holders
import time:       196 |        196 |         yfinance.shared
import time:       675 |        870 |       yfinance.scrapers.history
import time:       212 |        212 |       yfinance.scrapers.funds
import time:       373 |      25415 |     yfinance.base
import time:       239 |      25653 |   yfinance.ticker
import time:       680 |        680 |       yfinance.screener.query
import time:       393 |        393 |       yfinance.screener.screener
import time:       157 |       1229 |     yfinance.screener
import time:       308 |       1537 |   yfinance.calendars
import time:       416 |        416 |             multiprocessing.process
import time:       338 |        338 |             multiprocessing.reduction
import time:       349 |       1102 |           multiprocessing.context
import time:       309 |       1411 |         multiprocessing
import time:       417 |       1827 |       multitasking
import time:       119 |       1946 |     yfinance.multi
import time:       232 |       2177 |   yfinance.tickers
import time:       112 |        112 |         yfinance.domain.domain
import time:       313 |        424 |       yfinance.domain.sector
import time:       122 |        122 |       yfinance.domain.industry
import time:       170 |        715 |     yfinance.domain
import time:         7 |        722 |   yfinance.domain.sector
import time:       127 |        127 |   yfinance.domain.market
import time:       309 |      70652 | yfinance
import time:       297 |        297 |         packaging
import time:       168 |        168 |         packaging._structures
import time:      1130 |       1594 |       packaging.version
import time:       360 |        360 |         matplotlib._api.deprecation
import time:       987 |       1347 |       matplotlib._api
import time:       363 |        363 |       matplotlib._version
import time:       298 |        298 |         shlex
import time:      2121 |       2121 |         matplotlib._c_internal_utils
import time:       522 |       2941 |       matplotlib.cbook
import time:       341 |        341 |       matplotlib._docstring
import time:       534 |        534 |           matplotlib.backends.registry
import time:       229 |        763 |         matplotlib.backends
import time:       613 |        613 |             PIL._version
import time:       397 |       1010 |           PIL
import time:      2729 |       2729 |             PIL.ExifTags
import time:       454 |        454 |             PIL.ImageMode
import time:      9746 |       9746 |             PIL.TiffTags
import time:       279 |        279 |             PIL._binary
import time:       176 |        176 |             PIL._deprecate
import time:       567 |        567 |             PIL._util
import time:        54 |         54 |             defusedxml
import time:      9856 |       9856 |             PIL._imaging
import time:      1057 |      24915 |           PIL.Image
import time:       240 |        240 |             PIL.ImageChops
import time:       546 |        546 |             PIL.ImageFile
import time:       313 |        313 |               PIL.GimpGradientFile
import time:       136 |        136 |               PIL.GimpPaletteFile
import time:       524 |        524 |               PIL.ImageColor
import time:       220 |        220 |               PIL.PaletteFile
import time:       299 |       1491 |             PIL.ImagePalette
import time:       184 |        184 |             PIL.ImageSequence
import time:      1011 |       3470 |           PIL.PngImagePlugin
import time:       323 |        323 |           matplotlib._cm
import time:      3059 |       3059 |                 matplotlib._path
import time:       252 |        252 |                   matplotlib.bezier
import time:       561 |        813 |                 matplotlib.path
import time:       708 |       4579 |               matplotlib.transforms
import time:       706 |       5285 |             matplotlib.ticker
import time:       525 |       5809 |           matplotlib.scale
import time:      2484 |       2484 |           matplotlib._image
import time:       606 |        606 |           matplotlib._color_data
import time:      1163 |      39776 |         matplotlib.colors
import time:      1193 |       1193 |             pyparsing.util
import time:       296 |        296 |               pyparsing.unicode
import time:       890 |       1186 |             pyparsing.exceptions
import time:       311 |        311 |               pyparsing.results
import time:       209 |        519 |             pyparsing.actions
import time:      5609 |       5609 |             pyparsing.core
import time:      1363 |       1363 |             pyparsing.helpers
import time:       442 |        442 |             pyparsing.testing
import time:      1767 |       1767 |             pyparsing.common
import time:      1035 |      13110 |           pyparsing
import time:       403 |      13512 |         matplotlib._fontconfig_pattern
import time:       358 |        358 |         matplotlib._enums
import time:       875 |        875 |         cycler
import time:      1207 |      56489 |       matplotlib.rcsetup
import time:      4393 |       4393 |       matplotlib.ft2font
import time:       293 |        293 |         kiwisolver.exceptions
import time:      2543 |       2836 |       kiwisolver._cext
import time:      1329 |       1329 |           matplotlib.artist
import time:       675 |       2004 |         matplotlib.colorizer
import time:       772 |        772 |         matplotlib._cm_listed
import time:       495 |        495 |         matplotlib._cm_multivar
import time:       589 |        589 |         matplotlib._cm_bivar
import time:      1661 |       5520 |       matplotlib.cm
import time:      4539 |      80359 |     matplotlib
import time:       384 |        384 |           xml
import time:       226 |        609 |         xml.parsers
import time:      4000 |       4000 |         pyexpat
import time:       271 |       4878 |       xml.parsers.expat
import time:       567 |       5445 |     plistlib
import time:       569 |        569 |       matplotlib._mathtext_data
import time:       380 |        949 |     matplotlib._afm
import time:      2281 |      89033 |   matplotlib.font_manager
import time:       215 |        215 |           matplotlib._pylab_helpers
import time:       464 |        678 |         matplotlib.backend_tools
import time:       311 |        311 |             matplotlib.hatch
import time:       460 |        460 |               matplotlib.markers
import time:      3006 |       3466 |             matplotlib.lines
import time:      9727 |      13504 |           matplotlib.patches
import time:      1060 |       1060 |             matplotlib._text_helpers
import time:       656 |        656 |             matplotlib.dviread
import time:      1335 |       1335 |               matplotlib._mathtext
import time:       261 |       1596 |             matplotlib.mathtext
import time:       375 |        375 |             matplotlib.texmanager
import time:       535 |       4221 |           matplotlib.textpath
import time:      2796 |      20519 |         matplotlib.text
import time:       280 |        280 |         matplotlib._tight_bbox
import time:      8704 |       8704 |           matplotlib.collections
import time:       861 |       9564 |         matplotlib.widgets
import time:       321 |        321 |         matplotlib.backend_managers
import time:       212 |        212 |             matplotlib._layoutgrid
import time:       499 |        710 |           matplotlib._constrained_layout
import time:        98 |         98 |           matplotlib._tight_layout
import time:       246 |       1052 |         matplotlib.layout_engine
import time:      1276 |      33687 |       matplotlib.backend_bases
import time:      2576 |      36263 |     matplotlib.image
import time:      6230 |       6230 |       matplotlib.style.core
import time:       341 |       6571 |     matplotlib.style
import time:        86 |         86 |       matplotlib._blocking_input
import time:      3458 |       3458 |             matplotlib.offsetbox
import time:       265 |        265 |               matplotlib.units
import time:      3194 |       3459 |             matplotlib.axis
import time:       328 |        328 |             matplotlib.gridspec
import time:       804 |        804 |             matplotlib.spines
import time:      1314 |       1314 |             matplotlib.table
import time:      2489 |      11849 |           matplotlib.axes._base
import time:       250 |        250 |             matplotlib.category
import time:      1246 |       1246 |             matplotlib.contour
import time:       361 |        361 |               dateutil.rrule
import time:       755 |       1116 |             matplotlib.dates
import time:       553 |        553 |             matplotlib.inset
import time:       186 |        186 |               matplotlib.container
import time:       342 |        342 |               matplotlib.legend_handler
import time:       916 |       1442 |             matplotlib.legend
import time:       364 |        364 |             matplotlib.mlab
import time:      1771 |       1771 |             matplotlib.quiver
import time:       209 |        209 |             matplotlib.stackplot
import time:       175 |        175 |             matplotlib.streamplot
import time:       361 |        361 |               matplotlib.tri._triangulation
import time:       748 |        748 |               matplotlib.tri._tricontour
import time:       223 |        223 |               matplotlib.tri._trifinder
import time:       212 |        212 |                 matplotlib.tri._tritools
import time:       363 |        574 |               matplotlib.tri._triinterpolate
import time:       551 |        551 |               matplotlib.tri._tripcolor
import time:        80 |         80 |               matplotlib.tri._triplot
import time:       187 |        187 |               matplotlib.tri._trirefine
import time:       110 |       2832 |             matplotlib.tri
import time:      1029 |       1029 |             matplotlib.axes._secondary_axes
import time:      6663 |      17644 |           matplotlib.axes._axes
import time:       115 |      29607 |         matplotlib.axes
import time:      3823 |       3823 |         matplotlib.projections.geo
import time:      2916 |       2916 |         matplotlib.projections.polar
import time:        59 |         59 |           mpl_toolkits
import time:       212 |        212 |               mpl_toolkits.mplot3d.proj3d
import time:      4772 |       4983 |             mpl_toolkits.mplot3d.art3d
import time:      2090 |       2090 |             mpl_toolkits.mplot3d.axis3d
import time:      4069 |      11142 |           mpl_toolkits.mplot3d.axes3d
import time:       389 |      11589 |         mpl_toolkits.mplot3d
import time:       204 |      48137 |       matplotlib.projections
import time:       808 |        808 |       matplotlib.colorbar
import time:      2403 |      51432 |     matplotlib.figure
import time:      3478 |      97742 |   matplotlib.pyplot
import time:      1090 |       1090 |       pykrx.website
import time:        97 |         97 |           pykrx.website.krx.bond.ticker
import time:       491 |        491 |               pykrx.website.comm.auth
import time:        87 |         87 |               pykrx.website.comm.util
import time:       108 |        108 |               pykrx.website.comm.webio
import time:        86 |        771 |             pykrx.website.comm
import time:       180 |        180 |               pykrx.website.krx.krxio
import time:       185 |        365 |             pykrx.website.krx.bond.core
import time:        78 |       1213 |           pykrx.website.krx.bond.wrap
import time:       234 |       1543 |         pykrx.website.krx.bond
import time:       260 |        260 |             pykrx.website.krx.etx.core
import time:       125 |        384 |           pykrx.website.krx.etx.ticker
import time:       177 |        177 |           pykrx.website.krx.etx.wrap
import time:        81 |        641 |         pykrx.website.krx.etx
import time:       157 |        157 |             pykrx.website.krx.future.core
import time:       168 |        325 |           pykrx.website.krx.future.wrap
import time:        66 |        390 |         pykrx.website.krx.future
import time:       416 |        416 |             pykrx.website.krx.market.core
import time:       204 |        620 |           pykrx.website.krx.market.ticker
import time:       344 |        344 |           pykrx.website.krx.market.wrap
import time:        74 |       1037 |         pykrx.website.krx.market
import time:       353 |       3961 |       pykrx.website.krx
import time:       215 |       5265 |     pykrx.bond.bond
import time:       620 |       5885 |   pykrx.bond
import time:       142 |        142 |     pykrx.stock.future_api
import time:       420 |        420 |               wrapt.wrappers
import time:      2383 |       2383 |               wrapt._wrappers
import time:       575 |       3377 |             wrapt.__wrapt__
import time:       188 |        188 |               wrapt.arguments
import time:       284 |        471 |             wrapt.decorators
import time:       200 |        200 |             wrapt.importer
import time:       215 |        215 |             wrapt.patches
import time:       201 |        201 |             wrapt.proxies
import time:       104 |        104 |             wrapt.weakrefs
import time:       201 |       4764 |           wrapt
import time:       346 |       5110 |         deprecated.classic
import time:        29 |         29 |           inspect2
import time:       163 |        191 |         deprecated.params
import time:       649 |       5949 |       deprecated
import time:       165 |        165 |               multipledispatch.utils
import time:       606 |        606 |               multipledispatch.variadic
import time:       128 |        898 |             multipledispatch.conflict
import time:       215 |       1112 |           multipledispatch.dispatcher
import time:       251 |       1363 |         multipledispatch.core
import time:       160 |       1522 |       multipledispatch
import time:       905 |        905 |             xml.etree
import time:       319 |        319 |             xml.etree.ElementPath
import time:      2520 |       2520 |             _elementtree
import time:       451 |       4193 |           xml.etree.ElementTree
import time:       101 |        101 |           pykrx.website.naver.core
import time:       182 |       4476 |         pykrx.website.naver.wrap
import time:       177 |       4652 |       pykrx.website.naver
import time:       508 |      12630 |     pykrx.stock.stock_api
import time:        81 |      12852 |   pykrx.stock
import time:      1358 |     206867 | pykrx
import time:       394 |        394 | netrc
import time:      4159 |       4159 |   _codecs_kr
import time:       963 |       5121 | encodings.euc_kr
import time:       476 |        476 | pandas.io.formats.csvs
Exception ignored from cffi callback <function buffer_callback at 0x127d2f910>:
Traceback (most recent call last):
  File "/opt/anaconda3/envs/battery-maml/lib/python3.10/site-packages/curl_cffi/curl.py", line 100, in buffer_callback
    @ffi.def_extern()
KeyboardInterrupt: 
Traceback (most recent call last):
  File "/Users/velocitygoal/charts_today/build_kr_foreign_naver_auto_v6_dateanchor.py", line 448, in <module>
    main()
  File "/Users/velocitygoal/charts_today/build_kr_foreign_naver_auto_v6_dateanchor.py", line 406, in main
    suffix = yfinance_probe_suffix(code, probe_cache)
  File "/Users/velocitygoal/charts_today/build_kr_foreign_naver_auto_v6_dateanchor.py", line 122, in yfinance_probe_suffix
    df = yf.Ticker(sym).history(period="1mo", interval="1d", auto_adjust=False)
  File "/opt/anaconda3/envs/battery-maml/lib/python3.10/site-packages/yfinance/utils.py", line 95, in wrapper
    result = func(*args, **kwargs)
  File "/opt/anaconda3/envs/battery-maml/lib/python3.10/site-packages/yfinance/base.py", line 129, in history
    return self._lazy_load_price_history().history(*args, **kwargs)
  File "/opt/anaconda3/envs/battery-maml/lib/python3.10/site-packages/yfinance/utils.py", line 95, in wrapper
    result = func(*args, **kwargs)
  File "/opt/anaconda3/envs/battery-maml/lib/python3.10/site-packages/yfinance/scrapers/history.py", line 394, in history
    quotes.index = pd.to_datetime(quotes.index.date).tz_localize(tz_exchange, ambiguous=True, nonexistent='shift_forward')
  File "/opt/anaconda3/envs/battery-maml/lib/python3.10/site-packages/pandas/core/tools/datetimes.py", line 1091, in to_datetime
    cache_array = _maybe_cache(argc, format, cache, convert_listlike)
  File "/opt/anaconda3/envs/battery-maml/lib/python3.10/site-packages/pandas/core/tools/datetimes.py", line 237, in _maybe_cache
    cache_array = Series(dtype=object)
  File "/opt/anaconda3/envs/battery-maml/lib/python3.10/site-packages/pandas/core/series.py", line 591, in __init__
    data = SingleBlockManager.from_array(data, index, refs=refs)
  File "/opt/anaconda3/envs/battery-maml/lib/python3.10/site-packages/pandas/core/internals/managers.py", line 1890, in from_array
    bp = BlockPlacement(slice(0, len(index)))
KeyboardInterrupt
