import time: self [us] | cumulative | imported package
import time:       589 |        589 |             _posixsubprocess
import time:       592 |        592 |             select
import time:       651 |        651 |             selectors
import time:       346 |       4000 |           subprocess
import time:      1037 |       5037 |         platform
import time:       353 |       6048 |       numpy.lib.utils
import time:       268 |        268 |       numpy.lib.arraysetops
import time:       428 |        428 |         weakref
import time:       200 |        200 |         numpy.lib.format
import time:       229 |        229 |         numpy.lib._datasource
import time:       385 |        385 |         numpy.lib._iotools
import time:       350 |       1589 |       numpy.lib.npyio
import time:       221 |        221 |       numpy.lib.arrayterator
import time:       105 |        105 |       numpy.lib.arraypad
import time:       157 |        157 |       numpy.lib._version
import time:       342 |      19490 |     numpy.lib
import time:       455 |        455 |         numpy.fft._pocketfft_internal
import time:       489 |        943 |       numpy.fft._pocketfft
import time:       118 |        118 |       numpy.fft.helper
import time:       540 |       1601 |     numpy.fft
import time:       302 |        302 |         numpy.polynomial.polyutils
import time:       301 |        301 |         numpy.polynomial._polybase
import time:       634 |       1236 |       numpy.polynomial.polynomial
import time:       267 |        267 |       numpy.polynomial.chebyshev
import time:       219 |        219 |       numpy.polynomial.legendre
import time:       268 |        268 |       numpy.polynomial.hermite
import time:       240 |        240 |       numpy.polynomial.hermite_e
import time:       209 |        209 |       numpy.polynomial.laguerre
import time:       169 |       2604 |     numpy.polynomial
import time:        28 |         28 |               backports_abc
import time:       688 |        716 |             numpy.random._common
import time:       925 |        925 |                 binascii
import time:       318 |       1243 |               base64
import time:       321 |        321 |               hmac
import time:       814 |        814 |                   _bisect
import time:       242 |       1055 |                 bisect
import time:       655 |        655 |                 _random
import time:       497 |        497 |                 _sha512
import time:       304 |       2509 |               random
import time:       309 |       4379 |             secrets
import time:       697 |       5791 |           numpy.random.bit_generator
import time:       726 |        726 |           numpy.random._bounded_integers
import time:       653 |        653 |           numpy.random._mt19937
import time:       854 |       8022 |         numpy.random.mtrand
import time:       619 |        619 |         numpy.random._philox
import time:       623 |        623 |         numpy.random._pcg64
import time:       656 |        656 |         numpy.random._sfc64
import time:      1669 |       1669 |         numpy.random._generator
import time:       404 |      11992 |       numpy.random._pickle
import time:       213 |      12205 |     numpy.random
import time:       321 |        321 |     numpy.ctypeslib
import time:       484 |        484 |               _opcode
import time:       205 |        689 |             opcode
import time:       364 |       1052 |           dis
import time:       302 |        302 |             importlib
import time:       274 |        575 |           importlib.machinery
import time:       263 |        263 |               token
import time:       561 |        823 |             tokenize
import time:       267 |       1090 |           linecache
import time:      1015 |       3731 |         inspect
import time:      1357 |       5087 |       numpy.ma.core
import time:       558 |        558 |       numpy.ma.extras
import time:       344 |       5988 |     numpy.ma
import time:      1007 |      66996 |   numpy
import time:       671 |        671 |     pytz.exceptions
import time:       287 |        287 |     pytz.lazy
import time:       561 |        561 |     pytz.tzinfo
import time:       207 |        207 |     pytz.tzfile
import time:       624 |       2349 |   pytz
import time:       606 |        606 |     dateutil._version
import time:       351 |        956 |   dateutil
import time:       447 |        447 |       sysconfig
import time:      1338 |       1338 |       _sysconfigdata__darwin_darwin
import time:       360 |        360 |       _osx_support
import time:      2251 |       4395 |     pandas.compat._constants
import time:       229 |        229 |         _compression
import time:      1720 |       1720 |         _bz2
import time:       255 |       2203 |       bz2
import time:      1120 |       1120 |         _lzma
import time:       422 |       1542 |       lzma
import time:       195 |       3938 |     pandas.compat.compressors
import time:       331 |        331 |         pandas.util
import time:      1270 |       1601 |       pandas.util.version
import time:       196 |       1797 |     pandas.compat.numpy
import time:        20 |         20 |         gc
import time:      1152 |       1152 |         pyarrow._generated_version
import time:      1027 |       1027 |             _decimal
import time:       361 |       1387 |           decimal
import time:       186 |        186 |             numpy._core
import time:       291 |        477 |           numpy._core._multiarray_umath
import time:        31 |         31 |                       org
import time:        18 |         49 |                     org.python
import time:        16 |         64 |                   org.python.core
import time:       323 |        387 |                 copy
import time:       490 |        876 |               dataclasses
import time:       371 |        371 |                 traceback
import time:        15 |         15 |                   _string
import time:       441 |        455 |                 string
import time:        17 |         17 |                 atexit
import time:      1097 |       1939 |               logging
import time:       916 |        916 |                 _uuid
import time:       462 |       1378 |               uuid
import time:       623 |       4814 |             cloudpickle.cloudpickle
import time:       762 |       5576 |           cloudpickle
import time:      1021 |       1021 |               _socket
import time:       705 |        705 |               array
import time:       704 |       2429 |             socket
import time:      1190 |       3618 |           pyarrow.util
import time:       793 |        793 |               _heapq
import time:       209 |       1001 |             heapq
import time:       663 |        663 |             _queue
import time:       283 |       1946 |           queue
import time:     21960 |      34963 |         pyarrow.lib
import time:       325 |        325 |         pyarrow.ipc
import time:       261 |        261 |         pyarrow.types
import time:       532 |      37250 |       pyarrow
import time:       326 |      37576 |     pandas.compat.pyarrow
import time:       568 |      48273 |   pandas.compat
import time:      1596 |       1596 |       pandas._typing
import time:       218 |        218 |       pandas.util._exceptions
import time:       680 |       2494 |     pandas._config.config
import time:       242 |        242 |     pandas._config.dates
import time:       569 |        569 |       locale
import time:       135 |        704 |     pandas._config.display
import time:       220 |       3659 |   pandas._config
import time:       178 |        178 |     pandas.core
import time:       753 |        931 |   pandas.core.config_init
import time:      2276 |       2276 |       pandas._libs.pandas_parser
import time:      1050 |       1050 |       pandas._libs.pandas_datetime
import time:       821 |        821 |                   pandas._libs.tslibs.ccalendar
import time:       837 |        837 |                   pandas._libs.tslibs.np_datetime
import time:      1302 |       2959 |                 pandas._libs.tslibs.dtypes
import time:       824 |        824 |                   pandas._libs.tslibs.base
import time:       938 |        938 |                       pandas._libs.tslibs.nattype
import time:       213 |        213 |                           pandas.compat._optional
import time:       395 |        395 |                             zoneinfo._tzpath
import time:       276 |        276 |                             zoneinfo._common
import time:      1002 |       1002 |                             _zoneinfo
import time:       298 |       1970 |                           zoneinfo
import time:       235 |        235 |                                   importlib._abc
import time:       235 |        470 |                                 importlib.util
import time:       618 |       1087 |                               six
import time:        15 |         15 |                               six.moves
import time:       241 |        241 |                               dateutil.tz._common
import time:       202 |        202 |                               dateutil.tz._factories
import time:         9 |          9 |                                 six.moves.winreg
import time:       205 |        213 |                               dateutil.tz.win
import time:       528 |       2283 |                             dateutil.tz.tz
import time:       304 |       2587 |                           dateutil.tz
import time:      1047 |       5815 |                         pandas._libs.tslibs.timezones
import time:       439 |        439 |                             calendar
import time:       529 |        968 |                           _strptime
import time:       224 |        224 |                           pandas._config.localization
import time:       949 |       2139 |                         pandas._libs.tslibs.fields
import time:      1108 |       9061 |                       pandas._libs.tslibs.timedeltas
import time:       966 |        966 |                       pandas._libs.tslibs.tzconversion
import time:      1070 |      12035 |                     pandas._libs.tslibs.timestamps
import time:       840 |        840 |                     pandas._libs.properties
import time:      1326 |      14200 |                   pandas._libs.tslibs.offsets
import time:       199 |        199 |                         dateutil._common
import time:       629 |        828 |                       dateutil.parser._parser
import time:       247 |        247 |                       dateutil.parser.isoparser
import time:       261 |       1335 |                     dateutil.parser
import time:      2379 |       2379 |                     pandas._libs.tslibs.strptime
import time:      1246 |       4959 |                   pandas._libs.tslibs.parsing
import time:       960 |      20942 |                 pandas._libs.tslibs.conversion
import time:      2123 |       2123 |                 pandas._libs.tslibs.period
import time:      3355 |       3355 |                 pandas._libs.tslibs.vectorized
import time:       404 |      29781 |               pandas._libs.tslibs
import time:        17 |      29797 |             pandas._libs.tslibs.nattype
import time:      1919 |       1919 |             pandas._libs.ops_dispatch
import time:       923 |      32637 |           pandas._libs.missing
import time:      1167 |      33804 |         pandas._libs.hashtable
import time:      1298 |       1298 |         pandas._libs.algos
import time:      1022 |      36123 |       pandas._libs.interval
import time:       517 |      39964 |     pandas._libs
import time:       279 |        279 |       pandas.core.dtypes
import time:      1777 |       1777 |       pandas._libs.lib
import time:       757 |        757 |       pandas.errors
import time:       271 |        271 |         pandas.core.dtypes.generic
import time:       290 |        561 |       pandas.core.dtypes.base
import time:       161 |        161 |       pandas.core.dtypes.inference
import time:       842 |       4375 |     pandas.core.dtypes.dtypes
import time:       259 |        259 |       pandas.core.dtypes.common
import time:       380 |        638 |     pandas.core.dtypes.missing
import time:       190 |        190 |       pandas.util._decorators
import time:       266 |        266 |           pandas.io
import time:       424 |        689 |         pandas.io._util
import time:       280 |        969 |       pandas.core.dtypes.cast
import time:       177 |        177 |         pandas.core.dtypes.astype
import time:       202 |        379 |       pandas.core.dtypes.concat
import time:       156 |        156 |         pandas.core.array_algos
import time:       327 |        327 |           pandas.core.common
import time:       221 |        548 |         pandas.core.construction
import time:       436 |       1139 |       pandas.core.array_algos.take
import time:       276 |        276 |         pandas.core.indexers.utils
import time:       236 |        512 |       pandas.core.indexers
import time:       365 |       3550 |     pandas.core.algorithms
import time:      2936 |       2936 |             pyarrow._compute
import time:       211 |        211 |             pyarrow._compute_docstrings
import time:       209 |        209 |             pyarrow.vendored
import time:       452 |        452 |                 pkgutil
import time:       724 |       1176 |               pydoc
import time:      1287 |       2463 |             pyarrow.vendored.docscrape
import time:     12057 |      17874 |           pyarrow.compute
import time:       497 |      18371 |         pandas.core.arrays.arrow.accessors
import time:      1330 |       1330 |           unicodedata
import time:       282 |        282 |           pandas.util._validators
import time:       407 |        407 |           pandas.core.missing
import time:      1087 |       1087 |               pandas._libs.ops
import time:       273 |        273 |               pandas.core.roperator
import time:       163 |        163 |               pandas.core.computation
import time:       196 |        196 |                 pandas.core.computation.check
import time:       366 |        562 |               pandas.core.computation.expressions
import time:       163 |        163 |               pandas.core.ops.missing
import time:       203 |        203 |               pandas.core.ops.dispatch
import time:      1121 |       1121 |               pandas.core.ops.invalid
import time:       503 |       4072 |             pandas.core.ops.array_ops
import time:        76 |         76 |             pandas.core.ops.common
import time:       197 |        197 |             pandas.core.ops.docstrings
import time:        75 |         75 |             pandas.core.ops.mask_ops
import time:       228 |       4647 |           pandas.core.ops
import time:       239 |        239 |           pandas.core.arraylike
import time:       223 |        223 |           pandas.core.arrays._arrow_string_mixins
import time:       164 |        164 |           pandas.core.arrays._utils
import time:       224 |        224 |             pandas.compat.numpy.function
import time:       185 |        185 |             pandas.core.array_algos.quantile
import time:       225 |        225 |             pandas.core.sorting
import time:       448 |       1081 |           pandas.core.arrays.base
import time:       464 |        464 |             pandas.core.nanops
import time:       207 |        207 |             pandas.core.array_algos.masked_accumulations
import time:       164 |        164 |             pandas.core.array_algos.masked_reductions
import time:       994 |        994 |               pandas.core.util
import time:      1170 |       1170 |               pandas._libs.hashing
import time:       332 |       2494 |             pandas.core.util.hashing
import time:       594 |       3921 |           pandas.core.arrays.masked
import time:      1058 |       1058 |             pandas._libs.arrays
import time:       253 |        253 |               pandas.core.arrays.numeric
import time:       254 |        506 |             pandas.core.arrays.floating
import time:       617 |        617 |             pandas.core.arrays.integer
import time:       528 |        528 |                 pandas.core.array_algos.transforms
