ticker,premarket,yahoo_ts,status,age_min
CNR,99.14,2026-03-16T11:02:23,ok,33.466432850000004
DEC,14.49,2026-03-16T10:52:00,ok,43.84976618333334
INGM,,,missing,
CF,126.0,2026-03-16T11:34:16,ok,1.5830995166666668
CHRD,124.11,2026-03-16T10:47:00,ok,48.84976618333334
WDS,22.25,2026-03-16T11:17:32,ok,18.31643285
FLNG,29.2,2026-03-16T11:07:00,ok,28.849766183333333
SU,59.99,2026-03-16T11:20:09,ok,15.699766183333333
CVX,198.27,2026-03-16T11:29:22,ok,6.483099516666667
EOG,134.78,2026-03-16T11:27:18,ok,8.549766183333332
HAFN,6.66,2026-03-16T11:27:09,ok,8.699766183333333
KOS,2.4,2026-03-16T11:20:19,ok,15.533099516666665
FBF,,,missing,
PARR,53.99,2026-03-16T11:19:50,ok,16.016432849999998
GLNG,43.79,2026-03-16T09:21:00,ok,134.84976618333334
IOT,31.81,2026-03-16T11:11:09,ok,24.699766183333335
MRVL,89.09,2026-03-16T11:33:54,ok,1.9497661833333335
PBR,18.78,2026-03-16T11:33:03,ok,2.7997661833333334
PAA,,,missing,
