symbol,is_2x,status,status_rank,pattern,pattern_score,break_level,breakout_date,vol_confirmed,hold_confirmed,last_close,diag_touches,diag_slope_low,diag_depth,diag_vol_ratio_10_60,diag_db_score
IYE,False,ENTRY_READY,0,DOUBLE_BOTTOM,8.0,59.29,2026-03-02,True,True,60.01,2,0.224016,0.2439,0.718,3.0
XLE,False,ENTRY_READY,0,DOUBLE_BOTTOM,8.0,56.15,2026-03-02,True,True,56.765,2,0.216402,0.2438,0.706,3.0
APA,False,ENTRY_READY,0,DOUBLE_BOTTOM,7.0,30.42,2026-03-02,True,True,32.21,2,0.069507,0.2901,0.976,3.0
FANG,False,ENTRY_READY,0,DOUBLE_BOTTOM,6.0,177.25,2026-03-02,True,True,178.92,1,0.38642,0.2397,1.058,3.0
CNQ,False,ENTRY_READY,0,DOUBLE_BOTTOM,5.0,44.04,2026-03-02,True,True,44.57,1,0.194566,0.3429,0.487,3.0
DIG,True,ENTRY_READY,0,DOUBLE_BOTTOM,5.0,55.85,2026-03-02,True,True,56.922,2,0.371355,0.4218,0.725,3.0
ERX,True,ENTRY_READY,0,DOUBLE_BOTTOM,5.0,86.58,2026-03-02,True,True,88.48,2,0.575947,0.4229,0.705,3.0
GUSH,True,ENTRY_READY,0,DOUBLE_BOTTOM,3.0,31.9,2026-03-02,True,True,34.59,1,0.147451,0.4022,0.932,3.0
CRAK,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,6.0,45.57,2026-03-02,True,False,45.386,1,0.12723,0.1958,0.988,3.0
SHEL,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,6.0,83.665,2026-03-02,True,False,82.755,1,0.161364,0.1883,0.914,3.0
XOP,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,6.0,154.0,2026-03-02,True,False,160.56,1,0.421007,0.235,0.917,3.0
BNO,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,5.5,37.87,2026-03-03,True,False,39.3,1,0.123193,0.2833,1.3,3.0
BZ=F,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,5.5,82.11,2026-03-03,True,False,82.29,1,0.213812,0.2849,1.266,3.0
CL=F,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,5.5,75.33,2026-03-03,True,False,75.5,1,0.176855,0.2701,1.254,3.0
USO,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,5.5,88.64,2026-03-03,True,False,91.88,1,0.249968,0.2555,1.269,3.0
TTE,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,BASE,4.5,80.36,2026-03-02,True,False,78.8,1,0.280813,0.2439,0.871,0.0
EQNR,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,4.0,29.94,2026-03-02,True,False,31.66,1,0.131696,0.3168,1.193,3.0
UCO,True,BREAKOUT_VOL_OK_WAIT_HOLD,1,DOUBLE_BOTTOM,4.0,28.52,2026-03-03,True,False,29.379,1,0.113668,0.3647,1.11,3.0
VG,False,BREAKOUT_VOL_OK_WAIT_HOLD,1,BASE,0.0,11.92,2026-03-03,True,False,12.09,1,0.076812,0.5201,1.268,0.0
IYM,False,BREAKOUT_WAIT_VOL,2,DOUBLE_BOTTOM,8.0,188.81,2026-03-02,False,False,182.47,3,0.706017,0.234,1.044,3.0
MPC,False,BREAKOUT_WAIT_VOL,2,DOUBLE_BOTTOM,8.0,210.42,2026-03-03,False,False,211.62,3,0.413737,0.2304,1.052,3.0
COP,False,BREAKOUT_WAIT_VOL,2,DOUBLE_BOTTOM,7.0,119.3,2026-03-03,False,False,119.84,1,0.386672,0.2393,0.755,3.0
VLO,False,BREAKOUT_WAIT_VOL,2,DOUBLE_BOTTOM,7.0,216.18,2026-03-03,False,False,216.89,1,0.706481,0.2603,0.754,3.0
CVE,False,BREAKOUT_WAIT_VOL,2,DOUBLE_BOTTOM,6.0,22.57,2026-02-19,False,True,22.86,2,0.103844,0.3366,0.862,3.0
OIH,False,BREAKOUT_WAIT_VOL,2,DOUBLE_BOTTOM,6.0,400.44,2026-02-24,False,False,388.755,2,2.000087,0.3101,0.715,3.0
RB=F,False,BREAKOUT_WAIT_VOL,2,DOUBLE_BOTTOM,4.5,2.093,2026-03-02,False,False,2.424,2,0.00623,0.3326,1.732,3.0
AEM,False,BREAKOUT_WAIT_VOL,2,DOUBLE_BOTTOM,4.0,246.78,2026-02-27,False,True,235.63,1,1.226262,0.3724,1.005,3.0
LNG,False,BREAKOUT_WAIT_VOL,2,BASE,3.0,252.5,2026-03-03,False,False,253.33,1,0.688388,0.2626,1.49,0.0
SLB,False,NO_SIGNAL,9,DOUBLE_BOTTOM,9.0,52.45,,False,False,49.53,6,0.279121,0.2867,0.768,3.0
PSX,False,NO_SIGNAL,9,DOUBLE_BOTTOM,8.0,163.79,,False,False,158.465,2,0.439009,0.2236,0.741,3.0
JETS,False,NO_SIGNAL,9,DOUBLE_BOTTOM,7.5,31.33,,False,False,27.175,4,0.017973,0.1621,1.281,3.0
HAL,False,NO_SIGNAL,9,DOUBLE_BOTTOM,7.0,37.03,,False,False,35.28,1,0.150579,0.2765,0.702,3.0
XLB,False,NO_SIGNAL,9,DOUBLE_BOTTOM,7.0,54.14,,False,False,51.695,2,0.172722,0.1993,0.931,3.0
FCX,False,NO_SIGNAL,9,DOUBLE_BOTTOM,5.0,69.75,,False,False,64.76,2,0.362304,0.3741,0.902,3.0
GC=F,False,NO_SIGNAL,9,BASE,4.5,5586.2,,False,False,5120.1,1,17.524826,0.2526,0.759,0.0
UUP,False,NO_SIGNAL,9,DOUBLE_BOTTOM,4.5,28.2,,False,False,27.5,9,-0.016185,0.0638,0.589,3.0
CCJ,False,NO_SIGNAL,9,DOUBLE_BOTTOM,4.0,135.24,,False,False,118.48,1,0.609796,0.3767,0.997,3.0
UYM,True,NO_SIGNAL,9,DOUBLE_BOTTOM,4.0,34.54,,False,False,31.185,1,0.188215,0.3526,1.0,3.0
SCCO,False,NO_SIGNAL,9,BASE,2.5,223.89,,False,False,208.52,1,1.363945,0.3971,0.668,0.0
^TNX,False,NO_SIGNAL,9,RECTANGLE,2.5,4.311,,False,False,4.061,6,-0.001147,0.0823,1.299,2.0
NQ=F,False,NO_SIGNAL,9,BASE,2.0,26349.0,,False,False,24650.0,2,-14.351382,0.0801,1.042,2.0
ES=F,False,NO_SIGNAL,9,RECTANGLE,0.5,7043.0,,False,False,6790.75,21,-0.132572,0.046,1.052,2.0
^VIX,False,NO_SIGNAL,9,BASE,0.5,25.24,,False,False,25.07,1,0.087564,0.4699,1.088,2.0
NG=F,False,NO_SIGNAL,9,BASE,-1.0,7.827,,False,False,3.118,1,-0.024548,0.6455,0.284,2.0
BOIL,True,NO_SIGNAL,9,BASE,-1.0,46.85,,False,False,19.235,1,-0.217626,0.6756,0.401,2.0
