ticker,price,gap_pct,rsi14,sma10,sma40,sma50,sma200,px_vs_sma10,px_vs_sma40,px_vs_sma50,px_vs_sma200,sma10_slope,sma40_slope,weekly_up,weekly_r1,weekly_s1,room_to_weekly_r1_pct,daily_break_level,daily_breakout,daily_retest,in_daily_box_middle,grade,score
010140.KS,30600.0,0.0,70.33,28740.0,27896.25,27993.0,24498.35,6.47,9.69,9.31,24.91,UP,UP,True,31450.0,24200.0,2.78,31450.0,False,True,False,A,3.0
471760.KS,20605.0,0.0,85.53,19713.0,19128.38,18562.6,12879.25,4.52,7.72,11.0,59.99,UP,UP,True,21025.0,16640.0,2.04,21025.0,False,True,False,A,3.0
005490.KS,420500.0,0.0,87.32,381200.0,357750.0,362100.0,321747.5,10.31,17.54,16.13,30.69,UP,UP,True,427500.0,318000.0,1.66,427500.0,False,True,False,B,3.0
005930.KS,219250.0,0.0,79.24,211475.0,195917.5,192564.0,120197.25,3.68,11.91,13.86,82.41,UP,UP,True,223000.0,167000.0,1.71,223000.0,False,True,False,B,3.0
097230.KS,28750.0,0.0,73.64,27260.0,25393.5,25221.8,21748.15,5.47,13.22,13.99,32.2,UP,UP,True,29300.0,21500.0,1.91,29450.0,False,True,False,B,3.0
032640.KS,17570.0,2.75,71.39,17245.0,16019.5,16168.2,15314.3,1.88,9.68,8.67,14.73,UP,DN,True,17990.0,14340.0,2.39,18500.0,False,False,False,B,1.0
003490.KS,25150.0,0.0,64.89,24845.0,24787.5,24844.0,23604.0,1.23,1.46,1.23,6.55,UP,DN,True,29750.0,22800.0,18.29,29750.0,False,False,True,C,9.0
005090.KS,56600.0,0.0,53.85,53160.0,54665.0,51280.0,30385.0,6.47,3.54,10.37,86.28,UP,UP,True,68300.0,38000.0,20.67,68300.0,False,False,False,C,9.0
006800.KS,69100.0,0.0,64.37,69020.0,66787.11,65271.0,33799.23,0.12,3.46,5.87,104.44,UP,UP,True,76738.23,55593.03,11.05,76738.23,False,False,False,C,9.0
006805.KS,22350.0,0.0,61.94,22150.0,22412.13,22313.8,13973.55,0.9,-0.28,0.16,59.95,UP,DN,True,29661.15,19940.0,32.71,29661.15,False,False,True,C,9.0
00680K.KS,20600.0,0.0,62.81,20512.0,20546.22,20234.97,12604.21,0.43,0.26,1.8,63.44,UP,DN,True,24173.04,18640.0,17.34,24173.04,False,False,False,C,9.0
010950.KS,115100.0,0.0,61.56,117960.0,115542.5,114020.0,83282.25,-2.42,-0.38,0.95,38.2,UP,DN,True,177100.0,103600.0,53.87,177100.0,False,False,False,C,9.0
011170.KS,88000.0,0.0,64.72,90100.0,82675.0,82352.0,73238.5,-2.33,6.44,6.86,20.16,UP,UP,True,100400.0,68800.0,14.09,100500.0,False,False,False,C,9.0
030200.KS,61800.0,0.0,61.54,62950.0,60955.0,61484.0,55057.0,-1.83,1.39,0.51,12.25,UP,DN,True,69400.0,54200.0,12.3,69400.0,False,False,True,C,9.0
032820.KQ,21900.0,0.0,54.94,21955.0,21825.25,20034.2,8329.78,-0.25,0.34,9.31,162.91,UP,UP,True,30200.0,19300.0,37.9,30200.0,False,False,False,C,9.0
042660.KS,132900.0,0.0,63.77,127160.0,127492.5,129330.0,117904.25,4.51,4.24,2.76,12.72,UP,DN,True,154800.0,115100.0,16.48,154800.0,False,False,True,C,9.0
047810.KS,184550.0,0.0,50.44,190775.0,184818.75,181841.0,127477.25,-3.26,-0.15,1.49,44.77,DN,UP,True,205500.0,164200.0,11.35,215500.0,False,False,True,C,9.0
083650.KQ,96700.0,0.0,62.22,94880.0,96042.5,92846.0,60576.0,1.92,0.68,4.15,59.63,UP,UP,True,114200.0,87500.0,18.1,114200.0,False,False,False,C,9.0
112610.KS,65000.0,0.0,50.12,65120.0,60316.25,57327.0,47188.0,-0.18,7.77,13.38,37.75,DN,UP,True,79400.0,41800.0,22.15,79400.0,False,False,False,C,9.0
