symbol,is_2x,status,status_rank,pattern,pattern_score,break_level,breakout_date,vol_confirmed,hold_confirmed,last_close,diag_touches,diag_slope_low,diag_depth,diag_vol_ratio_10_60,diag_db_score
MPC,False,BREAKOUT_WAIT_VOL,2,DOUBLE_BOTTOM,8.0,210.42,2026-03-03,False,False,211.98,3,0.413737,0.2304,1.053,3.0
SU,False,BREAKOUT_WAIT_VOL,2,DOUBLE_BOTTOM,7.0,57.13,2026-03-02,False,True,57.14,2,0.276751,0.2795,0.988,3.0
OIH,False,BREAKOUT_WAIT_VOL,2,DOUBLE_BOTTOM,6.0,400.44,2026-02-24,False,False,384.56,2,2.000087,0.3101,0.807,3.0
SHEL,False,BREAKOUT_WAIT_VOL,2,DOUBLE_BOTTOM,6.0,83.665,2026-03-02,False,False,82.33,1,0.161175,0.1883,0.961,3.0
CVE,False,BREAKOUT_WAIT_VOL,2,DOUBLE_BOTTOM,5.0,22.57,2026-02-19,False,True,22.37,2,0.103844,0.3366,0.926,3.0
AEM,False,BREAKOUT_WAIT_VOL,2,DOUBLE_BOTTOM,4.0,246.78,2026-02-27,False,True,234.52,1,1.226262,0.3724,1.036,3.0
PSX,False,NO_SIGNAL,9,DOUBLE_BOTTOM,8.0,163.79,,False,False,159.78,2,0.439009,0.2236,0.722,3.0
SLB,False,NO_SIGNAL,9,DOUBLE_BOTTOM,8.0,52.45,,False,False,48.58,6,0.278318,0.2867,0.931,3.0
XLB,False,NO_SIGNAL,9,DOUBLE_BOTTOM,8.0,54.14,,False,False,51.94,2,0.172722,0.1993,0.834,3.0
JETS,False,NO_SIGNAL,9,DOUBLE_BOTTOM,7.5,31.33,,False,False,27.43,4,0.017973,0.1621,1.279,3.0
HAL,False,NO_SIGNAL,9,DOUBLE_BOTTOM,7.0,37.03,,False,False,35.26,1,0.150545,0.2765,0.706,3.0
SRRK,False,NO_SIGNAL,9,DOUBLE_BOTTOM,7.0,49.82,,False,False,44.31,1,0.033064,0.1846,0.685,3.0
FCX,False,NO_SIGNAL,9,DOUBLE_BOTTOM,6.0,69.75,,False,False,65.57,2,0.362304,0.3741,0.806,3.0
CNR,False,NO_SIGNAL,9,DOUBLE_BOTTOM,5.5,103.5,,False,False,92.01,1,0.060061,0.2271,1.256,3.0
SEM,False,NO_SIGNAL,9,ASC_TRIANGLE,5.0,16.59,,False,False,16.26,3,0.010265,0.1242,2.07,0.0
UYM,True,NO_SIGNAL,9,DOUBLE_BOTTOM,5.0,34.54,,False,False,31.59,1,0.188215,0.3526,0.875,3.0
GC=F,False,NO_SIGNAL,9,BASE,4.5,5586.2,,False,False,5184.3,1,17.66876,0.2526,0.655,0.0
UUP,False,NO_SIGNAL,9,DOUBLE_BOTTOM,4.5,28.2,,False,False,27.46,9,-0.016251,0.0638,0.567,3.0
CCJ,False,NO_SIGNAL,9,DOUBLE_BOTTOM,4.0,135.24,,False,False,117.79,1,0.609796,0.3767,1.027,3.0
RCAT,False,NO_SIGNAL,9,DOUBLE_BOTTOM,3.0,18.022,,False,False,14.7,1,0.100892,0.6191,0.976,3.0
SCCO,False,NO_SIGNAL,9,BASE,2.5,223.89,,False,False,206.23,1,1.363945,0.3971,0.746,0.0
^TNX,False,NO_SIGNAL,9,RECTANGLE,2.5,4.311,,False,False,4.056,6,-0.001178,0.0823,1.296,2.0
DEC,False,NO_SIGNAL,9,BASE,2.0,16.13,,False,False,14.52,2,-0.02838,0.2343,0.99,2.0
NQ=F,False,NO_SIGNAL,9,BASE,2.0,26349.0,,False,False,24626.75,2,-13.925153,0.0801,1.055,2.0
ASTS,False,NO_SIGNAL,9,BASE,1.5,129.89,,False,False,92.68,1,0.363048,0.5273,0.751,0.0
IDYA,False,NO_SIGNAL,9,BASE,1.0,39.28,,False,False,34.31,1,-0.061074,0.2498,0.974,0.0
ES=F,False,NO_SIGNAL,9,RECTANGLE,0.5,7043.0,,False,False,6797.75,21,-0.009211,0.0458,1.032,2.0
KTB,False,NO_SIGNAL,9,BASE,0.5,78.28,,False,False,78.18,1,-0.015101,0.2822,1.931,0.0
^VIX,False,NO_SIGNAL,9,BASE,0.5,25.24,,False,False,23.57,1,0.084023,0.4699,0.964,2.0
NG=F,False,NO_SIGNAL,9,BASE,-1.0,7.827,,False,False,3.018,1,-0.024508,0.6455,0.239,2.0
BOIL,True,NO_SIGNAL,9,BASE,-1.0,46.85,,False,False,18.59,1,-0.21961,0.6756,0.359,2.0
