sector,ticker,industry,change,perf_week,perf_month,leader_score
UNKNOWN,488080.KS,,7.669789227166279,6.918604651162785,39.23379769836464,0.9190476190476191
UNKNOWN,494310.KS,,7.137140778464901,7.9856273373909215,34.54545454545455,0.9095238095238096
UNKNOWN,267770.KS,,8.318678798073243,12.490074638716852,17.881511066733236,0.9047619047619047
UNKNOWN,122630.KS,,8.484493856056163,10.357142857142865,17.20824377291692,0.8928571428571429
Technology,005930.KS,Consumer Electronics,5.98246518824137,8.157894736842097,22.467222884386185,0.8714285714285714
Technology,000660.KS,Semiconductors,4.226804123711347,5.8638743455497355,17.558139534883722,0.75
Technology,009150.KS,Electronic Components,1.791713325867872,11.945812807881783,46.84975767366721,0.6833333333333333
Technology,000990.KS,Semiconductors,1.6336056009334854,2.4705882352941133,-7.14285714285714,0.3714285714285715
Consumer Defensive,278470.KS,Household & Personal Products,4.297994269340966,14.10658307210031,29.078014184397173,0.8547619047619047
Consumer Defensive,271560.KS,Confectioners,1.9069412662090057,3.56589147286821,2.7692307692307683,0.48809523809523814
Consumer Defensive,090430.KS,Household & Personal Products,2.4868123587038493,3.8961038961038863,-16.564417177914116,0.45476190476190476
Consumer Defensive,003230.KS,Packaged Foods,2.5878003696857776,-0.8928571428571397,-4.80274442538593,0.369047619047619
Basic Materials,051910.KS,Chemicals,2.764227642276418,0.15847860538826808,-2.0155038759689936,0.4261904761904762
Industrials,329180.KS,Aerospace & Defense,1.7035775127768327,1.186440677966094,11.17318435754191,0.40714285714285714
